#n_l	theta_0	probability

1.42435	0.00043775	2.16633e-07
1.42532	0.00043775	1.84968e-07
1.42628	0.00043775	3.34299e-07
1.42725	0.00043775	3.88395e-07
1.42821	0.00043775	2.64969e-07
1.42917	0.00043775	6.10478e-07
1.43014	0.00043775	3.79821e-07
1.4311	0.00043775	3.82446e-07
1.43207	0.00043775	3.22556e-07
1.43303	0.00043775	3.21234e-07
1.434	0.00043775	2.60226e-07
1.43496	0.00043775	1.91105e-07
1.43592	0.00043775	1.40213e-07
1.43689	0.00043775	1.61142e-07
1.43785	0.00043775	9.91515e-08
1.43882	0.00043775	3.21533e-08
1.43978	0.00043775	1.35324e-08
1.44075	0.00043775	1.18441e-08
1.44171	0.00043775	3.79914e-09
1.44267	0.00043775	2.08236e-09
1.44364	0.00043775	5.07161e-10
1.4446	0.00043775	8.29536e-11
1.44557	0.00043775	1.86868e-11
1.44653	0.00043775	7.07671e-12
1.4475	0.00043775	7.48537e-13
1.44846	0.00043775	1.97483e-13
1.44942	0.00043775	3.21457e-15
1.45039	0.00043775	7.14061e-17
1.45135	0.00043775	0
1.45232	0.00043775	0
1.40507	0.00045425	5.10822e-21
1.40603	0.00045425	3.29146e-17
1.40699	0.00045425	2.71213e-15
1.40796	0.00045425	1.32603e-13
1.40892	0.00045425	2.20566e-12
1.40989	0.00045425	3.59072e-11
1.41085	0.00045425	2.69289e-10
1.41182	0.00045425	1.25935e-09
1.41278	0.00045425	6.93938e-09
1.41375	0.00045425	2.6697e-08
1.41471	0.00045425	1.14105e-07
1.41567	0.00045425	5.19417e-07
1.41664	0.00045425	1.03234e-06
1.4176	0.00045425	3.06319e-06
1.41857	0.00045425	8.72616e-06
1.41953	0.00045425	2.69852e-05
1.4205	0.00045425	6.16599e-05
1.42146	0.00045425	9.79887e-05
1.42242	0.00045425	0.000155831
1.42339	0.00045425	0.000290082
1.42435	0.00045425	0.000676813
1.42532	0.00045425	0.000990688
1.42628	0.00045425	0.001365
1.42725	0.00045425	0.00260688
1.42821	0.00045425	0.00254043
1.42917	0.00045425	0.00257468
1.43014	0.00045425	0.00267748
1.4311	0.00045425	0.00319692
1.43207	0.00045425	0.00300676
1.43303	0.00045425	0.00240777
1.434	0.00045425	0.00172794
1.43496	0.00045425	0.00139481
1.43592	0.00045425	0.000927512
1.43689	0.00045425	0.000676592
1.43785	0.00045425	0.000289524
1.43882	0.00045425	0.000202484
