#n_l	N_0	probability

1.41931	0.0675	0.00447362
1.42024	0.0675	0.00323856
1.42118	0.0675	0.0238592
1.42212	0.0675	0.0436885
1.42305	0.0675	0.0427338
1.42399	0.0675	0.0757695
1.42492	0.0675	0.0977943
1.42586	0.0675	0.371799
1.4268	0.0675	0.344483
1.42773	0.0675	0.347851
1.42867	0.0675	0.336349
1.4296	0.0675	1.34334
1.43054	0.0675	0.0687366
1.43148	0.0675	0.351909
1.43241	0.0675	1.16153
1.43335	0.0675	0.0759799
1.43428	0.0675	0.366222
1.43522	0.0675	0.0688118
1.43616	0.0675	0.150667
1.43709	0.0675	0.0187303
1.43803	0.0675	0.332945
1.43896	0.0675	0.00350914
1.4399	0.0675	0.0147326
1.44084	0.0675	0.000417591
1.44177	0.0675	0.000150592
1.44271	0.0675	0.000376601
1.44364	0.0675	0.000152237
1.44458	0.0675	1.06797e-07
1.44552	0.0675	1.75808e-08
1.44645	0.0675	1.03167e-09
1.44739	0.0675	2.83098e-11
1.44832	0.0675	4.92286e-13
1.44926	0.0675	1.43103e-20
1.4502	0.0675	4.12532e-23
1.45113	0.0675	0
1.40527	0.0825	0
1.4062	0.0825	0
1.40714	0.0825	1.17651e-18
1.40808	0.0825	6.00392e-13
1.40901	0.0825	2.28876e-10
1.40995	0.0825	4.60473e-08
1.41088	0.0825	3.67907e-08
1.41182	0.0825	8.38178e-09
1.41276	0.0825	3.0069e-06
1.41369	0.0825	1.33267e-05
1.41463	0.0825	7.90233e-05
1.41556	0.0825	0.00015304
1.4165	0.0825	0.000183453
1.41744	0.0825	0.000654616
1.41837	0.0825	0.00501133
1.41931	0.0825	0.00142097
1.42024	0.0825	0.00652643
1.42118	0.0825	0.00069822
1.42212	0.0825	0.0253668
1.42305	0.0825	0.0238516
1.42399	0.0825	0.0195866
1.42492	0.0825	0.0238421
1.42586	0.0825	0.0440405
1.4268	0.0825	0.053131
1.42773	0.0825	0.0726733
1.42867	0.0825	0.121948
1.4296	0.0825	0.119093
1.43054	0.0825	0.407291
1.43148	0.0825	0.0486263
1.43241	0.0825	0.0400411
1.43335	0.0825	0.185588
1.43428	0.0825	0.0315003
1.43522	0.0825	0.0123765
1.43616	0.0825	0.0071583
1.43709	0.0825	0.00230065
1.43803	0.0825	0.00182895
1.43896	0.0825	0.00225797
1.4399	0.0825	0.000349673
1.44084	0.0825	0.00085097
1.44177	0.0825	0.00118829
1.44271	0.0825	0.000177437
1.44364	0.0825	1.74578e-05
1.44458	0.0825	4.64837e-06
1.44552	0.0825	3.80798e-06
1.44645	0.0825	1.77598e-06
1.44739	0.0825	3.29364e-07
1.44832	0.0825	1.10273e-08
1.44926	0.0825	7.4405e-10
1.4502	0.0825	3.67805e-13
1.45113	0.0825	0
1.40527	0.0975	0
1.4062	0.0975	0
1.40714	0.0975	7.03009e-11
1.40808	0.0975	3.01449e-10
1.40901	0.0975	9.81849e-08
1.40995	0.0975	2.47736e-09
1.41088	0.0975	1.6714e-06
1.41182	0.0975	1.34851e-05
1.41276	0.0975	0.000307035
1.41369	0.0975	0.00141916
1.41463	0.0975	0.00375063
1.41556	0.0975	0.00134393
1.4165	0.0975	0.00109208
1.41744	0.0975	0.0193665
1.41837	0.0975	0.0178144
1.41931	0.0975	0.108488
1.42024	0.0975	0.288312
1.42118	0.0975	0.636931
1.42212	0.0975	2.13667
1.42305	0.0975	1.97195
1.42399	0.0975	3.19285
1.42492	0.0975	2.99484
1.42586	0.0975	4.20619
1.4268	0.0975	4.0743
1.42773	0.0975	2.30292
1.42867	0.0975	2.34645
1.4296	0.0975	3.60366
1.43054	0.0975	6.55854
1.43148	0.0975	2.88679
1.43241	0.0975	1.53027
1.43335	0.0975	4.43441
1.43428	0.0975	1.38175
1.43522	0.0975	1.27658
1.43616	0.0975	0.690663
1.43709	0.0975	0.556199
1.43803	0.0975	0.124525
1.43896	0.0975	0.0596874
1.4399	0.0975	0.00776579
1.44084	0.0975	0.00446478
1.44177	0.0975	0.00381843
1.44271	0.0975	0.000809162
1.44364	0.0975	0.000487563
1.44458	0.0975	0.000231618
1.44552	0.0975	5.70086e-05
1.44645	0.0975	1.08205e-05
1.44739	0.0975	3.29837e-06
1.44832	0.0975	6.14649e-07
1.44926	0.0975	3.66009e-08
1.4502	0.0975	2.15299e-09
1.45113	0.0975	0
1.40527	0.1125	0
1.4062	0.1125	0
1.40714	0.1125	1.58818e-07
1.40808	0.1125	6.9939e-15
1.40901	0.1125	2.08707e-06
1.40995	0.1125	0.000257106
1.41088	0.1125	0.0110386
1.41182	0.1125	0.0138991
1.41276	0.1125	0.0135798
1.41369	0.1125	0.0146585
1.41463	0.1125	0.141259
1.41556	0.1125	1.23575
1.4165	0.1125	12.9855
1.41744	0.1125	28.9362
1.41837	0.1125	51.5019
1.41931	0.1125	304.37
1.42024	0.1125	300.183
1.42118	0.1125	587.486
1.42212	0.1125	436.803
1.42305	0.1125	833.964
1.42399	0.1125	909.792
1.42492	0.1125	944.647
1.42586	0.1125	1205.3
1.4268	0.1125	1176.46
1.42773	0.1125	1370.67
1.42867	0.1125	935.684
1.4296	0.1125	809.84
1.43054	0.1125	1284.98
1.43148	0.1125	1482.6
1.43241	0.1125	1063.99
1.43335	0.1125	1041.16
1.43428	0.1125	1422.65
1.43522	0.1125	544.503
1.43616	0.1125	1218.28
1.43709	0.1125	403.512
1.43803	0.1125	209.349
1.43896	0.1125	346.06
1.4399	0.1125	99.3169
1.44084	0.1125	30.2072
1.44177	0.1125	12.4831
1.44271	0.1125	4.89372
1.44364	0.1125	0.779282
1.44458	0.1125	0.0631553
1.44552	0.1125	0.00839561
1.44645	0.1125	0.00104175
1.44739	0.1125	0.000624991
1.44832	0.1125	2.15458e-08
1.44926	0.1125	1.31426e-13
1.4502	0.1125	0
1.45113	0.1125	0
1.40527	0.1275	0
1.4062	0.1275	0
1.40714	0.1275	1.61777e-09
1.40808	0.1275	7.53254e-06
1.40901	0.1275	0.000371367
1.40995	0.1275	2.43703e-05
1.41088	0.1275	0.000115452
1.41182	0.1275	0.0393058
1.41276	0.1275	0.688247
1.41369	0.1275	2.86601
1.41463	0.1275	10.7879
1.41556	0.1275	5.89085
1.4165	0.1275	6.23656
1.41744	0.1275	13.155
1.41837	0.1275	24.7403
1.41931	0.1275	13.28
1.42024	0.1275	147.509
1.42118	0.1275	87.3518
1.42212	0.1275	389.297
1.42305	0.1275	802.361
1.42399	0.1275	1394.78
1.42492	0.1275	2413.49
1.42586	0.1275	2659.29
1.4268	0.1275	3096.65
