#gamma	theta_0	probability

3.57248e-05	-0.0002775	6.35064e-08
3.57344e-05	-0.0002775	1.10312e-05
3.5744e-05	-0.0002775	2.54275e-07
3.57536e-05	-0.0002775	4.97185e-08
3.57632e-05	-0.0002775	4.6574e-08
3.57728e-05	-0.0002775	3.1618e-09
3.57824e-05	-0.0002775	1.92842e-07
3.5792e-05	-0.0002775	4.66598e-09
3.58016e-05	-0.0002775	1.56222e-09
3.58112e-05	-0.0002775	4.97514e-10
3.58208e-05	-0.0002775	5.80195e-11
3.58304e-05	-0.0002775	4.39399e-11
3.584e-05	-0.0002775	0
3.58496e-05	-0.0002775	0
3.58592e-05	-0.0002775	0
3.58688e-05	-0.0002775	0
3.58784e-05	-0.0002775	0
3.5888e-05	-0.0002775	0
3.58976e-05	-0.0002775	0
3.59072e-05	-0.0002775	0
3.59168e-05	-0.0002775	0
3.59264e-05	-0.0002775	0
3.5936e-05	-0.0002775	0
3.59456e-05	-0.0002775	0
3.59552e-05	-0.0002775	0
3.50048e-05	-0.0002625	0
3.50144e-05	-0.0002625	0
3.5024e-05	-0.0002625	0
3.50336e-05	-0.0002625	0
3.50432e-05	-0.0002625	0
3.50528e-05	-0.0002625	0
3.50624e-05	-0.0002625	0
3.5072e-05	-0.0002625	0
3.50816e-05	-0.0002625	0
3.50912e-05	-0.0002625	0
3.51008e-05	-0.0002625	0
3.51104e-05	-0.0002625	0
3.512e-05	-0.0002625	0
3.51296e-05	-0.0002625	0
3.51392e-05	-0.0002625	0
3.51488e-05	-0.0002625	0
3.51584e-05	-0.0002625	0
3.5168e-05	-0.0002625	0
3.51776e-05	-0.0002625	0
3.51872e-05	-0.0002625	0
3.51968e-05	-0.0002625	0
3.52064e-05	-0.0002625	0
3.5216e-05	-0.0002625	0
3.52256e-05	-0.0002625	0
3.52352e-05	-0.0002625	0
3.52448e-05	-0.0002625	0
3.52544e-05	-0.0002625	0
3.5264e-05	-0.0002625	0
3.52736e-05	-0.0002625	0
3.52832e-05	-0.0002625	0
3.52928e-05	-0.0002625	0.14602
3.53024e-05	-0.0002625	0
3.5312e-05	-0.0002625	0
3.53216e-05	-0.0002625	0.00408565
3.53312e-05	-0.0002625	0.00123602
3.53408e-05	-0.0002625	7.99198
3.53504e-05	-0.0002625	0.000748783
3.536e-05	-0.0002625	2.28948e-05
3.53696e-05	-0.0002625	0.223503
3.53792e-05	-0.0002625	0.0674845
3.53888e-05	-0.0002625	160.593
3.53984e-05	-0.0002625	0.0214611
3.5408e-05	-0.0002625	0.00125001
3.54176e-05	-0.0002625	4.48925
3.54272e-05	-0.0002625	1.35546
3.54368e-05	-0.0002625	861.944
3.54464e-05	-0.0002625	0.393945
3.5456e-05	-0.0002625	0.0251072
