#gamma	N_0	probability

3.50998e-05	0.009625	4.09727e-306
3.51152e-05	0.009625	3.31181e-306
3.51306e-05	0.009625	3.32643e-306
3.51459e-05	0.009625	4.69337e-306
3.51613e-05	0.009625	4.6437e-306
3.51766e-05	0.009625	4.80482e-306
3.5192e-05	0.009625	5.67888e-306
3.52074e-05	0.009625	6.15618e+07
3.52227e-05	0.009625	1.29038e+08
3.52381e-05	0.009625	9.11979e+07
3.52534e-05	0.009625	1.619e+08
3.52688e-05	0.009625	1.65814e+08
3.52842e-05	0.009625	1.03851e+08
3.52995e-05	0.009625	1.0685e+08
3.53149e-05	0.009625	2.14513e+08
3.53302e-05	0.009625	1.43663e+08
3.53456e-05	0.009625	1.64303e+08
3.5361e-05	0.009625	1.37922e+08
3.53763e-05	0.009625	1.1581e+08
3.53917e-05	0.009625	9.60584e+07
3.5407e-05	0.009625	1.67337e+08
3.54224e-05	0.009625	2.2857e+08
3.54378e-05	0.009625	1.16643e+08
3.54531e-05	0.009625	8.44619e+07
3.54685e-05	0.009625	8.59132e+07
3.54838e-05	0.009625	6.12897e+07
3.54992e-05	0.009625	4.76869e+07
3.55146e-05	0.009625	8.58881e+07
3.55299e-05	0.009625	3.29619e+07
3.55453e-05	0.009625	3.49125e+06
3.55606e-05	0.009625	336665
3.5576e-05	0.009625	318970
3.55914e-05	0.009625	27757.1
3.56067e-05	0.009625	3169.9
3.56221e-05	0.009625	492.785
3.56374e-05	0.009625	8.54692
3.56528e-05	0.009625	0.114389
3.56682e-05	0.009625	0.0100992
3.56835e-05	0.009625	4.58043e-05
3.56989e-05	0.009625	5.39848e-07
3.57142e-05	0.009625	1.11158e-316
3.57296e-05	0.009625	4.5586e-318
3.5745e-05	0.009625	1.22034e-321
3.57603e-05	0.009625	0
3.50077e-05	0.012375	0
3.5023e-05	0.012375	0
3.50384e-05	0.012375	0
3.50538e-05	0.012375	0
3.50691e-05	0.012375	8.75186e-307
3.50845e-05	0.012375	1.68234e-306
3.50998e-05	0.012375	1.75579e-306
3.51152e-05	0.012375	2.66314e-306
3.51306e-05	0.012375	4.10388e-306
3.51459e-05	0.012375	4.04398e-306
3.51613e-05	0.012375	4.515e-306
3.51766e-05	0.012375	5.93534e-306
3.5192e-05	0.012375	5.16225e-306
3.52074e-05	0.012375	5.84151e-306
3.52227e-05	0.012375	5.14616e-306
3.52381e-05	0.012375	1.35606e+08
3.52534e-05	0.012375	1.40022e+08
3.52688e-05	0.012375	1.07349e+08
3.52842e-05	0.012375	2.22711e+08
3.52995e-05	0.012375	2.00619e+08
3.53149e-05	0.012375	1.93186e+08
3.53302e-05	0.012375	1.46332e+08
3.53456e-05	0.012375	1.94735e+08
3.5361e-05	0.012375	1.37245e+08
3.53763e-05	0.012375	1.41128e+08
3.53917e-05	0.012375	1.26214e+08
3.5407e-05	0.012375	1.41909e+08
3.54224e-05	0.012375	2.22099e+08
3.54378e-05	0.012375	9.83658e+07
3.54531e-05	0.012375	1.91581e+08
3.54685e-05	0.012375	6.60688e+07
3.54838e-05	0.012375	6.5633e+07
3.54992e-05	0.012375	8.85688e+07
3.55146e-05	0.012375	7.89751e+07
3.55299e-05	0.012375	6.2938e+07
3.55453e-05	0.012375	2.76038e+07
3.55606e-05	0.012375	1.97512e+06
3.5576e-05	0.012375	223247
3.55914e-05	0.012375	6141
3.56067e-05	0.012375	13138.6
3.56221e-05	0.012375	2042.24
3.56374e-05	0.012375	26.3049
3.56528e-05	0.012375	8.36154
3.56682e-05	0.012375	0.0485791
3.56835e-05	0.012375	6.77809e-05
3.56989e-05	0.012375	7.85905e-07
3.57142e-05	0.012375	2.65334e-11
3.57296e-05	0.012375	5.11235e-317
3.5745e-05	0.012375	3.30891e-319
3.57603e-05	0.012375	1.18576e-322
3.50077e-05	0.015125	0
3.5023e-05	0.015125	0
3.50384e-05	0.015125	0
3.50538e-05	0.015125	0
3.50691e-05	0.015125	0
3.50845e-05	0.015125	0
3.50998e-05	0.015125	1.0553e-306
3.51152e-05	0.015125	2.11081e-306
3.51306e-05	0.015125	1.98233e-306
3.51459e-05	0.015125	2.91123e-306
3.51613e-05	0.015125	4.75388e-306
3.51766e-05	0.015125	5.91644e-306
3.5192e-05	0.015125	6.12776e-306
3.52074e-05	0.015125	5.74328e-306
3.52227e-05	0.015125	7.12402e-306
3.52381e-05	0.015125	6.16204e-306
3.52534e-05	0.015125	6.24446e-306
3.52688e-05	0.015125	1.41843e+08
3.52842e-05	0.015125	1.08183e+08
3.52995e-05	0.015125	1.54561e+08
3.53149e-05	0.015125	1.46808e+08
3.53302e-05	0.015125	2.10392e+08
3.53456e-05	0.015125	2.14125e+08
3.5361e-05	0.015125	1.7425e+08
3.53763e-05	0.015125	2.39011e+08
3.53917e-05	0.015125	2.19407e+08
3.5407e-05	0.015125	1.00243e+08
3.54224e-05	0.015125	6.37818e+07
3.54378e-05	0.015125	2.14435e+08
3.54531e-05	0.015125	1.1775e+08
3.54685e-05	0.015125	9.73721e+07
3.54838e-05	0.015125	1.82907e+08
3.54992e-05	0.015125	1.18449e+08
3.55146e-05	0.015125	1.03857e+08
3.55299e-05	0.015125	4.23181e+07
3.55453e-05	0.015125	3.58425e+07
3.55606e-05	0.015125	2.3447e+07
3.5576e-05	0.015125	95078.1
3.55914e-05	0.015125	35143.1
3.56067e-05	0.015125	4642.79
3.56221e-05	0.015125	995.45
3.56374e-05	0.015125	77.156
3.56528e-05	0.015125	8.24875
3.56682e-05	0.015125	0.667683
3.56835e-05	0.015125	0.00913797
3.56989e-05	0.015125	1.40579e-06
3.57142e-05	0.015125	2.31926e-09
3.57296e-05	0.015125	1.78849e-318
3.5745e-05	0.015125	1.97577e-320
3.57603e-05	0.015125	5.08888e-322
3.50077e-05	0.017875	0
3.5023e-05	0.017875	0
3.50384e-05	0.017875	0
3.50538e-05	0.017875	0
3.50691e-05	0.017875	0
3.50845e-05	0.017875	0
3.50998e-05	0.017875	0
3.51152e-05	0.017875	0
3.51306e-05	0.017875	1.94704e-306
3.51459e-05	0.017875	3.60002e-306
3.51613e-05	0.017875	4.09158e-306
3.51766e-05	0.017875	3.86677e-306
3.5192e-05	0.017875	5.47345e-306
3.52074e-05	0.017875	6.27579e-306
3.52227e-05	0.017875	6.23266e-306
3.52381e-05	0.017875	6.64136e-306
3.52534e-05	0.017875	8.81342e-306
3.52688e-05	0.017875	6.78942e-306
