Step number, fringe number
-3256.324421403864,-93.3048656710356
-3238.324421403864,-92.3048656710356
-3220.324421403864,-91.3048656710356
-3206.324421403864,-90.3048656710356
-3186.324421403864,-89.3048656710356
-3170.324421403864,-88.3048656710356
-3154.324421403864,-87.3048656710356
-3134.324421403864,-86.3048656710356
-3110.324421403864,-85.3048656710356
-3096.324421403864,-84.3048656710356
-3078.324421403864,-83.3048656710356
-3058.324421403864,-82.3048656710356
-3040.324421403864,-81.3048656710356
-3020.324421403864,-80.3048656710356
-3002.324421403864,-79.3048656710356
-2983.324421403864,-78.3048656710356
-2964.324421403864,-77.3048656710356
-2945.324421403864,-76.3048656710356
-2930.324421403864,-75.3048656710356
-2907.324421403864,-74.3048656710356
-2885.324421403864,-73.3048656710356
-2866.324421403864,-72.3048656710356
-2847.324421403864,-71.3048656710356
-2827.324421403864,-70.3048656710356
-2803.324421403864,-69.3048656710356
-2785.324421403864,-68.3048656710356
-2761.324421403864,-67.3048656710356
-2742.324421403864,-66.3048656710356
-2718.324421403864,-65.3048656710356
-2698.324421403864,-64.3048656710356
-2677.324421403864,-63.3048656710356
-2653.324421403864,-62.3048656710356
-2629.324421403864,-61.3048656710356
-2613.324421403864,-60.3048656710356
-2586.324421403864,-59.3048656710356
-2563.324421403864,-58.3048656710356
-2543.324421403864,-57.3048656710356
-2521.324421403864,-56.3048656710356
-2501.324421403864,-55.3048656710356
-2477.324421403864,-54.3048656710356
-2459.324421403864,-53.3048656710356
-2428.324421403864,-52.3048656710356
-2403.324421403864,-51.3048656710356
-2379.324421403864,-50.3048656710356
-2352.324421403864,-49.3048656710356
-2330.324421403864,-48.3048656710356
-2306.324421403864,-47.3048656710356
-2288.324421403864,-46.3048656710356
-2262.324421403864,-45.3048656710356
-2235.324421403864,-44.3048656710356
-2217.324421403864,-43.3048656710356
-2189.324421403864,-42.3048656710356
-2161.324421403864,-41.3048656710356
-2134.324421403864,-40.3048656710356
-2104.324421403864,-39.3048656710356
-2076.324421403864,-38.3048656710356
-2049.324421403864,-37.3048656710356
-2020.324421403864,-36.3048656710356
-1992.324421403864,-35.3048656710356
-1962.324421403864,-34.3048656710356
-1932.324421403864,-33.3048656710356
-1904.324421403864,-32.3048656710356
-1874.324421403864,-31.304865671035596
-1842.324421403864,-30.304865671035596
-1812.324421403864,-29.304865671035596
-1786.324421403864,-28.304865671035596
-1749.324421403864,-27.304865671035596
-1715.324421403864,-26.304865671035596
-1681.324421403864,-25.304865671035596
-1645.324421403864,-24.304865671035596
-1613.324421403864,-23.304865671035596
-1581.324421403864,-22.304865671035596
-1540.324421403864,-21.304865671035596
-1508.324421403864,-20.304865671035596
-1468.324421403864,-19.304865671035596
-1430.324421403864,-18.304865671035596
-1387.324421403864,-17.304865671035596
-1343.324421403864,-16.304865671035596
-1302.324421403864,-15.304865671035598
-1249.324421403864,-14.304865671035598
-1205.324421403864,-13.304865671035598
-1159.324421403864,-12.304865671035598
-1103.324421403864,-11.304865671035598
-1057.324421403864,-10.304865671035598
-1003.324421403864,-9.304865671035598
-939.324421403864,-8.304865671035598
-877.324421403864,-7.304865671035598
-805.324421403864,-6.304865671035598
-732.324421403864,-5.304865671035598
-664.324421403864,-4.304865671035598
-578.324421403864,-3.304865671035598
-447.324421403864,-2.304865671035598
-278.324421403864,-1.3048656710355981
103.67557859613598,-0.30486567103559803
277.675578596136,0.695134328964402
445.675578596136,1.6951343289644019
553.675578596136,2.695134328964402
651.675578596136,3.695134328964402
752.675578596136,4.695134328964402
828.675578596136,5.695134328964402
879.675578596136,6.695134328964402
932.675578596136,7.695134328964402
999.675578596136,8.695134328964402
1046.675578596136,9.695134328964402
1106.675578596136,10.695134328964402
1150.675578596136,11.695134328964402
1195.675578596136,12.695134328964402
1255.675578596136,13.695134328964402
1299.675578596136,14.695134328964402
1341.675578596136,15.695134328964402
1383.675578596136,16.695134328964404
1425.675578596136,17.695134328964404
1481.675578596136,18.695134328964404
1513.675578596136,19.695134328964404
1541.675578596136,20.695134328964404
1568.675578596136,21.695134328964404
1612.675578596136,22.695134328964404
1641.675578596136,23.695134328964404
1681.675578596136,24.695134328964404
1714.675578596136,25.695134328964404
1743.675578596136,26.695134328964404
1778.675578596136,27.695134328964404
1813.675578596136,28.695134328964404
1847.675578596136,29.695134328964404
1877.675578596136,30.695134328964404
1906.675578596136,31.695134328964404
1935.675578596136,32.6951343289644
1963.675578596136,33.6951343289644
1993.675578596136,34.6951343289644
2027.675578596136,35.6951343289644
2058.675578596136,36.6951343289644
2085.675578596136,37.6951343289644
2115.675578596136,38.6951343289644
2139.675578596136,39.6951343289644
2167.675578596136,40.6951343289644
2194.675578596136,41.6951343289644
2219.675578596136,42.6951343289644
2241.675578596136,43.6951343289644
2264.675578596136,44.6951343289644
2291.675578596136,45.6951343289644
2319.675578596136,46.6951343289644
2346.675578596136,47.6951343289644
2372.675578596136,48.6951343289644
2394.675578596136,49.6951343289644
2420.675578596136,50.6951343289644
2443.675578596136,51.6951343289644
2465.675578596136,52.6951343289644
2488.675578596136,53.6951343289644
2511.675578596136,54.6951343289644
2532.675578596136,55.6951343289644
2554.675578596136,56.6951343289644
2576.675578596136,57.6951343289644
2599.675578596136,58.6951343289644
2617.675578596136,59.6951343289644
2638.675578596136,60.6951343289644
2661.675578596136,61.6951343289644
2686.675578596136,62.6951343289644
2710.675578596136,63.6951343289644
2733.675578596136,64.6951343289644
2754.675578596136,65.6951343289644
2775.675578596136,66.6951343289644
2800.675578596136,67.6951343289644
2823.675578596136,68.6951343289644
