#n_l	theta_0	probability

1.46018	-0.000117591	1.9251e-07
1.46119	-0.000117591	1.60439e-07
1.4622	-0.000117591	1.85499e-07
1.46321	-0.000117591	1.33477e-07
1.46422	-0.000117591	1.91994e-06
1.46522	-0.000117591	7.45203e-08
1.46623	-0.000117591	1.59e-06
1.46724	-0.000117591	2.34037e-08
1.46825	-0.000117591	4.91312e-06
1.46926	-0.000117591	1.22783e-06
1.47026	-0.000117591	1.3872e-06
1.47127	-0.000117591	6.43609e-06
1.47228	-0.000117591	1.87936e-07
1.47329	-0.000117591	4.15618e-06
1.4743	-0.000117591	4.91679e-08
1.4753	-0.000117591	2.39625e-06
1.47631	-0.000117591	9.23441e-08
1.47732	-0.000117591	8.50921e-08
1.47833	-0.000117591	9.84532e-08
1.47934	-0.000117591	5.38597e-09
1.48034	-0.000117591	9.14458e-08
1.48135	-0.000117591	5.66155e-09
1.48236	-0.000117591	9.67325e-09
1.48337	-0.000117591	4.58152e-09
1.48438	-0.000117591	1.37001e-10
1.48538	-0.000117591	1.09838e-09
1.48639	-0.000117591	2.85961e-10
1.4874	-0.000117591	3.79169e-11
1.48841	-0.000117591	3.23206e-11
1.48942	-0.000117591	1.36526e-11
1.49042	-0.000117591	6.01644e-13
1.49143	-0.000117591	2.86731e-12
1.49244	-0.000117591	5.52463e-14
1.49345	-0.000117591	1.99634e-14
1.49446	-0.000117591	1.91397e-14
1.49546	-0.000117591	3.14554e-15
1.49647	-0.000117591	3.5071e-19
1.49748	-0.000117591	2.74664e-17
1.49849	-0.000117591	2.51947e-23
1.4995	-0.000117591	1.21097e-21
1.4501	-0.000112889	0
1.45111	-0.000112889	5.15342e-18
1.45212	-0.000112889	2.22632e-08
1.45313	-0.000112889	5.19878e-13
1.45414	-0.000112889	5.00909e-07
1.45514	-0.000112889	1.31717e-08
1.45615	-0.000112889	7.45675e-07
1.45716	-0.000112889	1.68903e-06
1.45817	-0.000112889	9.37916e-06
1.45918	-0.000112889	6.37355e-05
1.46018	-0.000112889	3.34116e-05
1.46119	-0.000112889	0.000122808
1.4622	-0.000112889	0.000872785
1.46321	-0.000112889	0.000212855
1.46422	-0.000112889	0.00467556
1.46522	-0.000112889	0.000307174
1.46623	-0.000112889	0.00203907
1.46724	-0.000112889	3.58737e-05
1.46825	-0.000112889	0.0185672
1.46926	-0.000112889	0.000106596
1.47026	-0.000112889	0.0173922
1.47127	-0.000112889	0.00190068
1.47228	-0.000112889	0.000559885
1.47329	-0.000112889	0.0073195
1.4743	-0.000112889	1.82659e-05
1.4753	-0.000112889	0.00624341
1.47631	-0.000112889	6.84159e-05
1.47732	-0.000112889	0.000259298
1.47833	-0.000112889	2.34934e-05
1.47934	-0.000112889	4.20573e-06
1.48034	-0.000112889	0.000100913
1.48135	-0.000112889	7.79081e-07
1.48236	-0.000112889	1.23053e-06
1.48337	-0.000112889	1.10198e-05
1.48438	-0.000112889	1.40931e-07
1.48538	-0.000112889	9.56689e-07
1.48639	-0.000112889	1.33465e-07
1.4874	-0.000112889	2.80642e-09
1.48841	-0.000112889	1.31235e-08
1.48942	-0.000112889	3.37041e-09
1.49042	-0.000112889	1.29457e-10
1.49143	-0.000112889	1.11206e-10
1.49244	-0.000112889	7.11135e-11
1.49345	-0.000112889	9.12213e-13
1.49446	-0.000112889	3.49117e-12
1.49546	-0.000112889	1.43625e-13
1.49647	-0.000112889	1.75332e-14
1.49748	-0.000112889	1.04431e-14
1.49849	-0.000112889	1.9315e-20
1.4995	-0.000112889	3.79794e-17
1.4501	-0.000108186	0
1.45111	-0.000108186	3.60122e-15
1.45212	-0.000108186	8.93966e-08
1.45313	-0.000108186	5.55602e-10
1.45414	-0.000108186	3.11251e-05
1.45514	-0.000108186	4.53463e-06
1.45615	-0.000108186	0.000121539
1.45716	-0.000108186	0.0012245
1.45817	-0.000108186	0.00048971
1.45918	-0.000108186	0.0157427
