#theta_0	N_0	probability

-7.52688e-05	0.034	0.897653
-7.05663e-05	0.034	0.459022
-6.58638e-05	0.034	0.0101824
-6.11613e-05	0.034	0.00022804
-5.64588e-05	0.034	6.34599e-07
-5.17563e-05	0.034	1.34891e-09
-4.70538e-05	0.034	8.07978e-13
-4.23513e-05	0.034	7.34857e-16
-0.000131699	0.038	8.22402e-26
-0.000126996	0.038	1.03576e-20
-0.000122294	0.038	1.41186e-16
-0.000117591	0.038	1.40282e-13
-0.000112889	0.038	3.87459e-11
-0.000108186	0.038	2.61235e-08
-0.000103484	0.038	1.46655e-06
-9.87813e-05	0.038	6.1862e-05
-9.40788e-05	0.038	0.00095538
-8.93763e-05	0.038	0.0283062
-8.46738e-05	0.038	0.0366982
-7.99713e-05	0.038	3.01063
-7.52688e-05	0.038	0.0455335
-7.05663e-05	0.038	0.0181181
-6.58638e-05	0.038	0.000352619
-6.11613e-05	0.038	1.52744e-05
-5.64588e-05	0.038	2.4733e-08
-5.17563e-05	0.038	1.01481e-10
-4.70538e-05	0.038	3.98877e-14
-4.23513e-05	0.038	3.6851e-17
-0.000131699	0.042	1.21946e-26
-0.000126996	0.042	9.19637e-21
-0.000122294	0.042	8.83396e-18
-0.000117591	0.042	2.62317e-14
-0.000112889	0.042	2.94584e-12
-0.000108186	0.042	1.22383e-09
-0.000103484	0.042	3.22003e-07
-9.87813e-05	0.042	3.05705e-05
-9.40788e-05	0.042	8.22796e-05
-8.93763e-05	0.042	0.00281883
-8.46738e-05	0.042	0.00928032
-7.99713e-05	0.042	0.350917
-7.52688e-05	0.042	0.0038101
-7.05663e-05	0.042	0.000898712
-6.58638e-05	0.042	3.73803e-05
-6.11613e-05	0.042	7.54503e-07
-5.64588e-05	0.042	2.54259e-09
-5.17563e-05	0.042	1.06669e-12
-4.70538e-05	0.042	1.55289e-15
-4.23513e-05	0.042	2.03399e-18
-0.000131699	0.046	2.67113e-27
-0.000126996	0.046	1.04008e-21
-0.000122294	0.046	8.2182e-19
-0.000117591	0.046	8.14435e-16
-0.000112889	0.046	2.47834e-13
-0.000108186	0.046	1.11891e-10
-0.000103484	0.046	2.12352e-08
-9.87813e-05	0.046	6.16863e-06
-9.40788e-05	0.046	2.35712e-05
-8.93763e-05	0.046	0.000200007
-8.46738e-05	0.046	0.00169546
-7.99713e-05	0.046	0.00631938
-7.52688e-05	0.046	0.000506728
-7.05663e-05	0.046	9.33083e-06
-6.58638e-05	0.046	1.39025e-06
-6.11613e-05	0.046	2.54365e-08
-5.64588e-05	0.046	9.94242e-11
-5.17563e-05	0.046	2.12949e-13
-4.70538e-05	0.046	4.58621e-16
-4.23513e-05	0.046	1.08159e-19
-0.000131699	0.05	3.91681e-29
-0.000126996	0.05	1.52391e-23
-0.000122294	0.05	1.24999e-19
-0.000117591	0.05	2.92021e-17
-0.000112889	0.05	1.2785e-14
-0.000108186	0.05	3.35756e-11
-0.000103484	0.05	4.05209e-09
-9.87813e-05	0.05	1.07536e-07
-9.40788e-05	0.05	3.85425e-06
-8.93763e-05	0.05	1.58579e-05
-8.46738e-05	0.05	8.71713e-05
-7.99713e-05	0.05	2.63147e-05
-7.52688e-05	0.05	5.32022e-06
-7.05663e-05	0.05	7.90264e-07
-6.58638e-05	0.05	1.48017e-07
-6.11613e-05	0.05	1.01502e-09
-5.64588e-05	0.05	1.68188e-11
-5.17563e-05	0.05	1.62323e-14
-4.70538e-05	0.05	5.37743e-17
-4.23513e-05	0.05	3.59197e-21
-0.000131699	0.054	1.97141e-30
-0.000126996	0.054	1.01146e-24
-0.000122294	0.054	1.12389e-21
-0.000117591	0.054	1.84596e-18
-0.000112889	0.054	3.34108e-15
-0.000108186	0.054	7.08842e-13
-0.000103484	0.054	8.92135e-11
-9.87813e-05	0.054	2.02139e-08
-9.40788e-05	0.054	3.76543e-07
-8.93763e-05	0.054	1.88715e-06
-8.46738e-05	0.054	4.66912e-06
-7.99713e-05	0.054	8.78602e-07
-7.52688e-05	0.054	6.55218e-07
-7.05663e-05	0.054	5.77753e-08
-6.58638e-05	0.054	7.68792e-09
-6.11613e-05	0.054	7.40813e-11
-5.64588e-05	0.054	7.09075e-12
-5.17563e-05	0.054	6.10259e-15
-4.70538e-05	0.054	1.94626e-18
-4.23513e-05	0.054	4.83506e-22
-0.000131699	0.058	9.97332e-32
-0.000126996	0.058	1.22332e-26
-0.000122294	0.058	4.35525e-23
-0.000117591	0.058	5.1395e-19
-0.000112889	0.058	1.12261e-16
-0.000108186	0.058	9.9989e-14
-0.000103484	0.058	8.2207e-12
-9.87813e-05	0.058	3.80811e-09
-9.40788e-05	0.058	1.54712e-08
-8.93763e-05	0.058	7.13902e-08
-8.46738e-05	0.058	2.50215e-07
-7.99713e-05	0.058	6.23017e-08
-7.52688e-05	0.058	9.66288e-08
-7.05663e-05	0.058	7.52561e-09
-6.58638e-05	0.058	6.23074e-10
-6.11613e-05	0.058	4.17334e-11
-5.64588e-05	0.058	2.28526e-13
-5.17563e-05	0.058	2.51477e-16
-4.70538e-05	0.058	9.5721e-20
-4.23513e-05	0.058	1.68376e-24
-0.000131699	0.062	1.14717e-33
-0.000126996	0.062	5.29491e-28
-0.000122294	0.062	1.91778e-24
-0.000117591	0.062	2.33337e-20
-0.000112889	0.062	1.93976e-17
-0.000108186	0.062	8.74329e-15
-0.000103484	0.062	1.00464e-12
-9.87813e-05	0.062	1.15006e-10
-9.40788e-05	0.062	1.61267e-09
-8.93763e-05	0.062	2.66005e-09
-8.46738e-05	0.062	1.33818e-08
-7.99713e-05	0.062	2.71859e-09
-7.52688e-05	0.062	1.63398e-09
-7.05663e-05	0.062	3.62473e-10
-6.58638e-05	0.062	3.12271e-11
-6.11613e-05	0.062	1.68326e-12
-5.64588e-05	0.062	7.96408e-15
-5.17563e-05	0.062	5.56097e-17
-4.70538e-05	0.062	2.28932e-22
-4.23513e-05	0.062	5.89066e-26
-0.000131699	0.066	1.48058e-34
-0.000126996	0.066	4.5829e-30
-0.000122294	0.066	5.49441e-25
-0.000117591	0.066	9.45037e-22
-0.000112889	0.066	1.32272e-18
-0.000108186	0.066	4.29202e-16
-0.000103484	0.066	4.22091e-14
-9.87813e-05	0.066	4.70657e-12
-9.40788e-05	0.066	7.19001e-11
-8.93763e-05	0.066	1.01331e-10
-8.46738e-05	0.066	7.21639e-10
-7.99713e-05	0.066	2.08589e-10
-7.52688e-05	0.066	9.83321e-11
-7.05663e-05	0.066	2.14739e-11
-6.58638e-05	0.066	6.10627e-12
-6.11613e-05	0.066	4.31191e-13
-5.64588e-05	0.066	8.19765e-16
-5.17563e-05	0.066	2.93007e-18
-4.70538e-05	0.066	8.45127e-24
-4.23513e-05	0.066	1.07077e-25
-0.000131699	0.07	2.4513e-35
-0.000126996	0.07	1.02509e-30
-0.000122294	0.07	2.42869e-26
-0.000117591	0.07	1.7271e-22
-0.000112889	0.07	6.77509e-20
-0.000108186	0.07	4.45906e-17
-0.000103484	0.07	6.63227e-15
-9.87813e-05	0.07	1.55185e-13
-9.40788e-05	0.07	1.36263e-12
-8.93763e-05	0.07	2.55801e-12
-8.46738e-05	0.07	2.04821e-11
-7.99713e-05	0.07	1.36682e-11
-7.52688e-05	0.07	6.27291e-12
-7.05663e-05	0.07	1.93967e-12
-6.58638e-05	0.07	8.0921e-13
