#n_l	N_0	probability

1.46926	0.018	0.532702
1.47026	0.018	6.58632
1.47127	0.018	0.541125
1.47228	0.018	3.3145
1.47329	0.018	0.6454
1.4743	0.018	0.956437
1.4753	0.018	5.48913
1.47631	0.018	0.0786005
1.47732	0.018	9.38947
1.47833	0.018	0.122949
1.47934	0.018	0.464155
1.48034	0.018	0.30691
1.48135	0.018	0.0080978
1.48236	0.018	0.140473
1.48337	0.018	0.0182587
1.48438	0.018	0.0319625
1.48538	0.018	0.031567
1.48639	0.018	0.000493637
1.4874	0.018	0.000308184
1.48841	0.018	0.00123532
1.48942	0.018	8.2271e-06
1.49042	0.018	5.50878e-05
1.49143	0.018	1.54454e-05
1.49244	0.018	1.5011e-07
1.49345	0.018	6.49962e-07
1.49446	0.018	2.75132e-06
1.49546	0.018	5.95286e-10
1.49647	0.018	6.51402e-08
1.49748	0.018	9.81743e-12
1.49849	0.018	2.22069e-12
1.4995	0.018	6.41563e-12
1.4501	0.022	0
1.45111	0.022	1.69064e-09
1.45212	0.022	2.08464e-10
1.45313	0.022	1.07217e-05
1.45414	0.022	4.35556e-08
1.45514	0.022	0.000717827
1.45615	0.022	2.45355e-08
1.45716	0.022	0.00526085
1.45817	0.022	2.57581e-05
1.45918	0.022	0.0603425
1.46018	0.022	0.000453517
1.46119	0.022	0.117464
1.4622	0.022	0.0034052
1.46321	0.022	0.231039
1.46422	0.022	0.0085744
1.46522	0.022	1.68571
1.46623	0.022	0.0767926
1.46724	0.022	0.164402
1.46825	0.022	0.336515
1.46926	0.022	0.364099
1.47026	0.022	3.63315
1.47127	0.022	0.0891996
1.47228	0.022	3.37957
1.47329	0.022	0.046949
1.4743	0.022	1.42446
1.4753	0.022	0.263272
1.47631	0.022	0.012481
1.47732	0.022	0.287345
1.47833	0.022	0.0120532
1.47934	0.022	0.167257
1.48034	0.022	0.0157547
1.48135	0.022	0.0011463
1.48236	0.022	0.00625636
1.48337	0.022	0.000946695
1.48438	0.022	0.000418352
1.48538	0.022	0.00069171
1.48639	0.022	1.68375e-05
1.4874	0.022	0.000358081
1.48841	0.022	0.000175184
1.48942	0.022	7.56848e-07
1.49042	0.022	2.6332e-05
1.49143	0.022	7.38669e-07
1.49244	0.022	1.6873e-08
1.49345	0.022	9.67791e-07
1.49446	0.022	2.02439e-08
1.49546	0.022	1.10561e-09
1.49647	0.022	1.71044e-09
1.49748	0.022	9.58482e-14
1.49849	0.022	1.1785e-12
1.4995	0.022	9.05822e-14
1.4501	0.026	0
1.45111	0.026	8.31991e-10
1.45212	0.026	2.35186e-12
1.45313	0.026	1.26312e-06
1.45414	0.026	1.86931e-10
1.45514	0.026	0.000646285
1.45615	0.026	3.07145e-07
1.45716	0.026	0.00230657
1.45817	0.026	1.04678e-05
1.45918	0.026	0.017168
1.46018	0.026	8.83032e-05
1.46119	0.026	0.124361
1.4622	0.026	0.000370518
1.46321	0.026	0.272841
1.46422	0.026	0.00113651
1.46522	0.026	0.0965412
1.46623	0.026	0.00332653
1.46724	0.026	0.0771741
1.46825	0.026	0.0277103
1.46926	0.026	0.177225
1.47026	0.026	0.0905265
1.47127	0.026	0.00770189
1.47228	0.026	0.107563
1.47329	0.026	0.00306754
1.4743	0.026	0.0591344
1.4753	0.026	0.0192025
1.47631	0.026	0.0087293
1.47732	0.026	0.231007
1.47833	0.026	0.000964931
1.47934	0.026	0.00813141
1.48034	0.026	0.0164628
1.48135	0.026	0.000589175
1.48236	0.026	0.00272408
1.48337	0.026	7.28599e-05
1.48438	0.026	0.000944209
1.48538	0.026	0.00292346
1.48639	0.026	6.05279e-06
1.4874	0.026	2.8636e-05
1.48841	0.026	4.62085e-05
1.48942	0.026	2.29009e-07
1.49042	0.026	8.74861e-07
1.49143	0.026	2.30248e-06
1.49244	0.026	2.18603e-09
1.49345	0.026	2.13211e-07
1.49446	0.026	2.09958e-09
1.49546	0.026	8.5815e-11
1.49647	0.026	7.37284e-11
1.49748	0.026	1.22082e-14
1.49849	0.026	2.36557e-13
1.4995	0.026	5.37713e-14
1.4501	0.03	0
1.45111	0.03	3.25469e-10
1.45212	0.03	3.68363e-13
1.45313	0.03	4.4796e-06
