#theta_0	N_0	probability

0.0015	0.675	0
0.0017	0.675	0
0.0019	0.675	0
-0.0019	0.725	0
-0.0017	0.725	0
-0.0015	0.725	0
-0.0013	0.725	0
-0.0011	0.725	0
-0.0009	0.725	0
-0.0007	0.725	0
-0.0005	0.725	0
-0.0003	0.725	0
-0.0001	0.725	0
0.0001	0.725	0
0.0003	0.725	0
0.0005	0.725	0
0.0007	0.725	0
0.0009	0.725	0
0.0011	0.725	0
0.0013	0.725	0
0.0015	0.725	0
0.0017	0.725	0
0.0019	0.725	0
-0.0019	0.775	0
-0.0017	0.775	0
-0.0015	0.775	0
-0.0013	0.775	0
-0.0011	0.775	0
-0.0009	0.775	0
-0.0007	0.775	0
-0.0005	0.775	0
-0.0003	0.775	0
-0.0001	0.775	0
0.0001	0.775	0
0.0003	0.775	0
0.0005	0.775	0
0.0007	0.775	0
0.0009	0.775	0
0.0011	0.775	0
0.0013	0.775	0
0.0015	0.775	0
0.0017	0.775	0
0.0019	0.775	0
-0.0019	0.825	0
-0.0017	0.825	0
-0.0015	0.825	0
-0.0013	0.825	0
-0.0011	0.825	0
-0.0009	0.825	0
-0.0007	0.825	0
-0.0005	0.825	0
-0.0003	0.825	0
-0.0001	0.825	0
0.0001	0.825	0
0.0003	0.825	0
0.0005	0.825	0
0.0007	0.825	0
0.0009	0.825	0
0.0011	0.825	0
0.0013	0.825	0
0.0015	0.825	0
0.0017	0.825	0
0.0019	0.825	0
-0.0019	0.875	0
-0.0017	0.875	0
-0.0015	0.875	0
-0.0013	0.875	0
-0.0011	0.875	0
-0.0009	0.875	0
-0.0007	0.875	0
-0.0005	0.875	0
-0.0003	0.875	0
-0.0001	0.875	0
0.0001	0.875	0
0.0003	0.875	0
0.0005	0.875	0
0.0007	0.875	0
0.0009	0.875	0
0.0011	0.875	0
0.0013	0.875	0
0.0015	0.875	0
0.0017	0.875	0
0.0019	0.875	0
-0.0019	0.925	0
-0.0017	0.925	0
-0.0015	0.925	0
-0.0013	0.925	0
-0.0011	0.925	0
-0.0009	0.925	0
-0.0007	0.925	0
-0.0005	0.925	0
-0.0003	0.925	0
-0.0001	0.925	0
0.0001	0.925	0
0.0003	0.925	0
0.0005	0.925	0
0.0007	0.925	0
0.0009	0.925	0
0.0011	0.925	0
0.0013	0.925	0
0.0015	0.925	0
0.0017	0.925	0
0.0019	0.925	0
-0.0019	0.975	0
-0.0017	0.975	0
-0.0015	0.975	0
-0.0013	0.975	0
-0.0011	0.975	0
-0.0009	0.975	0
-0.0007	0.975	0
-0.0005	0.975	0
-0.0003	0.975	0
-0.0001	0.975	0
0.0001	0.975	0
0.0003	0.975	0
0.0005	0.975	0
0.0007	0.975	0
0.0009	0.975	0
0.0011	0.975	0
0.0013	0.975	0
0.0015	0.975	0
0.0017	0.975	0
0.0019	0.975	0
