#n_l	N_0	probability

1.5227	0.275	0
1.5253	0.275	0
1.5279	0.275	0
1.5305	0.275	0
1.5331	0.275	0
1.5357	0.275	0
1.5383	0.275	0
1.5409	0.275	0
1.5435	0.275	0
1.5461	0.275	0
1.5487	0.275	0
1.4213	0.325	0
1.4239	0.325	0
1.4265	0.325	0
1.4291	0.325	0
1.4317	0.325	0
1.4343	0.325	0
1.4369	0.325	0
1.4395	0.325	0
1.4421	0.325	0
1.4447	0.325	0
1.4473	0.325	0
1.4499	0.325	0
1.4525	0.325	0
1.4551	0.325	0
1.4577	0.325	0
1.4603	0.325	0
1.4629	0.325	0
1.4655	0.325	0
1.4681	0.325	0
1.4707	0.325	0
1.4733	0.325	0
1.4759	0.325	0
1.4785	0.325	0
1.4811	0.325	0
1.4837	0.325	0
1.4863	0.325	0
1.4889	0.325	0
1.4915	0.325	0
1.4941	0.325	0
1.4967	0.325	0
1.4993	0.325	0
1.5019	0.325	0
1.5045	0.325	0
1.5071	0.325	0
1.5097	0.325	0
1.5123	0.325	0
1.5149	0.325	0
1.5175	0.325	0
1.5201	0.325	0
1.5227	0.325	0
1.5253	0.325	0
1.5279	0.325	0
1.5305	0.325	0
1.5331	0.325	0
1.5357	0.325	0
1.5383	0.325	0
1.5409	0.325	0
1.5435	0.325	0
1.5461	0.325	0
1.5487	0.325	0
1.4213	0.375	0
1.4239	0.375	0
1.4265	0.375	0
1.4291	0.375	0
1.4317	0.375	0
1.4343	0.375	0
1.4369	0.375	0
1.4395	0.375	0
1.4421	0.375	0
1.4447	0.375	0
1.4473	0.375	0
1.4499	0.375	0
1.4525	0.375	0
1.4551	0.375	0
1.4577	0.375	0
1.4603	0.375	0
1.4629	0.375	0
1.4655	0.375	0
1.4681	0.375	0
1.4707	0.375	0
1.4733	0.375	0
1.4759	0.375	0
1.4785	0.375	0
1.4811	0.375	0
1.4837	0.375	0
1.4863	0.375	0
1.4889	0.375	0
1.4915	0.375	0
1.4941	0.375	0
1.4967	0.375	0
1.4993	0.375	0
1.5019	0.375	0
1.5045	0.375	0
1.5071	0.375	0
1.5097	0.375	0
1.5123	0.375	0
1.5149	0.375	0
1.5175	0.375	0
1.5201	0.375	0
1.5227	0.375	0
1.5253	0.375	0
1.5279	0.375	0
1.5305	0.375	0
1.5331	0.375	0
1.5357	0.375	0
1.5383	0.375	0
1.5409	0.375	0
1.5435	0.375	0
1.5461	0.375	0
1.5487	0.375	0
1.4213	0.425	0
1.4239	0.425	0
1.4265	0.425	0
1.4291	0.425	0
1.4317	0.425	0
