#gamma	theta_0	probability

2.69002e-05	0.00021408	1.1048e+08
2.69012e-05	0.00021408	9.00296e+07
2.69023e-05	0.00021408	8.58513e+07
2.69033e-05	0.00021408	8.85591e+07
2.69044e-05	0.00021408	7.84358e+07
2.69054e-05	0.00021408	7.0979e+07
2.69065e-05	0.00021408	6.12024e+07
2.69075e-05	0.00021408	6.7182e+07
2.69086e-05	0.00021408	6.77194e+07
2.69096e-05	0.00021408	6.27625e+07
2.69107e-05	0.00021408	5.04334e+07
2.69117e-05	0.00021408	4.626e+07
2.69128e-05	0.00021408	5.1146e+07
2.69138e-05	0.00021408	5.21276e+07
2.69149e-05	0.00021408	4.78306e+07
2.69159e-05	0.00021408	4.4378e+07
2.6917e-05	0.00021408	3.63267e+07
2.6918e-05	0.00021408	2.89204e+07
2.69191e-05	0.00021408	2.75305e+07
2.69201e-05	0.00021408	2.85441e+07
2.69212e-05	0.00021408	3.09763e+07
2.69222e-05	0.00021408	2.86919e+07
2.69233e-05	0.00021408	3.1094e+07
2.69243e-05	0.00021408	2.57745e+07
2.69254e-05	0.00021408	2.4845e+07
2.69264e-05	0.00021408	2.46597e+07
2.69275e-05	0.00021408	2.46234e+07
2.69285e-05	0.00021408	2.05305e+07
2.69296e-05	0.00021408	2.2697e+07
2.69306e-05	0.00021408	2.33229e+07
2.69317e-05	0.00021408	1.80563e+07
2.69327e-05	0.00021408	1.34176e+07
2.69338e-05	0.00021408	1.13132e+07
2.69348e-05	0.00021408	1.18986e+07
2.69359e-05	0.00021408	8.95024e+06
2.69369e-05	0.00021408	1.02938e+07
2.6938e-05	0.00021408	1.08872e+07
2.6939e-05	0.00021408	1.15586e+07
2.69401e-05	0.00021408	9.48033e+06
2.69411e-05	0.00021408	6.96186e+06
2.69422e-05	0.00021408	8.08656e+06
2.69432e-05	0.00021408	6.87204e+06
2.69443e-05	0.00021408	3.79671e+06
2.68403e-05	0.000216	0
2.68414e-05	0.000216	0
2.68424e-05	0.000216	0
2.68435e-05	0.000216	0
2.68445e-05	0.000216	0
2.68456e-05	0.000216	0
2.68466e-05	0.000216	0
2.68477e-05	0.000216	0
2.68487e-05	0.000216	0
2.68498e-05	0.000216	0
2.68508e-05	0.000216	0
2.68519e-05	0.000216	0
2.68529e-05	0.000216	37644.3
2.6854e-05	0.000216	132896
2.6855e-05	0.000216	215718
2.68561e-05	0.000216	261202
2.68571e-05	0.000216	339015
2.68582e-05	0.000216	499993
2.68592e-05	0.000216	574316
2.68603e-05	0.000216	731836
2.68613e-05	0.000216	948600
2.68624e-05	0.000216	1.06488e+06
2.68634e-05	0.000216	1.5397e+06
2.68645e-05	0.000216	2.21596e+06
2.68655e-05	0.000216	2.84239e+06
2.68666e-05	0.000216	3.49214e+06
2.68676e-05	0.000216	4.05238e+06
2.68687e-05	0.000216	5.15109e+06
2.68697e-05	0.000216	6.38652e+06
2.68708e-05	0.000216	8.03255e+06
2.68718e-05	0.000216	9.51874e+06
2.68729e-05	0.000216	1.09526e+07
2.68739e-05	0.000216	1.34495e+07
2.6875e-05	0.000216	1.7685e+07
2.6876e-05	0.000216	2.37121e+07
2.68771e-05	0.000216	3.13527e+07
2.68781e-05	0.000216	3.08546e+07
2.68792e-05	0.000216	3.1373e+07
2.68802e-05	0.000216	2.8791e+07
2.68813e-05	0.000216	2.59265e+07
2.68823e-05	0.000216	2.82865e+07
2.68834e-05	0.000216	2.8493e+07
2.68844e-05	0.000216	2.94452e+07
2.68855e-05	0.000216	4.21475e+07
2.68865e-05	0.000216	3.94351e+07
2.68876e-05	0.000216	4.99349e+07
2.68886e-05	0.000216	5.08261e+07
2.68897e-05	0.000216	7.26974e+07
2.68907e-05	0.000216	7.65136e+07
2.68918e-05	0.000216	9.66498e+07
2.68928e-05	0.000216	1.00138e+08
2.68939e-05	0.000216	1.58063e+08
2.68949e-05	0.000216	2.13825e+08
2.6896e-05	0.000216	2.46605e+08
2.6897e-05	0.000216	2.7605e+08
2.68981e-05	0.000216	2.59354e+08
2.68991e-05	0.000216	1.79382e+08
2.69002e-05	0.000216	1.60613e+08
2.69012e-05	0.000216	1.61228e+08
2.69023e-05	0.000216	1.49655e+08
2.69033e-05	0.000216	1.31808e+08
2.69044e-05	0.000216	1.26419e+08
2.69054e-05	0.000216	1.47258e+08
2.69065e-05	0.000216	1.29829e+08
2.69075e-05	0.000216	1.30498e+08
2.69086e-05	0.000216	1.14775e+08
2.69096e-05	0.000216	1.23633e+08
2.69107e-05	0.000216	1.08433e+08
2.69117e-05	0.000216	9.45897e+07
2.69128e-05	0.000216	8.95034e+07
2.69138e-05	0.000216	8.52152e+07
2.69149e-05	0.000216	7.30482e+07
2.69159e-05	0.000216	5.13651e+07
2.6917e-05	0.000216	5.0201e+07
2.6918e-05	0.000216	4.9856e+07
2.69191e-05	0.000216	4.77376e+07
2.69201e-05	0.000216	5.25912e+07
2.69212e-05	0.000216	4.90281e+07
2.69222e-05	0.000216	4.9193e+07
2.69233e-05	0.000216	4.69746e+07
2.69243e-05	0.000216	4.14712e+07
2.69254e-05	0.000216	4.28987e+07
2.69264e-05	0.000216	4.15102e+07
2.69275e-05	0.000216	4.28621e+07
2.69285e-05	0.000216	3.82406e+07
2.69296e-05	0.000216	3.89327e+07
2.69306e-05	0.000216	3.81589e+07
2.69317e-05	0.000216	3.19121e+07
2.69327e-05	0.000216	3.14722e+07
2.69338e-05	0.000216	2.36782e+07
2.69348e-05	0.000216	2.26024e+07
2.69359e-05	0.000216	2.13872e+07
2.69369e-05	0.000216	2.15032e+07
2.6938e-05	0.000216	1.98913e+07
2.6939e-05	0.000216	1.83283e+07
2.69401e-05	0.000216	1.77406e+07
2.69411e-05	0.000216	1.64504e+07
2.69422e-05	0.000216	1.94878e+07
2.69432e-05	0.000216	1.59164e+07
2.69443e-05	0.000216	9.48254e+06
2.68403e-05	0.00021792	0
2.68414e-05	0.00021792	0
2.68424e-05	0.00021792	0
2.68435e-05	0.00021792	0
2.68445e-05	0.00021792	0
2.68456e-05	0.00021792	0
2.68466e-05	0.00021792	0
2.68477e-05	0.00021792	0
2.68487e-05	0.00021792	0
2.68498e-05	0.00021792	8253.28
2.68508e-05	0.00021792	18716.8
2.68519e-05	0.00021792	31116.7
2.68529e-05	0.00021792	134162
2.6854e-05	0.00021792	252167
2.6855e-05	0.00021792	530242
2.68561e-05	0.00021792	555580
2.68571e-05	0.00021792	727967
2.68582e-05	0.00021792	1.00362e+06
2.68592e-05	0.00021792	1.0994e+06
2.68603e-05	0.00021792	1.38036e+06
2.68613e-05	0.00021792	1.85227e+06
2.68624e-05	0.00021792	2.63685e+06
2.68634e-05	0.00021792	3.92994e+06
2.68645e-05	0.00021792	5.28672e+06
2.68655e-05	0.00021792	6.97827e+06
2.68666e-05	0.00021792	7.71339e+06
2.68676e-05	0.00021792	8.58251e+06
2.68687e-05	0.00021792	1.0238e+07
2.68697e-05	0.00021792	1.17257e+07
2.68708e-05	0.00021792	1.39923e+07
2.68718e-05	0.00021792	1.80709e+07
2.68729e-05	0.00021792	2.41397e+07
2.68739e-05	0.00021792	3.27484e+07
2.6875e-05	0.00021792	3.63669e+07
2.6876e-05	0.00021792	4.54012e+07
2.68771e-05	0.00021792	4.31488e+07
2.68781e-05	0.00021792	4.2124e+07
2.68792e-05	0.00021792	4.23423e+07
2.68802e-05	0.00021792	4.12739e+07
2.68813e-05	0.00021792	4.1458e+07
2.68823e-05	0.00021792	4.79553e+07
2.68834e-05	0.00021792	5.2295e+07
2.68844e-05	0.00021792	5.79964e+07
2.68855e-05	0.00021792	6.99792e+07
2.68865e-05	0.00021792	9.08634e+07
2.68876e-05	0.00021792	9.94796e+07
2.68886e-05	0.00021792	1.31534e+08
2.68897e-05	0.00021792	1.38796e+08
2.68907e-05	0.00021792	2.05277e+08
2.68918e-05	0.00021792	2.51195e+08
2.68928e-05	0.00021792	2.96596e+08
2.68939e-05	0.00021792	3.702e+08
2.68949e-05	0.00021792	4.74337e+08
2.6896e-05	0.00021792	3.57418e+08
2.6897e-05	0.00021792	3.61374e+08
2.68981e-05	0.00021792	3.20108e+08
2.68991e-05	0.00021792	3.26808e+08
2.69002e-05	0.00021792	2.90496e+08
2.69012e-05	0.00021792	2.62649e+08
2.69023e-05	0.00021792	2.83529e+08
2.69033e-05	0.00021792	2.93286e+08
2.69044e-05	0.00021792	3.03786e+08
2.69054e-05	0.00021792	3.22264e+08
2.69065e-05	0.00021792	2.42706e+08
2.69075e-05	0.00021792	2.56842e+08
2.69086e-05	0.00021792	2.39321e+08
2.69096e-05	0.00021792	2.22695e+08
2.69107e-05	0.00021792	2.08062e+08
2.69117e-05	0.00021792	1.6838e+08
2.69128e-05	0.00021792	1.61572e+08
2.69138e-05	0.00021792	1.5086e+08
2.69149e-05	0.00021792	1.31572e+08
2.69159e-05	0.00021792	9.88754e+07
2.6917e-05	0.00021792	8.75827e+07
2.6918e-05	0.00021792	9.748e+07
2.69191e-05	0.00021792	9.13378e+07
2.69201e-05	0.00021792	8.96054e+07
2.69212e-05	0.00021792	8.19945e+07
2.69222e-05	0.00021792	8.40409e+07
2.69233e-05	0.00021792	6.80931e+07
2.69243e-05	0.00021792	6.56421e+07
2.69254e-05	0.00021792	6.31017e+07
2.69264e-05	0.00021792	6.72027e+07
2.69275e-05	0.00021792	7.25547e+07
2.69285e-05	0.00021792	6.51134e+07
2.69296e-05	0.00021792	6.0494e+07
2.69306e-05	0.00021792	5.43765e+07
2.69317e-05	0.00021792	5.45519e+07
2.69327e-05	0.00021792	5.03056e+07
2.69338e-05	0.00021792	5.8817e+07
2.69348e-05	0.00021792	5.21531e+07
2.69359e-05	0.00021792	5.24854e+07
2.69369e-05	0.00021792	5.41628e+07
2.6938e-05	0.00021792	3.69387e+07
2.6939e-05	0.00021792	2.81746e+07
2.69401e-05	0.00021792	2.78729e+07
2.69411e-05	0.00021792	2.89295e+07
2.69422e-05	0.00021792	2.79941e+07
2.69432e-05	0.00021792	2.13761e+07
2.69443e-05	0.00021792	1.94775e+07
2.68403e-05	0.00021984	0
2.68414e-05	0.00021984	0
2.68424e-05	0.00021984	0
2.68435e-05	0.00021984	0
2.68445e-05	0.00021984	0
2.68456e-05	0.00021984	0
2.68466e-05	0.00021984	4786.98
2.68477e-05	0.00021984	8450.68
2.68487e-05	0.00021984	30032.7
2.68498e-05	0.00021984	49875.9
2.68508e-05	0.00021984	96044.9
2.68519e-05	0.00021984	131889
2.68529e-05	0.00021984	182533
2.6854e-05	0.00021984	257068
2.6855e-05	0.00021984	514256
2.68561e-05	0.00021984	767562
2.68571e-05	0.00021984	1.14545e+06
2.68582e-05	0.00021984	1.37517e+06
2.68592e-05	0.00021984	2.04571e+06
2.68603e-05	0.00021984	2.89364e+06
2.68613e-05	0.00021984	3.99319e+06
2.68624e-05	0.00021984	4.93156e+06
2.68634e-05	0.00021984	6.56193e+06
2.68645e-05	0.00021984	8.29911e+06
2.68655e-05	0.00021984	1.19247e+07
2.68666e-05	0.00021984	1.33889e+07
2.68676e-05	0.00021984	1.7574e+07
2.68687e-05	0.00021984	2.13232e+07
2.68697e-05	0.00021984	2.22296e+07
2.68708e-05	0.00021984	2.82343e+07
2.68718e-05	0.00021984	3.45201e+07
2.68729e-05	0.00021984	4.35602e+07
2.68739e-05	0.00021984	4.6466e+07
2.6875e-05	0.00021984	5.56695e+07
2.6876e-05	0.00021984	6.17562e+07
2.68771e-05	0.00021984	6.4036e+07
2.68781e-05	0.00021984	6.17638e+07
2.68792e-05	0.00021984	6.20208e+07
2.68802e-05	0.00021984	6.58019e+07
2.68813e-05	0.00021984	6.85697e+07
2.68823e-05	0.00021984	7.99973e+07
2.68834e-05	0.00021984	1.03087e+08
2.68844e-05	0.00021984	1.02106e+08
2.68855e-05	0.00021984	1.38148e+08
2.68865e-05	0.00021984	1.61834e+08
2.68876e-05	0.00021984	2.2021e+08
2.68886e-05	0.00021984	2.99987e+08
2.68897e-05	0.00021984	3.23185e+08
2.68907e-05	0.00021984	3.48357e+08
2.68918e-05	0.00021984	3.98891e+08
2.68928e-05	0.00021984	5.03591e+08
2.68939e-05	0.00021984	5.65066e+08
2.68949e-05	0.00021984	6.3521e+08
2.6896e-05	0.00021984	6.09426e+08
2.6897e-05	0.00021984	5.06075e+08
2.68981e-05	0.00021984	5.0067e+08
2.68991e-05	0.00021984	5.89138e+08
2.69002e-05	0.00021984	5.73933e+08
2.69012e-05	0.00021984	6.73296e+08
2.69023e-05	0.00021984	6.85917e+08
2.69033e-05	0.00021984	6.91026e+08
2.69044e-05	0.00021984	7.04286e+08
2.69054e-05	0.00021984	6.49903e+08
2.69065e-05	0.00021984	5.97101e+08
2.69075e-05	0.00021984	5.88134e+08
2.69086e-05	0.00021984	4.25607e+08
2.69096e-05	0.00021984	3.73815e+08
2.69107e-05	0.00021984	3.21063e+08
2.69117e-05	0.00021984	2.85679e+08
2.69128e-05	0.00021984	2.79443e+08
2.69138e-05	0.00021984	1.91491e+08
2.69149e-05	0.00021984	2.18573e+08
2.69159e-05	0.00021984	1.92993e+08
2.6917e-05	0.00021984	1.64777e+08
2.6918e-05	0.00021984	1.90046e+08
2.69191e-05	0.00021984	1.72637e+08
2.69201e-05	0.00021984	1.56602e+08
2.69212e-05	0.00021984	1.54963e+08
2.69222e-05	0.00021984	1.65072e+08
2.69233e-05	0.00021984	1.66257e+08
2.69243e-05	0.00021984	1.51317e+08
2.69254e-05	0.00021984	1.50218e+08
2.69264e-05	0.00021984	1.49002e+08
2.69275e-05	0.00021984	1.32172e+08
2.69285e-05	0.00021984	1.32564e+08
2.69296e-05	0.00021984	1.27082e+08
2.69306e-05	0.00021984	1.12605e+08
2.69317e-05	0.00021984	1.10919e+08
2.69327e-05	0.00021984	1.25423e+08
2.69338e-05	0.00021984	1.10897e+08
2.69348e-05	0.00021984	1.06103e+08
2.69359e-05	0.00021984	9.23388e+07
2.69369e-05	0.00021984	8.07754e+07
2.6938e-05	0.00021984	7.15047e+07
2.6939e-05	0.00021984	6.07134e+07
2.69401e-05	0.00021984	5.55628e+07
2.69411e-05	0.00021984	4.74577e+07
2.69422e-05	0.00021984	2.67392e+07
2.69432e-05	0.00021984	2.06666e+07
2.69443e-05	0.00021984	1.59185e+07
2.68403e-05	0.00022176	0
2.68414e-05	0.00022176	0
2.68424e-05	0.00022176	0
2.68435e-05	0.00022176	0
2.68445e-05	0.00022176	10391.6
2.68456e-05	0.00022176	10391.6
2.68466e-05	0.00022176	37191.2
2.68477e-05	0.00022176	54075.6
2.68487e-05	0.00022176	117304
2.68498e-05	0.00022176	150877
2.68508e-05	0.00022176	195238
2.68519e-05	0.00022176	236807
2.68529e-05	0.00022176	259918
2.6854e-05	0.00022176	485489
2.6855e-05	0.00022176	790862
2.68561e-05	0.00022176	1.49476e+06
2.68571e-05	0.00022176	2.28257e+06
2.68582e-05	0.00022176	3.03782e+06
2.68592e-05	0.00022176	4.62594e+06
2.68603e-05	0.00022176	5.45646e+06
2.68613e-05	0.00022176	7.38622e+06
2.68624e-05	0.00022176	8.01636e+06
2.68634e-05	0.00022176	1.02384e+07
2.68645e-05	0.00022176	1.34957e+07
2.68655e-05	0.00022176	1.91861e+07
2.68666e-05	0.00022176	2.50524e+07
2.68676e-05	0.00022176	3.18789e+07
2.68687e-05	0.00022176	3.50265e+07
2.68697e-05	0.00022176	4.02859e+07
2.68708e-05	0.00022176	4.15223e+07
2.68718e-05	0.00022176	5.03343e+07
2.68729e-05	0.00022176	6.64172e+07
2.68739e-05	0.00022176	7.34231e+07
2.6875e-05	0.00022176	9.23315e+07
2.6876e-05	0.00022176	9.19648e+07
2.68771e-05	0.00022176	9.96254e+07
2.68781e-05	0.00022176	1.06378e+08
2.68792e-05	0.00022176	1.06748e+08
2.68802e-05	0.00022176	1.31473e+08
2.68813e-05	0.00022176	1.30669e+08
2.68823e-05	0.00022176	1.89977e+08
2.68834e-05	0.00022176	2.2141e+08
2.68844e-05	0.00022176	2.05935e+08
2.68855e-05	0.00022176	2.89126e+08
2.68865e-05	0.00022176	3.29393e+08
2.68876e-05	0.00022176	3.88293e+08
2.68886e-05	0.00022176	4.51786e+08
2.68897e-05	0.00022176	5.25376e+08
2.68907e-05	0.00022176	6.60649e+08
2.68918e-05	0.00022176	7.87546e+08
2.68928e-05	0.00022176	8.77006e+08
2.68939e-05	0.00022176	9.57063e+08
2.68949e-05	0.00022176	8.40553e+08
2.6896e-05	0.00022176	1.22074e+09
2.6897e-05	0.00022176	1.17858e+09
2.68981e-05	0.00022176	1.44896e+09
2.68991e-05	0.00022176	1.56364e+09
2.69002e-05	0.00022176	1.66591e+09
2.69012e-05	0.00022176	1.66895e+09
2.69023e-05	0.00022176	1.50837e+09
2.69033e-05	0.00022176	1.44166e+09
2.69044e-05	0.00022176	1.28037e+09
2.69054e-05	0.00022176	1.14029e+09
2.69065e-05	0.00022176	1.03284e+09
2.69075e-05	0.00022176	1.01546e+09
2.69086e-05	0.00022176	8.64566e+08
2.69096e-05	0.00022176	7.37806e+08
2.69107e-05	0.00022176	5.8553e+08
2.69117e-05	0.00022176	7.79263e+08
2.69128e-05	0.00022176	6.09118e+08
2.69138e-05	0.00022176	4.16746e+08
2.69149e-05	0.00022176	4.46108e+08
2.69159e-05	0.00022176	3.59814e+08
2.6917e-05	0.00022176	3.36594e+08
2.6918e-05	0.00022176	3.36424e+08
2.69191e-05	0.00022176	3.08957e+08
2.69201e-05	0.00022176	4.02849e+08
2.69212e-05	0.00022176	3.16058e+08
2.69222e-05	0.00022176	3.68123e+08
2.69233e-05	0.00022176	3.01228e+08
2.69243e-05	0.00022176	2.73747e+08
2.69254e-05	0.00022176	2.79543e+08
2.69264e-05	0.00022176	3.07314e+08
2.69275e-05	0.00022176	2.67203e+08
2.69285e-05	0.00022176	2.36547e+08
2.69296e-05	0.00022176	2.25877e+08
2.69306e-05	0.00022176	2.19549e+08
2.69317e-05	0.00022176	1.94601e+08
2.69327e-05	0.00022176	2.00115e+08
2.69338e-05	0.00022176	2.01116e+08
2.69348e-05	0.00022176	2.26201e+08
2.69359e-05	0.00022176	1.88359e+08
2.69369e-05	0.00022176	1.50785e+08
2.6938e-05	0.00022176	1.34521e+08
2.6939e-05	0.00022176	1.18877e+08
2.69401e-05	0.00022176	1.28891e+08
2.69411e-05	0.00022176	9.33339e+07
2.69422e-05	0.00022176	7.60867e+07
2.69432e-05	0.00022176	4.48149e+07
2.69443e-05	0.00022176	1.97555e+07
2.68403e-05	0.00022368	0
2.68414e-05	0.00022368	0
2.68424e-05	0.00022368	0
2.68435e-05	0.00022368	11065.7
2.68445e-05	0.00022368	46887.7
2.68456e-05	0.00022368	69930
2.68466e-05	0.00022368	109489
2.68477e-05	0.00022368	149326
2.68487e-05	0.00022368	252493
2.68498e-05	0.00022368	364845
2.68508e-05	0.00022368	444887
2.68519e-05	0.00022368	609159
2.68529e-05	0.00022368	798568
2.6854e-05	0.00022368	987307
2.6855e-05	0.00022368	1.50042e+06
2.68561e-05	0.00022368	2.46992e+06
2.68571e-05	0.00022368	3.28759e+06
2.68582e-05	0.00022368	4.7477e+06
2.68592e-05	0.00022368	6.22426e+06
2.68603e-05	0.00022368	7.93478e+06
2.68613e-05	0.00022368	1.12898e+07
2.68624e-05	0.00022368	1.46252e+07
2.68634e-05	0.00022368	1.70561e+07
2.68645e-05	0.00022368	1.97304e+07
2.68655e-05	0.00022368	2.6285e+07
2.68666e-05	0.00022368	3.90311e+07
2.68676e-05	0.00022368	5.04116e+07
2.68687e-05	0.00022368	6.36801e+07
2.68697e-05	0.00022368	7.15387e+07
2.68708e-05	0.00022368	8.52644e+07
2.68718e-05	0.00022368	1.03166e+08
2.68729e-05	0.00022368	1.17134e+08
