#gamma	theta_0	probability

2.66231e-05	-7.36e-05	1.07603e-29
2.66293e-05	-7.36e-05	1.03012e-29
2.66355e-05	-7.36e-05	1.00454e-28
2.66417e-05	-7.36e-05	3.36943e-28
2.66479e-05	-7.36e-05	1.53022e-27
2.66541e-05	-7.36e-05	1.1807e-26
2.66603e-05	-7.36e-05	9.82418e-26
2.66665e-05	-7.36e-05	2.25803e-25
2.66727e-05	-7.36e-05	6.72317e-24
2.66789e-05	-7.36e-05	2.21159e-23
2.66851e-05	-7.36e-05	2.20716e-23
2.66913e-05	-7.36e-05	1.2402e-22
2.66975e-05	-7.36e-05	3.01714e-22
2.67037e-05	-7.36e-05	7.04401e-22
2.67099e-05	-7.36e-05	1.58744e-21
2.67161e-05	-7.36e-05	3.17937e-21
2.67223e-05	-7.36e-05	7.30652e-21
2.67285e-05	-7.36e-05	1.66197e-20
2.67347e-05	-7.36e-05	4.24308e-20
2.67409e-05	-7.36e-05	3.05006e-19
2.67471e-05	-7.36e-05	3.23793e-19
2.67533e-05	-7.36e-05	5.0696e-19
2.67595e-05	-7.36e-05	2.55543e-18
2.67657e-05	-7.36e-05	3.51598e-18
2.67719e-05	-7.36e-05	4.82517e-18
2.67781e-05	-7.36e-05	6.37524e-18
2.67843e-05	-7.36e-05	1.88039e-18
2.67905e-05	-7.36e-05	1.67141e-18
2.67967e-05	-7.36e-05	2.34172e-18
2.68029e-05	-7.36e-05	5.9087e-18
2.68091e-05	-7.36e-05	1.39186e-17
2.68153e-05	-7.36e-05	3.10781e-17
2.68215e-05	-7.36e-05	3.9846e-17
2.68277e-05	-7.36e-05	2.42462e-17
2.68339e-05	-7.36e-05	8.92957e-18
2.68401e-05	-7.36e-05	1.18565e-17
2.68463e-05	-7.36e-05	1.29379e-17
2.68525e-05	-7.36e-05	9.31365e-18
2.68587e-05	-7.36e-05	6.26352e-18
2.68649e-05	-7.36e-05	8.53044e-18
2.68711e-05	-7.36e-05	5.00806e-18
2.68773e-05	-7.36e-05	7.28729e-18
2.68835e-05	-7.36e-05	3.84693e-17
2.68897e-05	-7.36e-05	5.61625e-18
2.68959e-05	-7.36e-05	2.45787e-18
2.69021e-05	-7.36e-05	3.07294e-18
2.69083e-05	-7.36e-05	3.15696e-18
2.69145e-05	-7.36e-05	3.01415e-18
2.69207e-05	-7.36e-05	9.22037e-19
2.69269e-05	-7.36e-05	5.67257e-19
2.69331e-05	-7.36e-05	1.84525e-19
2.69393e-05	-7.36e-05	1.23838e-19
2.69455e-05	-7.36e-05	1.16945e-19
2.69517e-05	-7.36e-05	1.6778e-19
2.69579e-05	-7.36e-05	3.21272e-19
2.69641e-05	-7.36e-05	1.60501e-19
2.69703e-05	-7.36e-05	3.59186e-19
2.69765e-05	-7.36e-05	1.06362e-18
2.69827e-05	-7.36e-05	3.88543e-19
2.69889e-05	-7.36e-05	1.06951e-19
2.69951e-05	-7.36e-05	1.85156e-20
2.70013e-05	-7.36e-05	7.71602e-21
2.70075e-05	-7.36e-05	4.0749e-21
2.70137e-05	-7.36e-05	2.38899e-21
2.70199e-05	-7.36e-05	1.47289e-21
2.70261e-05	-7.36e-05	1.63411e-21
2.70323e-05	-7.36e-05	2.41013e-22
2.70385e-05	-7.36e-05	1.24683e-22
2.70447e-05	-7.36e-05	3.16004e-23
2.70509e-05	-7.36e-05	6.26599e-24
2.70571e-05	-7.36e-05	2.10635e-24
2.70633e-05	-7.36e-05	9.90514e-25
2.70695e-05	-7.36e-05	2.5093e-25
2.70757e-05	-7.36e-05	1.28355e-25
2.70819e-05	-7.36e-05	3.32863e-26
2.70881e-05	-7.36e-05	3.13262e-27
2.70943e-05	-7.36e-05	8.52864e-28
2.71005e-05	-7.36e-05	4.33092e-28
2.71067e-05	-7.36e-05	2.09352e-28
2.71129e-05	-7.36e-05	1.01546e-28
2.71191e-05	-7.36e-05	1.56136e-29
2.71253e-05	-7.36e-05	3.79441e-30
2.71315e-05	-7.36e-05	5.95454e-30
2.71377e-05	-7.36e-05	1.77049e-30
2.71439e-05	-7.36e-05	1.40567e-30
2.71501e-05	-7.36e-05	6.04606e-31
2.71563e-05	-7.36e-05	2.58167e-31
2.71625e-05	-7.36e-05	1.38247e-32
2.71687e-05	-7.36e-05	4.10852e-33
2.71749e-05	-7.36e-05	8.80269e-34
2.71811e-05	-7.36e-05	8.84721e-35
2.71873e-05	-7.36e-05	6.02707e-35
2.71935e-05	-7.36e-05	4.97586e-36
2.71997e-05	-7.36e-05	8.26247e-37
2.72059e-05	-7.36e-05	9.57632e-38
2.72121e-05	-7.36e-05	3.78264e-38
2.72183e-05	-7.36e-05	4.40906e-40
2.72245e-05	-7.36e-05	3.25051e-40
2.72307e-05	-7.36e-05	2.2376e-42
2.72369e-05	-7.36e-05	2.38731e-43
2.66231e-05	-6.08e-05	1.46555e-27
2.66293e-05	-6.08e-05	4.12749e-27
2.66355e-05	-6.08e-05	8.0809e-26
2.66417e-05	-6.08e-05	1.51748e-25
