#gamma	theta_0	probability

2.68385e-05	0.0001816	6.84712e-27
2.68455e-05	0.0001816	5.28417e-27
2.68525e-05	0.0001816	2.13543e-27
2.68595e-05	0.0001816	1.04104e-27
2.68665e-05	0.0001816	9.16612e-29
2.68735e-05	0.0001816	1.37053e-29
2.68805e-05	0.0001816	6.63729e-30
2.68875e-05	0.0001816	5.75615e-31
2.68945e-05	0.0001816	1.99587e-31
2.69015e-05	0.0001816	7.56425e-32
2.69085e-05	0.0001816	9.41151e-32
2.69155e-05	0.0001816	4.17061e-32
2.69225e-05	0.0001816	4.25356e-32
2.69295e-05	0.0001816	1.5881e-32
2.69365e-05	0.0001816	1.24705e-32
2.69435e-05	0.0001816	1.68088e-32
2.69505e-05	0.0001816	7.86555e-33
2.69575e-05	0.0001816	4.79445e-33
2.69645e-05	0.0001816	2.88807e-33
2.69715e-05	0.0001816	1.05049e-33
2.69785e-05	0.0001816	2.00479e-34
2.69855e-05	0.0001816	9.72716e-35
2.69925e-05	0.0001816	3.21051e-35
2.69995e-05	0.0001816	1.02873e-35
2.70065e-05	0.0001816	3.49909e-36
2.70135e-05	0.0001816	1.53306e-36
2.70205e-05	0.0001816	2.78954e-37
2.70275e-05	0.0001816	1.6637e-37
2.70345e-05	0.0001816	5.53499e-38
2.70415e-05	0.0001816	1.61742e-38
2.70485e-05	0.0001816	9.27248e-39
2.70555e-05	0.0001816	3.66374e-39
2.70625e-05	0.0001816	2.97435e-39
2.70695e-05	0.0001816	1.47472e-39
2.70765e-05	0.0001816	2.04759e-40
2.70835e-05	0.0001816	5.29148e-41
2.70905e-05	0.0001816	2.55908e-41
2.70975e-05	0.0001816	2.40791e-41
2.71045e-05	0.0001816	1.10006e-41
2.71115e-05	0.0001816	2.10447e-42
2.71185e-05	0.0001816	1.12147e-42
2.71255e-05	0.0001816	2.13227e-43
2.71325e-05	0.0001816	4.93316e-44
2.71395e-05	0.0001816	3.17567e-45
2.71465e-05	0.0001816	2.55702e-46
2.71535e-05	0.0001816	6.85737e-47
2.71605e-05	0.0001816	3.69463e-48
