#gamma	N_0	probability

2.65026e-05	0.00215	1.57002e-16
2.65078e-05	0.00215	1.01229e-15
2.6513e-05	0.00215	8.95108e-15
2.65182e-05	0.00215	7.03836e-14
2.65234e-05	0.00215	1.87462e-12
2.65286e-05	0.00215	1.52256e-11
2.65338e-05	0.00215	1.3039e-10
2.6539e-05	0.00215	4.21352e-10
2.65442e-05	0.00215	9.77866e-10
2.65494e-05	0.00215	5.05075e-09
2.65546e-05	0.00215	1.2971e-08
2.65598e-05	0.00215	3.806e-08
2.6565e-05	0.00215	1.29206e-07
2.65702e-05	0.00215	1.17498e-06
2.65754e-05	0.00215	1.74998e-06
2.65806e-05	0.00215	1.41825e-05
2.65858e-05	0.00215	2.47694e-05
2.6591e-05	0.00215	5.3742e-05
2.65962e-05	0.00215	6.21798e-05
2.66014e-05	0.00215	0.000255611
2.66066e-05	0.00215	0.000230437
2.66118e-05	0.00215	0.00015577
2.6617e-05	0.00215	0.000446356
2.66222e-05	0.00215	0.00070118
2.66274e-05	0.00215	0.000124202
2.66326e-05	0.00215	3.44396e-05
2.66378e-05	0.00215	1.37046e-05
2.6643e-05	0.00215	8.39308e-06
2.66482e-05	0.00215	5.97037e-07
2.66534e-05	0.00215	3.15324e-07
2.66586e-05	0.00215	2.24099e-07
2.66638e-05	0.00215	1.42204e-08
2.6669e-05	0.00215	8.75541e-09
2.66742e-05	0.00215	1.74573e-09
2.66794e-05	0.00215	8.25353e-10
2.66846e-05	0.00215	6.82292e-11
2.66898e-05	0.00215	9.7243e-12
2.6695e-05	0.00215	1.59224e-12
2.67002e-05	0.00215	1.50013e-13
2.67054e-05	0.00215	2.28565e-14
2.67106e-05	0.00215	2.15702e-15
2.67158e-05	0.00215	1.77715e-16
2.6721e-05	0.00215	4.19082e-18
2.67262e-05	0.00215	5.16979e-19
2.67314e-05	0.00215	1.5695e-20
2.67366e-05	0.00215	1.2036e-21
2.67418e-05	0.00215	1.60286e-22
2.6747e-05	0.00215	1.33441e-24
2.67522e-05	0.00215	5.6489e-26
2.67574e-05	0.00215	7.55095e-28
2.67626e-05	0.00215	1.93226e-29
2.67678e-05	0.00215	5.77988e-31
2.6773e-05	0.00215	3.81077e-32
2.67782e-05	0.00215	3.88117e-34
2.67834e-05	0.00215	2.99626e-36
2.67886e-05	0.00215	2.85066e-38
2.67938e-05	0.00215	2.23035e-40
2.6799e-05	0.00215	9.78917e-42
2.68042e-05	0.00215	2.55947e-44
2.68094e-05	0.00215	6.1345e-46
2.68146e-05	0.00215	6.81481e-48
2.68198e-05	0.00215	5.09976e-50
2.6825e-05	0.00215	1.007e-52
2.68302e-05	0.00215	2.08976e-56
2.68354e-05	0.00215	5.46281e-59
2.68406e-05	0.00215	3.28807e-61
2.68458e-05	0.00215	6.8383e-63
2.6851e-05	0.00215	7.00252e-66
2.68562e-05	0.00215	1.92715e-67
2.68614e-05	0.00215	1.08724e-69
2.68666e-05	0.00215	2.04911e-72
2.68718e-05	0.00215	1.60304e-75
2.6877e-05	0.00215	3.08499e-79
2.68822e-05	0.00215	1.00573e-82
2.68874e-05	0.00215	6.83539e-86
2.68926e-05	0.00215	1.84892e-88
2.68978e-05	0.00215	1.47933e-91
2.6903e-05	0.00215	6.42097e-94
2.69082e-05	0.00215	1.06885e-96
2.69134e-05	0.00215	2.85507e-99
2.69186e-05	0.00215	6.81656e-103
2.69238e-05	0.00215	1.36331e-106
2.6929e-05	0.00215	1.73793e-111
2.69342e-05	0.00215	1.32977e-115
2.69394e-05	0.00215	3.75293e-119
2.69446e-05	0.00215	2.06772e-122
2.69498e-05	0.00215	3.75787e-126
2.6955e-05	0.00215	4.48528e-130
2.69602e-05	0.00215	6.54125e-133
2.69654e-05	0.00215	1.19652e-136
2.69706e-05	0.00215	2.66121e-140
2.69758e-05	0.00215	3.33211e-143
2.6981e-05	0.00215	2.81743e-147
2.69862e-05	0.00215	1.91774e-150
2.69914e-05	0.00215	2.74515e-155
2.69966e-05	0.00215	4.41356e-161
2.70018e-05	0.00215	6.43012e-166
2.7007e-05	0.00215	1.90412e-171
2.70122e-05	0.00215	4.65685e-176
2.70174e-05	0.00215	6.9225e-182
2.65026e-05	0.00645	1.01296e-15
2.65078e-05	0.00645	1.75303e-15
2.6513e-05	0.00645	1.13082e-14
2.65182e-05	0.00645	1.01577e-13
2.65234e-05	0.00645	6.4754e-13
2.65286e-05	0.00645	1.0938e-11
2.65338e-05	0.00645	1.2164e-10
