#gamma	theta_0	probability

2.65822e-05	-0.0001544	1.20714e-37
2.65866e-05	-0.0001544	4.31778e-37
2.6591e-05	-0.0001544	3.63591e-36
2.65954e-05	-0.0001544	2.59052e-35
2.65998e-05	-0.0001544	8.38301e-35
2.66042e-05	-0.0001544	1.21633e-33
2.66086e-05	-0.0001544	3.31345e-33
2.6613e-05	-0.0001544	1.25524e-32
2.66174e-05	-0.0001544	2.62128e-32
2.66218e-05	-0.0001544	1.38863e-31
2.66262e-05	-0.0001544	2.52254e-31
2.66306e-05	-0.0001544	9.62686e-31
2.6635e-05	-0.0001544	3.78434e-30
2.66394e-05	-0.0001544	2.27656e-29
2.66438e-05	-0.0001544	4.26412e-29
2.66482e-05	-0.0001544	1.28497e-28
2.66526e-05	-0.0001544	4.17197e-28
2.6657e-05	-0.0001544	8.61859e-28
2.66614e-05	-0.0001544	5.68704e-28
2.66658e-05	-0.0001544	1.33411e-27
2.66702e-05	-0.0001544	1.27017e-27
2.66746e-05	-0.0001544	3.32919e-27
2.6679e-05	-0.0001544	5.67156e-27
2.66834e-05	-0.0001544	1.38398e-26
2.66878e-05	-0.0001544	2.14326e-26
2.66922e-05	-0.0001544	2.55406e-26
2.66966e-05	-0.0001544	3.69993e-26
2.6701e-05	-0.0001544	5.42648e-26
2.67054e-05	-0.0001544	4.69234e-26
2.67098e-05	-0.0001544	8.79283e-26
2.67142e-05	-0.0001544	1.27991e-25
2.67186e-05	-0.0001544	8.13389e-26
2.6723e-05	-0.0001544	4.39501e-26
2.67274e-05	-0.0001544	2.21768e-26
2.67318e-05	-0.0001544	1.62425e-26
2.67362e-05	-0.0001544	1.68563e-26
2.67406e-05	-0.0001544	8.83315e-27
2.6745e-05	-0.0001544	1.0491e-26
2.67494e-05	-0.0001544	1.10058e-26
2.67538e-05	-0.0001544	4.28486e-27
2.67582e-05	-0.0001544	1.19482e-27
2.67626e-05	-0.0001544	1.42634e-27
2.6767e-05	-0.0001544	9.5965e-28
2.67714e-05	-0.0001544	6.5553e-28
2.67758e-05	-0.0001544	6.442e-28
2.67802e-05	-0.0001544	7.50757e-28
2.67846e-05	-0.0001544	2.35208e-28
2.6789e-05	-0.0001544	1.73416e-28
2.67934e-05	-0.0001544	6.82642e-29
2.67978e-05	-0.0001544	5.63948e-29
2.68022e-05	-0.0001544	3.40623e-29
2.68066e-05	-0.0001544	1.30716e-29
2.6811e-05	-0.0001544	2.47559e-30
2.68154e-05	-0.0001544	1.28936e-30
2.68198e-05	-0.0001544	3.76931e-31
2.68242e-05	-0.0001544	1.57147e-31
2.68286e-05	-0.0001544	2.86945e-32
2.6833e-05	-0.0001544	8.5836e-33
2.68374e-05	-0.0001544	7.01685e-33
2.68418e-05	-0.0001544	5.87379e-34
2.68462e-05	-0.0001544	1.87731e-34
2.68506e-05	-0.0001544	1.02168e-34
2.6855e-05	-0.0001544	1.47414e-35
2.68594e-05	-0.0001544	3.69894e-36
2.68638e-05	-0.0001544	1.16732e-36
2.68682e-05	-0.0001544	1.52714e-37
2.68726e-05	-0.0001544	2.74475e-39
2.6877e-05	-0.0001544	2.86656e-40
2.68814e-05	-0.0001544	2.16698e-41
2.68858e-05	-0.0001544	2.44322e-42
2.68902e-05	-0.0001544	4.85491e-43
2.68946e-05	-0.0001544	1.775e-44
2.6899e-05	-0.0001544	4.88447e-46
2.69034e-05	-0.0001544	2.74317e-47
2.69078e-05	-0.0001544	2.893e-48
2.69122e-05	-0.0001544	3.6604e-49
2.69166e-05	-0.0001544	4.23813e-50
2.6921e-05	-0.0001544	1.11022e-50
2.69254e-05	-0.0001544	2.75804e-51
2.69298e-05	-0.0001544	1.04088e-51
2.69342e-05	-0.0001544	1.62469e-53
2.69386e-05	-0.0001544	1.36818e-55
2.6943e-05	-0.0001544	4.34094e-57
2.69474e-05	-0.0001544	2.92191e-58
2.69518e-05	-0.0001544	1.90102e-59
2.69562e-05	-0.0001544	5.15828e-61
2.69606e-05	-0.0001544	9.77318e-62
2.6965e-05	-0.0001544	8.2773e-63
2.69694e-05	-0.0001544	7.18195e-65
2.69738e-05	-0.0001544	1.67716e-66
2.69782e-05	-0.0001544	1.231e-67
2.69826e-05	-0.0001544	9.01431e-70
