#n_l	N_0	probability

1.41174	0.07875	2.97897e-07
1.41274	0.07875	5.60013e-06
1.41375	0.07875	6.41328e-05
1.41476	0.07875	0.000462513
1.41577	0.07875	0.00235835
1.41678	0.07875	0.00935691
1.41778	0.07875	0.0325397
1.41879	0.07875	0.0969188
1.4198	0.07875	0.262467
1.42081	0.07875	0.650619
1.42182	0.07875	1.50154
1.42282	0.07875	3.26683
1.42383	0.07875	6.37954
1.42484	0.07875	11.5021
1.42585	0.07875	18.7508
1.42686	0.07875	28.1801
1.42786	0.07875	39.0744
1.42887	0.07875	49.8728
1.42988	0.07875	58.9046
1.43089	0.07875	64.2699
1.4319	0.07875	65.5197
1.4329	0.07875	61.8555
1.43391	0.07875	54.2884
1.43492	0.07875	43.9637
1.43593	0.07875	33.1053
1.43694	0.07875	23.461
1.43794	0.07875	15.2255
1.43895	0.07875	9.29301
1.43996	0.07875	5.23797
1.44097	0.07875	2.73515
1.44198	0.07875	1.30119
1.44298	0.07875	0.573371
1.44399	0.07875	0.229388
1.445	0.07875	0.0833894
1.44601	0.07875	0.0275806
1.44702	0.07875	0.00818162
1.44802	0.07875	0.00216003
1.44903	0.07875	0.00049188
1.45004	0.07875	8.80246e-05
1.45105	0.07875	1.15336e-05
1.45206	0.07875	1.05921e-06
1.45306	0.07875	6.2073e-08
1.45407	0.07875	1.82419e-09
1.45508	0.07875	2.10696e-13
1.45609	0.07875	3.32495e-25
1.4571	0.07875	2.14952e-45
1.4077	0.09625	7.01645e-46
1.40871	0.09625	3.44044e-21
1.40972	0.09625	2.58673e-11
1.41073	0.09625	2.56624e-09
1.41174	0.09625	1.03769e-07
1.41274	0.09625	1.68874e-06
1.41375	0.09625	1.74979e-05
1.41476	0.09625	0.000116054
1.41577	0.09625	0.000556014
1.41678	0.09625	0.00217983
1.41778	0.09625	0.00733846
1.41879	0.09625	0.0214056
1.4198	0.09625	0.05645
1.42081	0.09625	0.138579
1.42182	0.09625	0.31743
1.42282	0.09625	0.671214
1.42383	0.09625	1.29779
1.42484	0.09625	2.27534
1.42585	0.09625	3.65369
1.42686	0.09625	5.42945
1.42786	0.09625	7.37813
1.42887	0.09625	9.26248
1.42988	0.09625	10.752
1.43089	0.09625	11.5905
1.4319	0.09625	11.5429
1.4329	0.09625	10.7373
1.43391	0.09625	9.13825
1.43492	0.09625	7.35408
1.43593	0.09625	5.46207
1.43694	0.09625	3.7776
1.43794	0.09625	2.39235
1.43895	0.09625	1.42926
1.43996	0.09625	0.785471
1.44097	0.09625	0.402076
1.44198	0.09625	0.190139
1.44298	0.09625	0.081849
1.44399	0.09625	0.0319101
1.445	0.09625	0.0113336
1.44601	0.09625	0.00359646
1.44702	0.09625	0.0010481
1.44802	0.09625	0.000268339
1.44903	0.09625	5.77388e-05
1.45004	0.09625	9.61235e-06
