#theta_0	N_0	probability

0.00092	0.09	-nan
0.001	0.09	-nan
0.00108	0.09	-nan
0.00116	0.09	-nan
0.00124	0.09	-nan
0.00132	0.09	-nan
0.0014	0.09	-nan
0.00148	0.09	-nan
0.00156	0.09	-nan
0.00164	0.09	-nan
0.00172	0.09	-nan
0.0018	0.09	-nan
0.00188	0.09	-nan
0.00196	0.09	-nan
-0.00196	0.11	-nan
-0.00188	0.11	-nan
-0.0018	0.11	-nan
-0.00172	0.11	-nan
-0.00164	0.11	-nan
-0.00156	0.11	-nan
-0.00148	0.11	-nan
-0.0014	0.11	-nan
-0.00132	0.11	-nan
-0.00124	0.11	-nan
-0.00116	0.11	-nan
-0.00108	0.11	-nan
-0.001	0.11	-nan
-0.00092	0.11	-nan
-0.00084	0.11	-nan
-0.00076	0.11	-nan
-0.00068	0.11	-nan
-0.0006	0.11	-nan
-0.00052	0.11	-nan
-0.00044	0.11	-nan
-0.00036	0.11	-nan
-0.00028	0.11	-nan
-0.0002	0.11	-nan
-0.00012	0.11	-nan
-4e-05	0.11	-nan
4e-05	0.11	-nan
0.00012	0.11	-nan
0.0002	0.11	-nan
0.00028	0.11	-nan
0.00036	0.11	-nan
0.00044	0.11	-nan
0.00052	0.11	-nan
0.0006	0.11	-nan
0.00068	0.11	-nan
0.00076	0.11	-nan
0.00084	0.11	-nan
0.00092	0.11	-nan
0.001	0.11	-nan
0.00108	0.11	-nan
0.00116	0.11	-nan
0.00124	0.11	-nan
0.00132	0.11	-nan
0.0014	0.11	-nan
0.00148	0.11	-nan
0.00156	0.11	-nan
0.00164	0.11	-nan
0.00172	0.11	-nan
0.0018	0.11	-nan
0.00188	0.11	-nan
0.00196	0.11	-nan
-0.00196	0.13	-nan
-0.00188	0.13	-nan
-0.0018	0.13	-nan
-0.00172	0.13	-nan
-0.00164	0.13	-nan
-0.00156	0.13	-nan
-0.00148	0.13	-nan
-0.0014	0.13	-nan
-0.00132	0.13	-nan
-0.00124	0.13	-nan
-0.00116	0.13	-nan
-0.00108	0.13	-nan
-0.001	0.13	-nan
-0.00092	0.13	-nan
-0.00084	0.13	-nan
-0.00076	0.13	-nan
-0.00068	0.13	-nan
-0.0006	0.13	-nan
-0.00052	0.13	-nan
-0.00044	0.13	-nan
-0.00036	0.13	-nan
-0.00028	0.13	-nan
-0.0002	0.13	-nan
-0.00012	0.13	-nan
-4e-05	0.13	-nan
4e-05	0.13	-nan
0.00012	0.13	-nan
0.0002	0.13	-nan
0.00028	0.13	-nan
0.00036	0.13	-nan
0.00044	0.13	-nan
0.00052	0.13	-nan
0.0006	0.13	-nan
0.00068	0.13	-nan
0.00076	0.13	-nan
0.00084	0.13	-nan
0.00092	0.13	-nan
0.001	0.13	-nan
0.00108	0.13	-nan
0.00116	0.13	-nan
0.00124	0.13	-nan
0.00132	0.13	-nan
0.0014	0.13	-nan
0.00148	0.13	-nan
0.00156	0.13	-nan
0.00164	0.13	-nan
