#n_l	theta_0	probability

1.471	-0.00015	0
1.473	-0.00015	0
1.475	-0.00015	0
1.477	-0.00015	0
1.479	-0.00015	0
1.481	-0.00015	0
1.483	-0.00015	0
1.485	-0.00015	0
1.487	-0.00015	9.74187e-05
1.489	-0.00015	0.277574
1.491	-0.00015	191.602
1.493	-0.00015	11754.5
1.495	-0.00015	187006
1.497	-0.00015	827135
1.499	-0.00015	1.66151e+06
1.501	-0.00015	1.4207e+06
1.503	-0.00015	566804
1.505	-0.00015	140169
1.507	-0.00015	31548.9
1.509	-0.00015	1749.7
1.511	-0.00015	16.2168
1.513	-0.00015	0.0172611
1.515	-0.00015	2.01863e-06
1.517	-0.00015	2.51973e-322
1.519	-0.00015	0
1.521	-0.00015	0
1.523	-0.00015	0
1.525	-0.00015	0
1.527	-0.00015	0
1.529	-0.00015	0
1.531	-0.00015	0
1.533	-0.00015	0
1.535	-0.00015	0
1.537	-0.00015	0
1.539	-0.00015	0
1.541	-0.00015	0
1.543	-0.00015	0
1.545	-0.00015	0
1.547	-0.00015	0
1.549	-0.00015	0
1.551	-0.00015	0
1.553	-0.00015	0
1.555	-0.00015	0
1.557	-0.00015	0
1.559	-0.00015	0
1.561	-0.00015	0
1.563	-0.00015	0
1.565	-0.00015	0
1.567	-0.00015	0
1.569	-0.00015	0
1.571	-0.00015	0
1.573	-0.00015	0
1.575	-0.00015	0
1.577	-0.00015	0
1.579	-0.00015	0
1.581	-0.00015	0
1.583	-0.00015	0
1.585	-0.00015	0
1.587	-0.00015	0
1.589	-0.00015	0
1.591	-0.00015	0
1.593	-0.00015	0
1.595	-0.00015	0
1.597	-0.00015	0
1.599	-0.00015	0
1.401	-5e-05	0
1.403	-5e-05	0
1.405	-5e-05	0
1.407	-5e-05	0
1.409	-5e-05	0
1.411	-5e-05	0
1.413	-5e-05	0
1.415	-5e-05	0
1.417	-5e-05	0
1.419	-5e-05	0
1.421	-5e-05	0
1.423	-5e-05	0
1.425	-5e-05	0
1.427	-5e-05	0
1.429	-5e-05	0
1.431	-5e-05	0
1.433	-5e-05	0
1.435	-5e-05	0
1.437	-5e-05	0
1.439	-5e-05	0
1.441	-5e-05	0
1.443	-5e-05	0
1.445	-5e-05	0
1.447	-5e-05	0
1.449	-5e-05	0
1.451	-5e-05	0
1.453	-5e-05	0
1.455	-5e-05	0
1.457	-5e-05	0
1.459	-5e-05	0
1.461	-5e-05	0
1.463	-5e-05	0
1.465	-5e-05	0
1.467	-5e-05	0
1.469	-5e-05	0
1.471	-5e-05	0
1.473	-5e-05	0
1.475	-5e-05	0
1.477	-5e-05	0
1.479	-5e-05	0
1.481	-5e-05	0
1.483	-5e-05	0
1.485	-5e-05	0
1.487	-5e-05	0.000367143
1.489	-5e-05	0.271901
1.491	-5e-05	40.3369
1.493	-5e-05	1736.1
1.495	-5e-05	18202.1
1.497	-5e-05	56145.1
1.499	-5e-05	59445.5
1.501	-5e-05	15164.6
1.503	-5e-05	662.38
1.505	-5e-05	9.18563
1.507	-5e-05	0.00515538
1.509	-5e-05	2.42053e-07
1.511	-5e-05	3.81398e-312
1.513	-5e-05	1.1901e-314
1.515	-5e-05	2.27506e-318
1.517	-5e-05	0
1.519	-5e-05	0
1.521	-5e-05	0
1.523	-5e-05	0
1.525	-5e-05	0
1.527	-5e-05	0
1.529	-5e-05	0
1.531	-5e-05	0
1.533	-5e-05	0
1.535	-5e-05	0
1.537	-5e-05	0
1.539	-5e-05	0
1.541	-5e-05	0
1.543	-5e-05	0
1.545	-5e-05	0
1.547	-5e-05	0
1.549	-5e-05	0
1.551	-5e-05	0
1.553	-5e-05	0
1.555	-5e-05	0
1.557	-5e-05	0
1.559	-5e-05	0
1.561	-5e-05	0
1.563	-5e-05	0
1.565	-5e-05	0
1.567	-5e-05	0
1.569	-5e-05	0
1.571	-5e-05	0
1.573	-5e-05	0
1.575	-5e-05	0
1.577	-5e-05	0
1.579	-5e-05	0
1.581	-5e-05	0
1.583	-5e-05	0
1.585	-5e-05	0
1.587	-5e-05	0
1.589	-5e-05	0
1.591	-5e-05	0
1.593	-5e-05	0
1.595	-5e-05	0
1.597	-5e-05	0
1.599	-5e-05	0
1.401	5e-05	0
1.403	5e-05	0
1.405	5e-05	0
1.407	5e-05	0
1.409	5e-05	0
1.411	5e-05	0
1.413	5e-05	0
1.415	5e-05	0
1.417	5e-05	0
1.419	5e-05	0
1.421	5e-05	0
1.423	5e-05	0
1.425	5e-05	0
1.427	5e-05	0
1.429	5e-05	0
1.431	5e-05	0
1.433	5e-05	0
1.435	5e-05	0
1.437	5e-05	0
1.439	5e-05	0
1.441	5e-05	0
1.443	5e-05	0
1.445	5e-05	0
1.447	5e-05	0
1.449	5e-05	0
1.451	5e-05	0
1.453	5e-05	0
1.455	5e-05	0
1.457	5e-05	0
1.459	5e-05	0
1.461	5e-05	0
1.463	5e-05	0
1.465	5e-05	0
1.467	5e-05	0
1.469	5e-05	0
1.471	5e-05	0
1.473	5e-05	0
1.475	5e-05	0
1.477	5e-05	0
1.479	5e-05	0
1.481	5e-05	0
1.483	5e-05	0
1.485	5e-05	0
1.487	5e-05	0
1.489	5e-05	0
1.491	5e-05	0
1.493	5e-05	0
1.495	5e-05	0
1.497	5e-05	0
1.499	5e-05	0
1.501	5e-05	0
1.503	5e-05	0
1.505	5e-05	0
1.507	5e-05	0
1.509	5e-05	0
1.511	5e-05	0
1.513	5e-05	0
1.515	5e-05	0
1.517	5e-05	0
1.519	5e-05	0
1.521	5e-05	0
1.523	5e-05	0
1.525	5e-05	0
1.527	5e-05	0
1.529	5e-05	0
1.531	5e-05	0
1.533	5e-05	0
1.535	5e-05	0
1.537	5e-05	0
1.539	5e-05	0
1.541	5e-05	0
1.543	5e-05	0
1.545	5e-05	0
1.547	5e-05	0
1.549	5e-05	0
1.551	5e-05	0
1.553	5e-05	0
1.555	5e-05	0
1.557	5e-05	0
1.559	5e-05	0
1.561	5e-05	0
1.563	5e-05	0
1.565	5e-05	0
1.567	5e-05	0
1.569	5e-05	0
1.571	5e-05	0
1.573	5e-05	0
1.575	5e-05	0
1.577	5e-05	0
1.579	5e-05	0
1.581	5e-05	0
1.583	5e-05	0
1.585	5e-05	0
1.587	5e-05	0
1.589	5e-05	0
1.591	5e-05	0
1.593	5e-05	0
1.595	5e-05	0
1.597	5e-05	0
1.599	5e-05	0
1.401	0.00015	0
1.403	0.00015	0
1.405	0.00015	0
1.407	0.00015	0
1.409	0.00015	0
1.411	0.00015	0
1.413	0.00015	0
1.415	0.00015	0
1.417	0.00015	0
1.419	0.00015	0
1.421	0.00015	0
1.423	0.00015	0
1.425	0.00015	0
1.427	0.00015	0
1.429	0.00015	0
1.431	0.00015	0
1.433	0.00015	0
1.435	0.00015	0
1.437	0.00015	0
1.439	0.00015	0
1.441	0.00015	0
1.443	0.00015	0
1.445	0.00015	0
1.447	0.00015	0
1.449	0.00015	0
1.451	0.00015	0
1.453	0.00015	0
1.455	0.00015	0
1.457	0.00015	0
1.459	0.00015	0
1.461	0.00015	0
1.463	0.00015	0
1.465	0.00015	0
1.467	0.00015	0
1.469	0.00015	0
1.471	0.00015	0
1.473	0.00015	0
1.475	0.00015	0
1.477	0.00015	0
1.479	0.00015	0
1.481	0.00015	0
1.483	0.00015	0
1.485	0.00015	0
1.487	0.00015	0
1.489	0.00015	0
1.491	0.00015	0
1.493	0.00015	0
1.495	0.00015	0
1.497	0.00015	0
1.499	0.00015	0
1.501	0.00015	0
1.503	0.00015	0
1.505	0.00015	0
1.507	0.00015	0
1.509	0.00015	0
1.511	0.00015	0
1.513	0.00015	0
1.515	0.00015	0
1.517	0.00015	0
1.519	0.00015	0
1.521	0.00015	0
1.523	0.00015	0
1.525	0.00015	0
