#n_l	N_0	probability

1.4198	0.05	-nan
1.4202	0.05	-nan
1.4206	0.05	-nan
1.421	0.05	-nan
1.4214	0.05	-nan
1.4218	0.05	-nan
1.4222	0.05	-nan
1.4226	0.05	-nan
1.423	0.05	-nan
1.4234	0.05	-nan
1.4238	0.05	-nan
1.4242	0.05	-nan
1.4246	0.05	-nan
1.425	0.05	-nan
1.4254	0.05	-nan
1.4258	0.05	-nan
1.4262	0.05	-nan
1.4266	0.05	-nan
1.427	0.05	-nan
1.4274	0.05	-nan
1.4278	0.05	-nan
1.4282	0.05	-nan
1.4286	0.05	-nan
1.429	0.05	-nan
1.4294	0.05	-nan
1.4298	0.05	-nan
1.4302	0.05	-nan
1.4306	0.05	-nan
1.431	0.05	-nan
1.4314	0.05	-nan
1.4318	0.05	-nan
1.4322	0.05	-nan
1.4326	0.05	-nan
1.433	0.05	-nan
1.4334	0.05	-nan
1.4338	0.05	-nan
1.4342	0.05	-nan
1.4346	0.05	-nan
1.435	0.05	-nan
1.4354	0.05	-nan
1.4358	0.05	-nan
1.4362	0.05	-nan
1.4366	0.05	-nan
1.437	0.05	-nan
1.4374	0.05	-nan
1.4378	0.05	-nan
1.4382	0.05	-nan
1.4386	0.05	-nan
1.439	0.05	-nan
1.4394	0.05	-nan
1.4398	0.05	-nan
1.4002	0.07	-nan
1.4006	0.07	-nan
1.401	0.07	-nan
1.4014	0.07	-nan
1.4018	0.07	-nan
1.4022	0.07	-nan
1.4026	0.07	-nan
1.403	0.07	-nan
1.4034	0.07	-nan
1.4038	0.07	-nan
1.4042	0.07	-nan
1.4046	0.07	-nan
1.405	0.07	-nan
1.4054	0.07	-nan
1.4058	0.07	-nan
1.4062	0.07	-nan
1.4066	0.07	-nan
1.407	0.07	-nan
1.4074	0.07	-nan
1.4078	0.07	-nan
1.4082	0.07	-nan
1.4086	0.07	-nan
1.409	0.07	-nan
1.4094	0.07	-nan
1.4098	0.07	-nan
1.4102	0.07	-nan
1.4106	0.07	-nan
1.411	0.07	-nan
1.4114	0.07	-nan
1.4118	0.07	-nan
1.4122	0.07	-nan
1.4126	0.07	-nan
1.413	0.07	-nan
1.4134	0.07	-nan
1.4138	0.07	-nan
1.4142	0.07	-nan
1.4146	0.07	-nan
1.415	0.07	-nan
1.4154	0.07	-nan
1.4158	0.07	-nan
1.4162	0.07	-nan
1.4166	0.07	-nan
1.417	0.07	-nan
1.4174	0.07	-nan
1.4178	0.07	-nan
1.4182	0.07	-nan
1.4186	0.07	-nan
1.419	0.07	-nan
1.4194	0.07	-nan
1.4198	0.07	-nan
1.4202	0.07	-nan
1.4206	0.07	-nan
1.421	0.07	-nan
1.4214	0.07	-nan
1.4218	0.07	-nan
1.4222	0.07	-nan
1.4226	0.07	-nan
1.423	0.07	-nan
1.4234	0.07	-nan
1.4238	0.07	-nan
1.4242	0.07	-nan
1.4246	0.07	-nan
1.425	0.07	-nan
1.4254	0.07	-nan
1.4258	0.07	-nan
1.4262	0.07	-nan
1.4266	0.07	-nan
1.427	0.07	-nan
1.4274	0.07	-nan
1.4278	0.07	-nan
1.4282	0.07	-nan
1.4286	0.07	-nan
1.429	0.07	-nan
1.4294	0.07	-nan
1.4298	0.07	-nan
1.4302	0.07	-nan
1.4306	0.07	-nan
1.431	0.07	-nan
1.4314	0.07	-nan
1.4318	0.07	-nan
1.4322	0.07	-nan
1.4326	0.07	-nan
1.433	0.07	-nan
1.4334	0.07	-nan
1.4338	0.07	-nan
1.4342	0.07	-nan
1.4346	0.07	-nan
1.435	0.07	-nan
1.4354	0.07	-nan
1.4358	0.07	-nan
1.4362	0.07	-nan
1.4366	0.07	-nan
1.437	0.07	-nan
1.4374	0.07	-nan
1.4378	0.07	-nan
1.4382	0.07	-nan
1.4386	0.07	-nan
1.439	0.07	-nan
1.4394	0.07	-nan
1.4398	0.07	-nan
1.4002	0.09	-nan
1.4006	0.09	-nan
1.401	0.09	-nan
1.4014	0.09	-nan
1.4018	0.09	-nan
1.4022	0.09	-nan
1.4026	0.09	-nan
1.403	0.09	-nan
1.4034	0.09	-nan
1.4038	0.09	-nan
1.4042	0.09	-nan
1.4046	0.09	-nan
1.405	0.09	-nan
1.4054	0.09	-nan
1.4058	0.09	-nan
1.4062	0.09	-nan
1.4066	0.09	-nan
1.407	0.09	-nan
1.4074	0.09	-nan
1.4078	0.09	-nan
1.4082	0.09	-nan
1.4086	0.09	-nan
1.409	0.09	-nan
1.4094	0.09	-nan
1.4098	0.09	-nan
1.4102	0.09	-nan
1.4106	0.09	-nan
1.411	0.09	-nan
1.4114	0.09	-nan
1.4118	0.09	-nan
1.4122	0.09	-nan
1.4126	0.09	-nan
1.413	0.09	-nan
1.4134	0.09	-nan
1.4138	0.09	-nan
1.4142	0.09	-nan
1.4146	0.09	-nan
1.415	0.09	-nan
1.4154	0.09	-nan
1.4158	0.09	-nan
1.4162	0.09	-nan
1.4166	0.09	-nan
1.417	0.09	-nan
1.4174	0.09	-nan
1.4178	0.09	-nan
1.4182	0.09	-nan
1.4186	0.09	-nan
1.419	0.09	-nan
1.4194	0.09	-nan
1.4198	0.09	-nan
1.4202	0.09	-nan
1.4206	0.09	-nan
1.421	0.09	-nan
1.4214	0.09	-nan
1.4218	0.09	-nan
1.4222	0.09	-nan
1.4226	0.09	-nan
1.423	0.09	-nan
1.4234	0.09	-nan
1.4238	0.09	-nan
1.4242	0.09	-nan
1.4246	0.09	-nan
1.425	0.09	-nan
1.4254	0.09	-nan
1.4258	0.09	-nan
1.4262	0.09	-nan
1.4266	0.09	-nan
1.427	0.09	-nan
1.4274	0.09	-nan
1.4278	0.09	-nan
1.4282	0.09	-nan
1.4286	0.09	-nan
1.429	0.09	-nan
1.4294	0.09	-nan
1.4298	0.09	-nan
1.4302	0.09	-nan
1.4306	0.09	-nan
1.431	0.09	-nan
1.4314	0.09	-nan
1.4318	0.09	-nan
1.4322	0.09	-nan
1.4326	0.09	-nan
1.433	0.09	-nan
1.4334	0.09	-nan
1.4338	0.09	-nan
1.4342	0.09	-nan
1.4346	0.09	-nan
1.435	0.09	-nan
1.4354	0.09	-nan
1.4358	0.09	-nan
1.4362	0.09	-nan
1.4366	0.09	-nan
1.437	0.09	-nan
1.4374	0.09	-nan
1.4378	0.09	-nan
1.4382	0.09	-nan
1.4386	0.09	-nan
1.439	0.09	-nan
1.4394	0.09	-nan
1.4398	0.09	-nan
1.4002	0.11	-nan
1.4006	0.11	-nan
1.401	0.11	-nan
1.4014	0.11	-nan
1.4018	0.11	-nan
1.4022	0.11	-nan
1.4026	0.11	-nan
1.403	0.11	-nan
1.4034	0.11	-nan
1.4038	0.11	-nan
1.4042	0.11	-nan
1.4046	0.11	-nan
1.405	0.11	-nan
1.4054	0.11	-nan
1.4058	0.11	-nan
1.4062	0.11	-nan
1.4066	0.11	-nan
1.407	0.11	-nan
1.4074	0.11	-nan
1.4078	0.11	-nan
1.4082	0.11	-nan
1.4086	0.11	-nan
1.409	0.11	-nan
1.4094	0.11	-nan
1.4098	0.11	-nan
1.4102	0.11	-nan
1.4106	0.11	-nan
1.411	0.11	-nan
1.4114	0.11	-nan
1.4118	0.11	-nan
1.4122	0.11	-nan
1.4126	0.11	-nan
1.413	0.11	-nan
1.4134	0.11	-nan
1.4138	0.11	-nan
1.4142	0.11	-nan
1.4146	0.11	-nan
1.415	0.11	-nan
1.4154	0.11	-nan
1.4158	0.11	-nan
1.4162	0.11	-nan
1.4166	0.11	-nan
1.417	0.11	-nan
1.4174	0.11	-nan
1.4178	0.11	-nan
1.4182	0.11	-nan
1.4186	0.11	-nan
1.419	0.11	-nan
1.4194	0.11	-nan
1.4198	0.11	-nan
1.4202	0.11	-nan
1.4206	0.11	-nan
1.421	0.11	-nan
1.4214	0.11	-nan
1.4218	0.11	-nan
1.4222	0.11	-nan
1.4226	0.11	-nan
1.423	0.11	-nan
1.4234	0.11	-nan
1.4238	0.11	-nan
1.4242	0.11	-nan
1.4246	0.11	-nan
1.425	0.11	-nan
1.4254	0.11	-nan
1.4258	0.11	-nan
1.4262	0.11	-nan
1.4266	0.11	-nan
1.427	0.11	-nan
1.4274	0.11	-nan
1.4278	0.11	-nan
1.4282	0.11	-nan
1.4286	0.11	-nan
1.429	0.11	-nan
1.4294	0.11	-nan
1.4298	0.11	-nan
1.4302	0.11	-nan
1.4306	0.11	-nan
1.431	0.11	-nan
1.4314	0.11	-nan
1.4318	0.11	-nan
1.4322	0.11	-nan
1.4326	0.11	-nan
1.433	0.11	-nan
1.4334	0.11	-nan
1.4338	0.11	-nan
1.4342	0.11	-nan
1.4346	0.11	-nan
1.435	0.11	-nan
1.4354	0.11	-nan
1.4358	0.11	-nan
1.4362	0.11	-nan
1.4366	0.11	-nan
1.437	0.11	-nan
1.4374	0.11	-nan
1.4378	0.11	-nan
1.4382	0.11	-nan
1.4386	0.11	-nan
1.439	0.11	-nan
1.4394	0.11	-nan
1.4398	0.11	-nan
1.4002	0.13	-nan
1.4006	0.13	-nan
1.401	0.13	-nan
1.4014	0.13	-nan
1.4018	0.13	-nan
1.4022	0.13	-nan
1.4026	0.13	-nan
1.403	0.13	-nan
1.4034	0.13	-nan
1.4038	0.13	-nan
1.4042	0.13	-nan
1.4046	0.13	-nan
1.405	0.13	-nan
1.4054	0.13	-nan
