#n_l	gamma	probability

1.57075	3.45e-05	0
1.57205	3.45e-05	0
1.57335	3.45e-05	0
1.57465	3.45e-05	0
1.57595	3.45e-05	0
1.57725	3.45e-05	0
1.57855	3.45e-05	0
1.57985	3.45e-05	0
1.58115	3.45e-05	0
1.58245	3.45e-05	0
1.58375	3.45e-05	0
1.58505	3.45e-05	0
1.58635	3.45e-05	0
1.58765	3.45e-05	0
1.58895	3.45e-05	0
1.59025	3.45e-05	0
1.59155	3.45e-05	0
1.59285	3.45e-05	0
1.59415	3.45e-05	0
1.59545	3.45e-05	0
1.59675	3.45e-05	0
1.59805	3.45e-05	0
1.59935	3.45e-05	0
1.53565	3.55e-05	0
1.53695	3.55e-05	0
1.53825	3.55e-05	0
1.53955	3.55e-05	0
1.54085	3.55e-05	0
1.54215	3.55e-05	0
1.54345	3.55e-05	0
1.54475	3.55e-05	0
1.54605	3.55e-05	0
1.54735	3.55e-05	0
1.54865	3.55e-05	0
1.54995	3.55e-05	0
1.55125	3.55e-05	0
1.55255	3.55e-05	0
1.55385	3.55e-05	0
1.55515	3.55e-05	0
1.55645	3.55e-05	0
1.55775	3.55e-05	0
1.55905	3.55e-05	0
1.56035	3.55e-05	0
1.56165	3.55e-05	0
1.56295	3.55e-05	0
1.56425	3.55e-05	0
1.56555	3.55e-05	0
1.56685	3.55e-05	0
1.56815	3.55e-05	0
1.56945	3.55e-05	0
1.57075	3.55e-05	0
1.57205	3.55e-05	0
1.57335	3.55e-05	0
1.57465	3.55e-05	0
1.57595	3.55e-05	0
1.57725	3.55e-05	0
1.57855	3.55e-05	0
1.57985	3.55e-05	0
1.58115	3.55e-05	0
1.58245	3.55e-05	0
1.58375	3.55e-05	0
1.58505	3.55e-05	0
1.58635	3.55e-05	0
1.58765	3.55e-05	0
1.58895	3.55e-05	0
1.59025	3.55e-05	0
1.59155	3.55e-05	0
1.59285	3.55e-05	0
1.59415	3.55e-05	0
1.59545	3.55e-05	0
1.59675	3.55e-05	0
1.59805	3.55e-05	0
1.59935	3.55e-05	0
1.53565	3.65e-05	0
1.53695	3.65e-05	0
1.53825	3.65e-05	0
1.53955	3.65e-05	0
1.54085	3.65e-05	0
1.54215	3.65e-05	0
1.54345	3.65e-05	0
1.54475	3.65e-05	0
1.54605	3.65e-05	0
1.54735	3.65e-05	0
1.54865	3.65e-05	0
1.54995	3.65e-05	0
1.55125	3.65e-05	0
1.55255	3.65e-05	0
1.55385	3.65e-05	0
1.55515	3.65e-05	0
1.55645	3.65e-05	0
1.55775	3.65e-05	0
1.55905	3.65e-05	0
1.56035	3.65e-05	0
1.56165	3.65e-05	0
1.56295	3.65e-05	0
1.56425	3.65e-05	0
1.56555	3.65e-05	0
1.56685	3.65e-05	0
1.56815	3.65e-05	0
1.56945	3.65e-05	0
1.57075	3.65e-05	0
1.57205	3.65e-05	0
1.57335	3.65e-05	0
1.57465	3.65e-05	0
1.57595	3.65e-05	0
1.57725	3.65e-05	0
1.57855	3.65e-05	0
1.57985	3.65e-05	0
1.58115	3.65e-05	0
1.58245	3.65e-05	0
1.58375	3.65e-05	0
1.58505	3.65e-05	0
1.58635	3.65e-05	0
1.58765	3.65e-05	0
1.58895	3.65e-05	0
1.59025	3.65e-05	0
1.59155	3.65e-05	0
1.59285	3.65e-05	0
1.59415	3.65e-05	0
1.59545	3.65e-05	0
1.59675	3.65e-05	0
1.59805	3.65e-05	0
1.59935	3.65e-05	0
1.53565	3.75e-05	0
1.53695	3.75e-05	0
1.53825	3.75e-05	0
1.53955	3.75e-05	0.000615392
1.54085	3.75e-05	14.5429
1.54215	3.75e-05	173907
1.54345	3.75e-05	2.95932e+06
1.54475	3.75e-05	1.46243e+07
1.54605	3.75e-05	4.47193e+07
1.54735	3.75e-05	2.5375e+07
1.54865	3.75e-05	6.06719e+07
1.54995	3.75e-05	6.90274e+07
1.55125	3.75e-05	6.94158e+06
1.55255	3.75e-05	0
1.55385	3.75e-05	0
1.55515	3.75e-05	0
1.55645	3.75e-05	0
1.55775	3.75e-05	0
1.55905	3.75e-05	0
1.56035	3.75e-05	0
1.56165	3.75e-05	0
1.56295	3.75e-05	0
1.56425	3.75e-05	0
1.56555	3.75e-05	0
1.56685	3.75e-05	0
1.56815	3.75e-05	0
1.56945	3.75e-05	0
1.57075	3.75e-05	0
1.57205	3.75e-05	0
1.57335	3.75e-05	0
1.57465	3.75e-05	0
1.57595	3.75e-05	0
1.57725	3.75e-05	0
1.57855	3.75e-05	0
1.57985	3.75e-05	0
1.58115	3.75e-05	0
1.58245	3.75e-05	0
1.58375	3.75e-05	0
1.58505	3.75e-05	0
1.58635	3.75e-05	0
1.58765	3.75e-05	0
1.58895	3.75e-05	0
1.59025	3.75e-05	0
1.59155	3.75e-05	0
1.59285	3.75e-05	0
1.59415	3.75e-05	0
1.59545	3.75e-05	0
1.59675	3.75e-05	0
1.59805	3.75e-05	0
1.59935	3.75e-05	0
1.53565	3.85e-05	0
1.53695	3.85e-05	0
1.53825	3.85e-05	0
1.53955	3.85e-05	0
1.54085	3.85e-05	0
1.54215	3.85e-05	0
1.54345	3.85e-05	0
1.54475	3.85e-05	0
1.54605	3.85e-05	0
1.54735	3.85e-05	0
1.54865	3.85e-05	0
1.54995	3.85e-05	0
1.55125	3.85e-05	0
1.55255	3.85e-05	0
1.55385	3.85e-05	0
1.55515	3.85e-05	0
1.55645	3.85e-05	0
1.55775	3.85e-05	0
1.55905	3.85e-05	0
1.56035	3.85e-05	0
1.56165	3.85e-05	1.47075e-06
1.56295	3.85e-05	2.73737
1.56425	3.85e-05	18710.8
1.56555	3.85e-05	1.1396e+06
1.56685	3.85e-05	1.14857e+07
1.56815	3.85e-05	2.87967e+07
1.56945	3.85e-05	4.98891e+07
1.57075	3.85e-05	3.48628e+07
1.57205	3.85e-05	7.1592e+07
1.57335	3.85e-05	6.10987e+07
1.57465	3.85e-05	0
1.57595	3.85e-05	0
1.57725	3.85e-05	0
1.57855	3.85e-05	0
1.57985	3.85e-05	0
1.58115	3.85e-05	0
1.58245	3.85e-05	0
1.58375	3.85e-05	0
1.58505	3.85e-05	0
1.58635	3.85e-05	0
1.58765	3.85e-05	0
1.58895	3.85e-05	0
1.59025	3.85e-05	0
1.59155	3.85e-05	0
1.59285	3.85e-05	0
1.59415	3.85e-05	0
1.59545	3.85e-05	0
1.59675	3.85e-05	0
1.59805	3.85e-05	0
1.59935	3.85e-05	0
1.53565	3.95e-05	0
1.53695	3.95e-05	0
1.53825	3.95e-05	0
1.53955	3.95e-05	0
1.54085	3.95e-05	0
1.54215	3.95e-05	0
1.54345	3.95e-05	0
1.54475	3.95e-05	0
1.54605	3.95e-05	0
1.54735	3.95e-05	0
1.54865	3.95e-05	0
1.54995	3.95e-05	0
1.55125	3.95e-05	0
1.55255	3.95e-05	0
1.55385	3.95e-05	0
1.55515	3.95e-05	0
1.55645	3.95e-05	0
1.55775	3.95e-05	0
1.55905	3.95e-05	0
1.56035	3.95e-05	0
1.56165	3.95e-05	0
1.56295	3.95e-05	0
1.56425	3.95e-05	0
1.56555	3.95e-05	0
1.56685	3.95e-05	0
1.56815	3.95e-05	0
1.56945	3.95e-05	0
1.57075	3.95e-05	0
1.57205	3.95e-05	0
1.57335	3.95e-05	0
1.57465	3.95e-05	0
1.57595	3.95e-05	0
1.57725	3.95e-05	0
1.57855	3.95e-05	0
1.57985	3.95e-05	0
1.58115	3.95e-05	0
1.58245	3.95e-05	0
1.58375	3.95e-05	0
1.58505	3.95e-05	3.41318e-05
1.58635	3.95e-05	5.32657
1.58765	3.95e-05	17883.7
1.58895	3.95e-05	1.27304e+06
1.59025	3.95e-05	1.08768e+07
1.59155	3.95e-05	2.97431e+07
1.59285	3.95e-05	5.26035e+07
1.59415	3.95e-05	2.52962e+07
1.59545	3.95e-05	7.06556e+07
1.59675	3.95e-05	7.09056e+07
1.59805	3.95e-05	2.4483e+07
1.59935	3.95e-05	0
1.53565	4.05e-05	0
1.53695	4.05e-05	0
1.53825	4.05e-05	0
1.53955	4.05e-05	0
1.54085	4.05e-05	0
1.54215	4.05e-05	0
1.54345	4.05e-05	0
1.54475	4.05e-05	0
1.54605	4.05e-05	0
1.54735	4.05e-05	0
1.54865	4.05e-05	0
1.54995	4.05e-05	0
1.55125	4.05e-05	0
1.55255	4.05e-05	0
1.55385	4.05e-05	0
1.55515	4.05e-05	0
1.55645	4.05e-05	0
1.55775	4.05e-05	0
1.55905	4.05e-05	0
1.56035	4.05e-05	0
1.56165	4.05e-05	0
1.56295	4.05e-05	0
1.56425	4.05e-05	0
1.56555	4.05e-05	0
1.56685	4.05e-05	0
1.56815	4.05e-05	0
1.56945	4.05e-05	0
1.57075	4.05e-05	0
1.57205	4.05e-05	0
1.57335	4.05e-05	0
1.57465	4.05e-05	0
1.57595	4.05e-05	0
1.57725	4.05e-05	0
1.57855	4.05e-05	0
1.57985	4.05e-05	0
1.58115	4.05e-05	0
1.58245	4.05e-05	0
1.58375	4.05e-05	0
1.58505	4.05e-05	0
1.58635	4.05e-05	0
1.58765	4.05e-05	0
1.58895	4.05e-05	0
1.59025	4.05e-05	0
1.59155	4.05e-05	0
1.59285	4.05e-05	0
1.59415	4.05e-05	0
1.59545	4.05e-05	0
1.59675	4.05e-05	0
1.59805	4.05e-05	0
1.59935	4.05e-05	0
1.53565	4.15e-05	0
1.53695	4.15e-05	0
1.53825	4.15e-05	0
1.53955	4.15e-05	0
1.54085	4.15e-05	0
1.54215	4.15e-05	0
1.54345	4.15e-05	0
1.54475	4.15e-05	0
1.54605	4.15e-05	0
1.54735	4.15e-05	0
1.54865	4.15e-05	0
1.54995	4.15e-05	0
1.55125	4.15e-05	0
1.55255	4.15e-05	0
1.55385	4.15e-05	0
1.55515	4.15e-05	0
1.55645	4.15e-05	0
1.55775	4.15e-05	0
1.55905	4.15e-05	0
1.56035	4.15e-05	0
1.56165	4.15e-05	0
1.56295	4.15e-05	0
1.56425	4.15e-05	0
1.56555	4.15e-05	0
1.56685	4.15e-05	0
1.56815	4.15e-05	0
1.56945	4.15e-05	0
1.57075	4.15e-05	0
1.57205	4.15e-05	0
1.57335	4.15e-05	0
1.57465	4.15e-05	0
1.57595	4.15e-05	0
1.57725	4.15e-05	0
1.57855	4.15e-05	0
1.57985	4.15e-05	0
1.58115	4.15e-05	0
1.58245	4.15e-05	0
1.58375	4.15e-05	0
1.58505	4.15e-05	0
1.58635	4.15e-05	0
1.58765	4.15e-05	0
1.58895	4.15e-05	0
1.59025	4.15e-05	0
1.59155	4.15e-05	0
1.59285	4.15e-05	0
1.59415	4.15e-05	0
1.59545	4.15e-05	0
1.59675	4.15e-05	0
1.59805	4.15e-05	0
1.59935	4.15e-05	0
1.53565	4.25e-05	0
1.53695	4.25e-05	0
1.53825	4.25e-05	0
1.53955	4.25e-05	0
1.54085	4.25e-05	0
1.54215	4.25e-05	0
1.54345	4.25e-05	0
1.54475	4.25e-05	0
1.54605	4.25e-05	0
1.54735	4.25e-05	0
1.54865	4.25e-05	0
1.54995	4.25e-05	0
1.55125	4.25e-05	0
1.55255	4.25e-05	0
1.55385	4.25e-05	0
1.55515	4.25e-05	0
1.55645	4.25e-05	0
1.55775	4.25e-05	0
1.55905	4.25e-05	0
1.56035	4.25e-05	0
1.56165	4.25e-05	0
1.56295	4.25e-05	0
1.56425	4.25e-05	0
1.56555	4.25e-05	0
1.56685	4.25e-05	0
1.56815	4.25e-05	0
1.56945	4.25e-05	0
1.57075	4.25e-05	0
1.57205	4.25e-05	0
1.57335	4.25e-05	0
1.57465	4.25e-05	0
1.57595	4.25e-05	0
1.57725	4.25e-05	0
1.57855	4.25e-05	0
1.57985	4.25e-05	0
1.58115	4.25e-05	0
1.58245	4.25e-05	0
1.58375	4.25e-05	0
1.58505	4.25e-05	0
1.58635	4.25e-05	0
1.58765	4.25e-05	0
1.58895	4.25e-05	0
1.59025	4.25e-05	0
1.59155	4.25e-05	0
1.59285	4.25e-05	0
1.59415	4.25e-05	0
1.59545	4.25e-05	0
1.59675	4.25e-05	0
1.59805	4.25e-05	0
1.59935	4.25e-05	0
1.53565	4.35e-05	0
1.53695	4.35e-05	0
1.53825	4.35e-05	0
1.53955	4.35e-05	0
1.54085	4.35e-05	0
1.54215	4.35e-05	0
1.54345	4.35e-05	0
1.54475	4.35e-05	0
1.54605	4.35e-05	0
1.54735	4.35e-05	0
1.54865	4.35e-05	0
1.54995	4.35e-05	0
1.55125	4.35e-05	0
1.55255	4.35e-05	0
1.55385	4.35e-05	0
1.55515	4.35e-05	0
1.55645	4.35e-05	0
1.55775	4.35e-05	0
1.55905	4.35e-05	0
1.56035	4.35e-05	0
1.56165	4.35e-05	0
1.56295	4.35e-05	0
1.56425	4.35e-05	0
1.56555	4.35e-05	0
1.56685	4.35e-05	0
1.56815	4.35e-05	0
1.56945	4.35e-05	0
1.57075	4.35e-05	0
1.57205	4.35e-05	0
1.57335	4.35e-05	0
1.57465	4.35e-05	0
1.57595	4.35e-05	0
1.57725	4.35e-05	0
1.57855	4.35e-05	0
1.57985	4.35e-05	0
1.58115	4.35e-05	0
1.58245	4.35e-05	0
1.58375	4.35e-05	0
1.58505	4.35e-05	0
1.58635	4.35e-05	0
1.58765	4.35e-05	0
1.58895	4.35e-05	0
1.59025	4.35e-05	0
1.59155	4.35e-05	0
1.59285	4.35e-05	0
1.59415	4.35e-05	0
1.59545	4.35e-05	0
1.59675	4.35e-05	0
1.59805	4.35e-05	0
1.59935	4.35e-05	0
1.53565	4.45e-05	0
1.53695	4.45e-05	0
1.53825	4.45e-05	0
1.53955	4.45e-05	0
1.54085	4.45e-05	0
1.54215	4.45e-05	0
1.54345	4.45e-05	0
1.54475	4.45e-05	0
1.54605	4.45e-05	0
1.54735	4.45e-05	0
1.54865	4.45e-05	0
1.54995	4.45e-05	0
1.55125	4.45e-05	0
1.55255	4.45e-05	0
1.55385	4.45e-05	0
1.55515	4.45e-05	0
1.55645	4.45e-05	0
1.55775	4.45e-05	0
1.55905	4.45e-05	0
1.56035	4.45e-05	0
1.56165	4.45e-05	0
1.56295	4.45e-05	0
1.56425	4.45e-05	0
1.56555	4.45e-05	0
1.56685	4.45e-05	0
1.56815	4.45e-05	0
1.56945	4.45e-05	0
1.57075	4.45e-05	0
1.57205	4.45e-05	0
1.57335	4.45e-05	0
1.57465	4.45e-05	0
1.57595	4.45e-05	0
1.57725	4.45e-05	0
1.57855	4.45e-05	0
1.57985	4.45e-05	0
1.58115	4.45e-05	0
1.58245	4.45e-05	0
1.58375	4.45e-05	0
1.58505	4.45e-05	0
1.58635	4.45e-05	0
1.58765	4.45e-05	0
1.58895	4.45e-05	0
1.59025	4.45e-05	0
1.59155	4.45e-05	0
1.59285	4.45e-05	0
1.59415	4.45e-05	0
1.59545	4.45e-05	0
1.59675	4.45e-05	0
1.59805	4.45e-05	0
1.59935	4.45e-05	0
1.53565	4.55e-05	0
1.53695	4.55e-05	0
1.53825	4.55e-05	0
1.53955	4.55e-05	0
1.54085	4.55e-05	0
1.54215	4.55e-05	0
1.54345	4.55e-05	0
1.54475	4.55e-05	0
1.54605	4.55e-05	0
1.54735	4.55e-05	0
1.54865	4.55e-05	0
1.54995	4.55e-05	0
1.55125	4.55e-05	0
1.55255	4.55e-05	0
1.55385	4.55e-05	0
1.55515	4.55e-05	0
1.55645	4.55e-05	0
1.55775	4.55e-05	0
1.55905	4.55e-05	0
1.56035	4.55e-05	0
1.56165	4.55e-05	0
1.56295	4.55e-05	0
1.56425	4.55e-05	0
1.56555	4.55e-05	0
1.56685	4.55e-05	0
1.56815	4.55e-05	0
1.56945	4.55e-05	0
1.57075	4.55e-05	0
1.57205	4.55e-05	0
1.57335	4.55e-05	0
1.57465	4.55e-05	0
1.57595	4.55e-05	0
1.57725	4.55e-05	0
1.57855	4.55e-05	0
1.57985	4.55e-05	0
1.58115	4.55e-05	0
1.58245	4.55e-05	0
1.58375	4.55e-05	0
1.58505	4.55e-05	0
1.58635	4.55e-05	0
1.58765	4.55e-05	0
1.58895	4.55e-05	0
1.59025	4.55e-05	0
1.59155	4.55e-05	0
1.59285	4.55e-05	0
1.59415	4.55e-05	0
1.59545	4.55e-05	0
1.59675	4.55e-05	0
1.59805	4.55e-05	0
1.59935	4.55e-05	0
1.53565	4.65e-05	0
1.53695	4.65e-05	0
1.53825	4.65e-05	0
1.53955	4.65e-05	0
1.54085	4.65e-05	0
1.54215	4.65e-05	0
1.54345	4.65e-05	0
1.54475	4.65e-05	0
1.54605	4.65e-05	0
1.54735	4.65e-05	0
1.54865	4.65e-05	0
1.54995	4.65e-05	0
1.55125	4.65e-05	0
1.55255	4.65e-05	0
1.55385	4.65e-05	0
1.55515	4.65e-05	0
1.55645	4.65e-05	0
1.55775	4.65e-05	0
1.55905	4.65e-05	0
1.56035	4.65e-05	0
1.56165	4.65e-05	0
1.56295	4.65e-05	0
1.56425	4.65e-05	0
1.56555	4.65e-05	0
1.56685	4.65e-05	0
1.56815	4.65e-05	0
1.56945	4.65e-05	0
1.57075	4.65e-05	0
1.57205	4.65e-05	0
1.57335	4.65e-05	0
1.57465	4.65e-05	0
1.57595	4.65e-05	0
1.57725	4.65e-05	0
1.57855	4.65e-05	0
1.57985	4.65e-05	0
1.58115	4.65e-05	0
1.58245	4.65e-05	0
1.58375	4.65e-05	0
1.58505	4.65e-05	0
1.58635	4.65e-05	0
1.58765	4.65e-05	0
1.58895	4.65e-05	0
1.59025	4.65e-05	0
1.59155	4.65e-05	0
1.59285	4.65e-05	0
1.59415	4.65e-05	0
1.59545	4.65e-05	0
1.59675	4.65e-05	0
1.59805	4.65e-05	0
1.59935	4.65e-05	0
1.53565	4.75e-05	0
1.53695	4.75e-05	0
1.53825	4.75e-05	0
1.53955	4.75e-05	0
1.54085	4.75e-05	0
1.54215	4.75e-05	0
1.54345	4.75e-05	0
1.54475	4.75e-05	0
1.54605	4.75e-05	0
1.54735	4.75e-05	0
1.54865	4.75e-05	0
1.54995	4.75e-05	0
1.55125	4.75e-05	0
1.55255	4.75e-05	0
1.55385	4.75e-05	0
1.55515	4.75e-05	0
1.55645	4.75e-05	0
1.55775	4.75e-05	0
1.55905	4.75e-05	0
1.56035	4.75e-05	0
1.56165	4.75e-05	0
1.56295	4.75e-05	0
1.56425	4.75e-05	0
1.56555	4.75e-05	0
1.56685	4.75e-05	0
1.56815	4.75e-05	0
1.56945	4.75e-05	0
1.57075	4.75e-05	0
1.57205	4.75e-05	0
1.57335	4.75e-05	0
1.57465	4.75e-05	0
1.57595	4.75e-05	0
1.57725	4.75e-05	0
1.57855	4.75e-05	0
1.57985	4.75e-05	0
1.58115	4.75e-05	0
1.58245	4.75e-05	0
1.58375	4.75e-05	0
1.58505	4.75e-05	0
1.58635	4.75e-05	0
1.58765	4.75e-05	0
1.58895	4.75e-05	0
1.59025	4.75e-05	0
1.59155	4.75e-05	0
1.59285	4.75e-05	0
1.59415	4.75e-05	0
1.59545	4.75e-05	0
1.59675	4.75e-05	0
1.59805	4.75e-05	0
1.59935	4.75e-05	0
1.53565	4.85e-05	0
1.53695	4.85e-05	0
1.53825	4.85e-05	0
1.53955	4.85e-05	0
1.54085	4.85e-05	0
1.54215	4.85e-05	0
1.54345	4.85e-05	0
1.54475	4.85e-05	0
1.54605	4.85e-05	0
1.54735	4.85e-05	0
1.54865	4.85e-05	0
1.54995	4.85e-05	0
1.55125	4.85e-05	0
