#n_l	gamma	probability

1.58115	4.95e-05	0
1.58245	4.95e-05	0
1.58375	4.95e-05	0
1.58505	4.95e-05	0
1.58635	4.95e-05	0
1.58765	4.95e-05	0
1.58895	4.95e-05	0
1.59025	4.95e-05	0
1.59155	4.95e-05	0
1.59285	4.95e-05	0
1.59415	4.95e-05	0
1.59545	4.95e-05	0
1.59675	4.95e-05	0
1.59805	4.95e-05	0
1.59935	4.95e-05	0
