#n_l	theta_0	probability

1.42684	-0.0003808	9.48218e-28
1.42692	-0.0003808	9.44049e-28
1.427	-0.0003808	1.13898e-27
1.42707	-0.0003808	3.66225e-27
1.42715	-0.0003808	1.23305e-27
1.42723	-0.0003808	2.26931e-27
1.42731	-0.0003808	7.19215e-28
1.42739	-0.0003808	3.29108e-28
1.42746	-0.0003808	1.6151e-27
1.42754	-0.0003808	1.17483e-27
1.42762	-0.0003808	1.14356e-27
1.4277	-0.0003808	4.64369e-28
1.42778	-0.0003808	1.09176e-27
1.42785	-0.0003808	1.29739e-27
1.42793	-0.0003808	1.46733e-27
1.42801	-0.0003808	2.14303e-27
1.42809	-0.0003808	2.21793e-27
1.42817	-0.0003808	1.98518e-27
1.42824	-0.0003808	5.69172e-27
1.42832	-0.0003808	4.06494e-27
1.4284	-0.0003808	1.44977e-27
1.42848	-0.0003808	1.74257e-27
1.42856	-0.0003808	2.21632e-28
1.42863	-0.0003808	3.519e-28
1.42871	-0.0003808	8.01803e-29
1.42879	-0.0003808	9.19271e-29
1.42887	-0.0003808	5.81046e-29
1.42895	-0.0003808	3.76559e-29
1.42902	-0.0003808	1.80438e-28
1.4291	-0.0003808	2.25131e-28
1.42918	-0.0003808	1.29905e-29
1.42926	-0.0003808	8.88306e-30
1.42934	-0.0003808	1.01136e-29
1.42941	-0.0003808	6.37427e-29
1.42949	-0.0003808	1.82852e-29
1.42957	-0.0003808	4.17881e-29
1.42965	-0.0003808	9.92944e-30
1.42973	-0.0003808	1.40874e-29
1.4298	-0.0003808	4.01156e-30
1.42988	-0.0003808	6.74201e-30
1.42996	-0.0003808	3.30501e-29
1.42224	-0.000368	3.14135e-41
1.42232	-0.000368	1.8904e-40
1.42239	-0.000368	3.89553e-40
1.42247	-0.000368	4.19339e-39
1.42255	-0.000368	1.71106e-38
1.42263	-0.000368	2.86755e-37
1.42271	-0.000368	1.04936e-36
1.42278	-0.000368	2.75231e-36
1.42286	-0.000368	3.83538e-36
1.42294	-0.000368	1.17584e-35
1.42302	-0.000368	1.69702e-35
1.4231	-0.000368	1.56063e-35
1.42317	-0.000368	5.00149e-35
1.42325	-0.000368	4.40054e-35
1.42333	-0.000368	4.60549e-34
1.42341	-0.000368	1.13477e-33
