#theta_0	gamma	probability

-0.00225	4e-05	8.90096e-05
-0.00175	4e-05	2.57924e-05
-0.00125	4e-05	1.19263e-06
-0.00075	4e-05	8.11346e-08
-0.00025	4e-05	3.8633e-08
-0.00975	4.4e-05	1.2833e-05
-0.00925	4.4e-05	1.67955e-05
-0.00875	4.4e-05	2.31493e-05
-0.00825	4.4e-05	3.10134e-05
-0.00775	4.4e-05	3.52549e-05
-0.00725	4.4e-05	4.84734e-05
-0.00675	4.4e-05	6.04074e-05
-0.00625	4.4e-05	7.18038e-05
-0.00575	4.4e-05	9.69506e-05
-0.00525	4.4e-05	0.000152329
-0.00475	4.4e-05	0.000311855
-0.00425	4.4e-05	0.000608865
-0.00375	4.4e-05	0.00139433
-0.00325	4.4e-05	0.00360787
-0.00275	4.4e-05	0.00596665
-0.00225	4.4e-05	0.000193421
-0.00175	4.4e-05	7.54659e-05
-0.00125	4.4e-05	3.64884e-05
-0.00075	4.4e-05	1.36171e-07
-0.00025	4.4e-05	5.56663e-08
-0.00975	4.8e-05	0.00024795
-0.00925	4.8e-05	0.00307677
-0.00875	4.8e-05	0.0144233
-0.00825	4.8e-05	0.0373129
-0.00775	4.8e-05	0.0520591
-0.00725	4.8e-05	0.0520668
-0.00675	4.8e-05	0.0663048
-0.00625	4.8e-05	0.0778345
-0.00575	4.8e-05	0.0833422
-0.00525	4.8e-05	0.101411
-0.00475	4.8e-05	0.151773
-0.00425	4.8e-05	0.150099
-0.00375	4.8e-05	0.1319
-0.00325	4.8e-05	0.0508879
-0.00275	4.8e-05	0.000496331
-0.00225	4.8e-05	0.00014933
-0.00175	4.8e-05	7.22748e-05
-0.00125	4.8e-05	4.00728e-05
-0.00075	4.8e-05	2.22661e-07
-0.00025	4.8e-05	5.42933e-08
-0.00975	5.2e-05	0.0521562
-0.00925	5.2e-05	0.0727268
-0.00875	5.2e-05	0.099158
-0.00825	5.2e-05	0.11021
-0.00775	5.2e-05	0.123792
-0.00725	5.2e-05	0.150388
-0.00675	5.2e-05	0.219865
-0.00625	5.2e-05	0.293564
-0.00575	5.2e-05	0.418519
-0.00525	5.2e-05	0.82173
-0.00475	5.2e-05	0.81984
-0.00425	5.2e-05	0.198685
-0.00375	5.2e-05	0.0584115
-0.00325	5.2e-05	0.0763433
-0.00275	5.2e-05	0.000313457
-0.00225	5.2e-05	0.000144332
-0.00175	5.2e-05	8.59081e-05
-0.00125	5.2e-05	2.75707e-05
-0.00075	5.2e-05	1.36966e-06
-0.00025	5.2e-05	9.81811e-08
-0.00975	5.6e-05	0.183644
-0.00925	5.6e-05	5.46444
-0.00875	5.6e-05	54.2127
-0.00825	5.6e-05	79.8014
-0.00775	5.6e-05	92.1544
-0.00725	5.6e-05	108.073
-0.00675	5.6e-05	133.011
