#theta_0	n_l	probability

-0.00925	1.5375	0.0251175
-0.00875	1.5375	0.0300116
-0.00825	1.5375	0.0324115
-0.00775	1.5375	0.0373458
-0.00725	1.5375	0.0430339
-0.00675	1.5375	0.0511784
-0.00625	1.5375	0.0528059
-0.00575	1.5375	0.033372
-0.00525	1.5375	0.0113779
-0.00475	1.5375	9.49844e-05
-0.00425	1.5375	3.16468e-05
-0.00375	1.5375	2.60156e-05
-0.00325	1.5375	1.03353e-05
-0.00275	1.5375	4.77039e-07
-0.00225	1.5375	1.94144e-08
-0.00175	1.5375	5.6705e-09
-0.00125	1.5375	4.37095e-11
-0.00075	1.5375	1.96819e-10
-0.00025	1.5375	4.44014e-12
-0.00975	1.5625	0.0101737
-0.00925	1.5625	0.0129254
-0.00875	1.5625	0.0155791
-0.00825	1.5625	0.0279778
-0.00775	1.5625	0.0313482
-0.00725	1.5625	0.0372047
-0.00675	1.5625	0.0426336
-0.00625	1.5625	0.0326201
-0.00575	1.5625	0.0254887
-0.00525	1.5625	0.0124618
-0.00475	1.5625	0.00134512
-0.00425	1.5625	4.43844e-05
-0.00375	1.5625	2.00854e-05
-0.00325	1.5625	8.12296e-06
-0.00275	1.5625	4.2196e-08
-0.00225	1.5625	1.31552e-08
-0.00175	1.5625	1.16362e-08
-0.00125	1.5625	4.36004e-09
-0.00075	1.5625	1.57393e-11
-0.00025	1.5625	1.56241e-12
-0.00975	1.5875	0.00310948
-0.00925	1.5875	0.00683675
-0.00875	1.5875	0.0127695
-0.00825	1.5875	0.0138321
-0.00775	1.5875	0.0159747
-0.00725	1.5875	0.0187015
-0.00675	1.5875	0.0220362
-0.00625	1.5875	0.035127
-0.00575	1.5875	0.0325688
-0.00525	1.5875	0.0105606
-0.00475	1.5875	8.47147e-05
-0.00425	1.5875	0.000126701
-0.00375	1.5875	2.6034e-05
-0.00325	1.5875	1.03794e-05
-0.00275	1.5875	6.17403e-07
-0.00225	1.5875	1.77996e-08
-0.00175	1.5875	6.49431e-09
-0.00125	1.5875	3.58651e-10
-0.00075	1.5875	5.1651e-12
-0.00025	1.5875	8.52476e-12
-0.00975	1.6125	2.0926e-05
-0.00925	1.6125	2.56535e-05
-0.00875	1.6125	3.92627e-05
-0.00825	1.6125	0.00305918
-0.00775	1.6125	0.0117988
-0.00725	1.6125	0.0136221
-0.00675	1.6125	0.0197697
-0.00625	1.6125	0.0213096
-0.00575	1.6125	0.0106282
-0.00525	1.6125	0.0122315
-0.00475	1.6125	0.000631881
-0.00425	1.6125	4.66479e-05
-0.00375	1.6125	2.00961e-05
-0.00325	1.6125	8.12489e-06
-0.00275	1.6125	6.84114e-08
-0.00225	1.6125	1.36458e-08
-0.00175	1.6125	4.06968e-09
-0.00125	1.6125	5.66183e-09
-0.00075	1.6125	4.62589e-11
-0.00025	1.6125	4.6254e-12
-0.00975	1.6375	1.69936e-05
-0.00925	1.6375	2.02076e-05
-0.00875	1.6375	2.45612e-05
-0.00825	1.6375	3.00511e-05
-0.00775	1.6375	3.74218e-05
-0.00725	1.6375	6.03991e-05
-0.00675	1.6375	0.000232797
-0.00625	1.6375	0.00252349
-0.00575	1.6375	0.0196621
-0.00525	1.6375	0.0105494
-0.00475	1.6375	0.0121596
-0.00425	1.6375	0.000119448
-0.00375	1.6375	2.62188e-05
-0.00325	1.6375	1.16787e-05
-0.00275	1.6375	1.87673e-06
-0.00225	1.6375	2.94053e-08
-0.00175	1.6375	1.04399e-08
-0.00125	1.6375	4.35912e-09
-0.00075	1.6375	1.46418e-11
-0.00025	1.6375	2.73008e-12
-0.00975	1.6625	1.17485e-05
-0.00925	1.6625	1.59446e-05
-0.00875	1.6625	1.97404e-05
-0.00825	1.6625	2.32353e-05
-0.00775	1.6625	2.99506e-05
-0.00725	1.6625	3.32476e-05
-0.00675	1.6625	4.27428e-05
-0.00625	1.6625	6.00845e-05
-0.00575	1.6625	0.000132509
-0.00525	1.6625	0.000157182
-0.00475	1.6625	0.000415344
-0.00425	1.6625	4.8536e-05
-0.00375	1.6625	2.01149e-05
-0.00325	1.6625	8.15381e-06
-0.00275	1.6625	7.06847e-08
-0.00225	1.6625	1.43605e-08
-0.00175	1.6625	5.76477e-09
-0.00125	1.6625	2.05907e-10
-0.00075	1.6625	5.16882e-12
-0.00025	1.6625	8.53415e-12
-0.00975	1.6875	7.80228e-06
-0.00925	1.6875	1.19885e-05
-0.00875	1.6875	1.57032e-05
-0.00825	1.6875	1.76338e-05
-0.00775	1.6875	1.96041e-05
-0.00725	1.6875	3.00181e-05
-0.00675	1.6875	3.39874e-05
-0.00625	1.6875	4.29303e-05
-0.00575	1.6875	5.62179e-05
-0.00525	1.6875	7.93702e-05
-0.00475	1.6875	8.63661e-05
-0.00425	1.6875	0.000128247
-0.00375	1.6875	1.06602e-05
-0.00325	1.6875	5.75506e-06
-0.00275	1.6875	3.79667e-08
-0.00225	1.6875	1.31633e-08
-0.00175	1.6875	1.19894e-08
-0.00125	1.6875	5.65829e-09
-0.00075	1.6875	4.64527e-11
-0.00025	1.6875	3.59158e-12
-0.00975	1.7125	5.18007e-06
-0.00925	1.7125	8.47626e-06
-0.00875	1.7125	1.09924e-05
-0.00825	1.7125	1.64028e-05
-0.00775	1.7125	1.82221e-05
-0.00725	1.7125	2.05544e-05
-0.00675	1.7125	2.30531e-05
-0.00625	1.7125	2.73743e-05
-0.00575	1.7125	3.93867e-05
-0.00525	1.7125	5.49159e-05
-0.00475	1.7125	4.69436e-05
-0.00425	1.7125	5.24826e-05
-0.00375	1.7125	2.33931e-05
-0.00325	1.7125	8.86753e-06
-0.00275	1.7125	2.30796e-07
-0.00225	1.7125	2.12e-08
-0.00175	1.7125	1.0441e-08
-0.00125	1.7125	4.36085e-09
-0.00075	1.7125	1.69903e-11
-0.00025	1.7125	3.45819e-12
-0.00975	1.7375	2.76274e-06
-0.00925	1.7375	4.25735e-06
-0.00875	1.7375	7.74306e-06
-0.00825	1.7375	8.8549e-06
-0.00775	1.7375	1.63179e-05
-0.00725	1.7375	1.8233e-05
-0.00675	1.7375	2.21462e-05
-0.00625	1.7375	2.47265e-05
-0.00575	1.7375	2.76126e-05
-0.00525	1.7375	3.11056e-05
-0.00475	1.7375	3.87684e-05
-0.00425	1.7375	3.87908e-05
-0.00375	1.7375	1.76086e-05
-0.00325	1.7375	8.12571e-06
-0.00275	1.7375	6.58711e-08
-0.00225	1.7375	1.62263e-08
-0.00175	1.7375	5.92702e-09
-0.00125	1.7375	2.26204e-10
-0.00075	1.7375	7.32482e-12
-0.00025	1.7375	1.74931e-12
-0.00975	1.7625	8.99042e-07
-0.00925	1.7625	1.95637e-06
-0.00875	1.7625	4.22671e-06
-0.00825	1.7625	7.09858e-06
-0.00775	1.7625	8.33099e-06
-0.00725	1.7625	9.93607e-06
-0.00675	1.7625	1.60171e-05
-0.00625	1.7625	2.21614e-05
-0.00575	1.7625	2.5484e-05
-0.00525	1.7625	2.8494e-05
-0.00475	1.7625	3.30287e-05
-0.00425	1.7625	2.676e-05
-0.00375	1.7625	2.48855e-05
-0.00325	1.7625	1.08431e-05
-0.00275	1.7625	2.23707e-06
-0.00225	1.7625	3.97821e-08
-0.00175	1.7625	1.19897e-08
-0.00125	1.7625	5.67338e-09
-0.00075	1.7625	6.10136e-11
-0.00025	1.7625	4.85066e-12
-0.00975	1.7875	7.47559e-09
-0.00925	1.7875	4.10955e-08
-0.00875	1.7875	8.93848e-07
-0.00825	1.7875	3.87584e-06
-0.00775	1.7875	7.63934e-06
-0.00725	1.7875	8.33055e-06
-0.00675	1.7875	1.0609e-05
-0.00625	1.7875	1.15213e-05
-0.00575	1.7875	1.36116e-05
-0.00525	1.7875	2.15738e-05
-0.00475	1.7875	3.04713e-05
-0.00425	1.7875	2.40229e-05
-0.00375	1.7875	2.01227e-05
-0.00325	1.7875	8.16099e-06
-0.00275	1.7875	1.33577e-07
-0.00225	1.7875	2.39639e-08
-0.00175	1.7875	1.04464e-08
-0.00125	1.7875	4.36575e-09
-0.00075	1.7875	1.715e-11
-0.00025	1.7875	3.14627e-12
