1	Uniform	0.00721565	0.00727565
-1	Uniform	-0.00727565	-0.00721565
2	Uniform	0.0102168	0.0102768
-2	Uniform	-0.0102768	-0.0102168
3	Uniform	0.0125197	0.0125797
-3	Uniform	-0.0125797	-0.0125197
4	Uniform	0.014461	0.014521
-4	Uniform	-0.014521	-0.014461
5	Uniform	0.0161714	0.0162314
-5	Uniform	-0.0162314	-0.0161714
6	Uniform	0.0177176	0.0177776
-6	Uniform	-0.0177776	-0.0177176
7	Uniform	0.0191395	0.0191995
-7	Uniform	-0.0191995	-0.0191395
8	Uniform	0.0204629	0.0205229
-8	Uniform	-0.0205229	-0.0204629
9	Uniform	0.0217059	0.0217659
-9	Uniform	-0.0217659	-0.0217059
10	Uniform	0.0228815	0.0229415
-10	Uniform	-0.0229415	-0.0228815
11	Uniform	0.0239997	0.0240597
-11	Uniform	-0.0240597	-0.0239997
12	Uniform	0.025068	0.025128
-12	Uniform	-0.025128	-0.025068
13	Uniform	0.0260927	0.0261527
-13	Uniform	-0.0261527	-0.0260927
14	Uniform	0.0270787	0.0271387
-14	Uniform	-0.0271387	-0.0270787
15	Uniform	0.02803	0.02809
-15	Uniform	-0.02809	-0.02803
16	Uniform	0.02895	0.02901
-16	Uniform	-0.02901	-0.02895
17	Uniform	0.0298418	0.0299018
-17	Uniform	-0.0299018	-0.0298418
18	Uniform	0.0307076	0.0307676
-18	Uniform	-0.0307676	-0.0307076
19	Uniform	0.0315497	0.0316097
-19	Uniform	-0.0316097	-0.0315497
20	Uniform	0.0323699	0.0324299
-20	Uniform	-0.0324299	-0.0323699
21	Uniform	0.0331698	0.0332298
-21	Uniform	-0.0332298	-0.0331698
22	Uniform	0.0339509	0.0340109
-22	Uniform	-0.0340109	-0.0339509
23	Uniform	0.0347144	0.0347744
-23	Uniform	-0.0347744	-0.0347144
24	Uniform	0.0354615	0.0355215
-24	Uniform	-0.0355215	-0.0354615
25	Uniform	0.0361931	0.0362531
-25	Uniform	-0.0362531	-0.0361931
26	Uniform	0.0369103	0.0369703
-26	Uniform	-0.0369703	-0.0369103
27	Uniform	0.0376138	0.0376738
-27	Uniform	-0.0376738	-0.0376138
28	Uniform	0.0383043	0.0383643
-28	Uniform	-0.0383643	-0.0383043
29	Uniform	0.0389826	0.0390426
-29	Uniform	-0.0390426	-0.0389826
30	Uniform	0.0396493	0.0397093
-30	Uniform	-0.0397093	-0.0396493
31	Uniform	0.040305	0.040365
