#n_l	gamma	probability

1.3875	4.4e-05	4.05074e-06
1.4125	4.4e-05	4.55026e-08
1.4375	4.4e-05	5.18168e-09
1.4625	4.4e-05	2.71658e-09
1.4875	4.4e-05	1.84253e-09
1.5125	4.4e-05	1.1253e-09
1.5375	4.4e-05	6.21105e-10
1.5625	4.4e-05	1.93484e-11
1.5875	4.4e-05	1.03969e-12
1.6125	4.4e-05	3.58662e-13
1.6375	4.4e-05	1.83944e-13
1.6625	4.4e-05	1.29701e-13
1.6875	4.4e-05	9.97831e-14
1.7125	4.4e-05	7.64697e-14
1.7375	4.4e-05	5.92688e-14
1.7625	4.4e-05	3.67683e-14
1.7875	4.4e-05	1.93287e-14
1.3125	4.8e-05	0.0143778
1.3375	4.8e-05	0.00504902
1.3625	4.8e-05	2.29626e-05
1.3875	4.8e-05	9.34374e-06
1.4125	4.8e-05	6.63558e-06
1.4375	4.8e-05	4.06823e-06
1.4625	4.8e-05	1.38044e-07
1.4875	4.8e-05	8.56974e-09
1.5125	4.8e-05	3.21427e-09
1.5375	4.8e-05	2.15551e-09
1.5625	4.8e-05	1.64653e-09
1.5875	4.8e-05	1.12166e-09
1.6125	4.8e-05	7.21186e-10
1.6375	4.8e-05	1.58736e-10
1.6625	4.8e-05	2.88768e-12
1.6875	4.8e-05	6.89895e-13
1.7125	4.8e-05	3.21339e-13
1.7375	4.8e-05	1.83969e-13
1.7625	4.8e-05	1.35666e-13
1.7875	4.8e-05	1.11181e-13
1.3125	5.2e-05	0.0416004
1.3375	5.2e-05	0.0162188
1.3625	5.2e-05	0.012133
1.3875	5.2e-05	0.000330142
1.4125	5.2e-05	1.65502e-05
1.4375	5.2e-05	8.50412e-06
1.4625	5.2e-05	6.77601e-06
1.4875	5.2e-05	4.03462e-06
1.5125	5.2e-05	9.64633e-07
1.5375	5.2e-05	3.80006e-08
1.5625	5.2e-05	5.18168e-09
1.5875	5.2e-05	3.48249e-09
1.6125	5.2e-05	2.07926e-09
1.6375	5.2e-05	1.7038e-09
1.6625	5.2e-05	1.2209e-09
1.6875	5.2e-05	7.98867e-10
1.7125	5.2e-05	4.81717e-10
1.7375	5.2e-05	4.4307e-11
1.7625	5.2e-05	2.53019e-12
1.7875	5.2e-05	8.2463e-13
1.3125	5.6e-05	15.0091
1.3375	5.6e-05	0.188595
1.3625	5.6e-05	0.0187954
1.3875	5.6e-05	0.0138078
1.4125	5.6e-05	0.00756643
1.4375	5.6e-05	0.000130982
1.4625	5.6e-05	1.38831e-05
1.4875	5.6e-05	8.63596e-06
1.5125	5.6e-05	7.35015e-06
1.5375	5.6e-05	5.16598e-06
1.5625	5.6e-05	2.56291e-06
1.5875	5.6e-05	1.02029e-07
1.6125	5.6e-05	1.37478e-08
1.6375	5.6e-05	4.58437e-09
1.6625	5.6e-05	3.48273e-09
1.6875	5.6e-05	2.18954e-09
1.7125	5.6e-05	1.8899e-09
1.7375	5.6e-05	1.49476e-09
1.7625	5.6e-05	1.12066e-09
1.7875	5.6e-05	6.91692e-10
1.3125	6e-05	17.6256
1.3375	6e-05	15.5319
1.3625	6e-05	3.33777
1.3875	6e-05	0.0277306
1.4125	6e-05	0.0181442
1.4375	6e-05	0.0122981
1.4625	6e-05	0.00451745
1.4875	6e-05	8.4335e-05
1.5125	6e-05	1.38831e-05
1.5375	6e-05	9.21571e-06
1.5625	6e-05	7.91103e-06
1.5875	6e-05	5.52066e-06
1.6125	6e-05	4.25102e-06
1.6375	6e-05	1.45636e-06
1.6625	6e-05	5.08538e-08
1.6875	6e-05	1.31914e-08
1.7125	6e-05	4.95377e-09
1.7375	6e-05	3.01241e-09
1.7625	6e-05	2.57578e-09
1.7875	6e-05	1.90903e-09
1.3125	6.4e-05	3860.81
1.3375	6.4e-05	18.4566
1.3625	6.4e-05	15.6039
1.3875	6.4e-05	8.96624
1.4125	6.4e-05	0.0378265
1.4375	6.4e-05	0.0185953
1.4625	6.4e-05	0.0152753
1.4875	6.4e-05	0.0122035
1.5125	6.4e-05	0.00334011
1.5375	6.4e-05	9.46611e-05
1.5625	6.4e-05	1.52478e-05
1.5875	6.4e-05	1.02881e-05
1.6125	6.4e-05	8.01732e-06
1.6375	6.4e-05	6.78592e-06
1.6625	6.4e-05	4.84848e-06
1.6875	6.4e-05	3.75387e-06
1.7125	6.4e-05	1.22525e-06
1.7375	6.4e-05	7.47871e-08
1.7625	6.4e-05	1.71338e-08
1.7875	6.4e-05	6.5393e-09
1.3125	6.8e-05	8835.21
1.3375	6.8e-05	4807.77
1.3625	6.8e-05	21.3519
1.3875	6.8e-05	17.3105
1.4125	6.8e-05	12.8056
1.4375	6.8e-05	0.782266
1.4625	6.8e-05	0.0282515
1.4875	6.8e-05	0.0175367
1.5125	6.8e-05	0.0138401
1.5375	6.8e-05	0.0114315
1.5625	6.8e-05	0.00334381
1.5875	6.8e-05	0.000122141
1.6125	6.8e-05	1.86819e-05
1.6375	6.8e-05	1.25125e-05
1.6625	6.8e-05	8.46892e-06
1.6875	6.8e-05	7.9469e-06
1.7125	6.8e-05	6.47953e-06
1.7375	6.8e-05	5.26464e-06
1.7625	6.8e-05	3.98821e-06
1.7875	6.8e-05	1.78127e-06
1.3125	7.2e-05	8289.81
1.3375	7.2e-05	8835.21
1.3625	7.2e-05	6631.03
1.3875	7.2e-05	28.2641
1.4125	7.2e-05	18.5161
1.4375	7.2e-05	15.9983
1.4625	7.2e-05	6.83072
1.4875	7.2e-05	0.0468197
1.5125	7.2e-05	0.0216673
1.5375	7.2e-05	0.0184071
1.5625	7.2e-05	0.0135636
1.5875	7.2e-05	0.0114981
1.6125	7.2e-05	0.00459625
1.6375	7.2e-05	0.000364858
1.6625	7.2e-05	2.67244e-05
1.6875	7.2e-05	1.31634e-05
1.7125	7.2e-05	1.04387e-05
1.7375	7.2e-05	7.58345e-06
1.7625	7.2e-05	7.90216e-06
1.7875	7.2e-05	6.47953e-06
1.3125	7.6e-05	2.00959e+06
1.3375	7.6e-05	7755.02
1.3625	7.6e-05	8961.83
1.3875	7.6e-05	6989.12
1.4125	7.6e-05	27.9233
1.4375	7.6e-05	18.1325
1.4625	7.6e-05	15.4987
1.4875	7.6e-05	11.6664
1.5125	7.6e-05	2.12055
1.5375	7.6e-05	0.0315487
1.5625	7.6e-05	0.0203526
1.5875	7.6e-05	0.0179451
1.6125	7.6e-05	0.0135932
1.6375	7.6e-05	0.0122443
1.6625	7.6e-05	0.00649514
1.6875	7.6e-05	0.00101151
1.7125	7.6e-05	6.08031e-05
1.7375	7.6e-05	1.92337e-05
1.7625	7.6e-05	1.47711e-05
1.7875	7.6e-05	1.011e-05
1.3125	8e-05	597376
1.3375	8e-05	1.93526e+06
1.3625	8e-05	7414.85
1.3875	8e-05	7914.82
1.4125	8e-05	8397.46
1.4375	8e-05	62.5473
1.4625	8e-05	17.979
1.4875	8e-05	17.5246
1.5125	8e-05	15.8283
1.5375	8e-05	8.91124
1.5625	8e-05	0.25037
1.5875	8e-05	0.0395115
1.6125	8e-05	0.0194142
1.6375	8e-05	0.0181627
1.6625	8e-05	0.0138737
1.6875	8e-05	0.0117737
1.7125	8e-05	0.00885554
1.7375	8e-05	0.00290465
1.7625	8e-05	0.000411916
1.7875	8e-05	3.62375e-05
1.3125	8.4e-05	1.25049e-307
1.3375	8.4e-05	560239
1.3625	8.4e-05	1.80676e+06
1.3875	8.4e-05	7631.23
1.4125	8.4e-05	7996.75
1.4375	8.4e-05	8309.86
1.4625	8.4e-05	1200.79
1.4875	8.4e-05	22.7608
1.5125	8.4e-05	19.6281
1.5375	8.4e-05	15.4987
1.5625	8.4e-05	13.3194
1.5875	8.4e-05	5.60962
1.6125	8.4e-05	0.120037
1.6375	8.4e-05	0.0361035
1.6625	8.4e-05	0.019649
1.6875	8.4e-05	0.0164878
1.7125	8.4e-05	0.015151
1.7375	8.4e-05	0.0129191
1.7625	8.4e-05	0.0111099
1.7875	8.4e-05	0.00663871
1.3125	8.8e-05	0
1.3375	8.8e-05	3.24959e-308
1.3625	8.8e-05	1.19724e+06
1.3875	8.8e-05	1.7495e+06
1.4125	8.8e-05	8029.68
1.4375	8.8e-05	8260.29
1.4625	8.8e-05	9093.67
1.4875	8.8e-05	4224.66
1.5125	8.8e-05	41.2992
1.5375	8.8e-05	17.4708
1.5625	8.8e-05	17.6218
1.5875	8.8e-05	15.7919
1.6125	8.8e-05	11.4938
1.6375	8.8e-05	5.61764
1.6625	8.8e-05	0.0872702
1.6875	8.8e-05	0.0389962
1.7125	8.8e-05	0.0204784
1.7375	8.8e-05	0.0175367
1.7625	8.8e-05	0.0162535
1.7875	8.8e-05	0.0134385
