#n_l	theta_0	probability

1.505	6.66667e-05	0
1.507	6.66667e-05	0
1.509	6.66667e-05	0
1.511	6.66667e-05	0
1.513	6.66667e-05	0
1.515	6.66667e-05	0
1.517	6.66667e-05	0
1.519	6.66667e-05	0
1.521	6.66667e-05	0
1.523	6.66667e-05	0
1.525	6.66667e-05	0
1.527	6.66667e-05	0
1.529	6.66667e-05	0
1.531	6.66667e-05	0
1.533	6.66667e-05	0
1.535	6.66667e-05	0
1.537	6.66667e-05	0
1.539	6.66667e-05	0
1.541	6.66667e-05	0
1.543	6.66667e-05	0
1.545	6.66667e-05	0
1.547	6.66667e-05	0
1.549	6.66667e-05	0
1.551	6.66667e-05	0
1.553	6.66667e-05	0
1.555	6.66667e-05	0
1.557	6.66667e-05	0
1.559	6.66667e-05	0
1.561	6.66667e-05	0
1.563	6.66667e-05	0
1.565	6.66667e-05	0
1.567	6.66667e-05	0
1.569	6.66667e-05	0
1.571	6.66667e-05	0
1.573	6.66667e-05	0
1.575	6.66667e-05	0
1.577	6.66667e-05	0
1.579	6.66667e-05	0
1.581	6.66667e-05	0
1.583	6.66667e-05	0
1.585	6.66667e-05	0
1.587	6.66667e-05	0
1.589	6.66667e-05	0
1.591	6.66667e-05	0
1.593	6.66667e-05	0
1.595	6.66667e-05	0
1.597	6.66667e-05	0
1.599	6.66667e-05	0
