#gamma	N_0	probability

2.7345e-05	0.291452	159.154
2.73573e-05	0.291452	61.7299
2.73696e-05	0.291452	16.0975
2.73819e-05	0.291452	5.77564
2.73941e-05	0.291452	0.0155828
2.74064e-05	0.291452	0.0074669
2.74187e-05	0.291452	0.00194062
2.7431e-05	0.291452	0.0263749
2.74433e-05	0.291452	0.317031
2.74555e-05	0.291452	5.4439
2.74678e-05	0.291452	0
2.74801e-05	0.291452	0
2.74924e-05	0.291452	0
2.75046e-05	0.291452	0
2.75169e-05	0.291452	0
2.75292e-05	0.291452	0
2.75415e-05	0.291452	0
2.63261e-05	0.29242	1010.06
2.63384e-05	0.29242	1257.87
2.63507e-05	0.29242	1393.06
2.6363e-05	0.29242	729.096
2.63752e-05	0.29242	3081.31
2.63875e-05	0.29242	4660.72
2.63998e-05	0.29242	7433.39
2.64121e-05	0.29242	7912.3
2.64243e-05	0.29242	60.2076
2.64366e-05	0.29242	333.666
2.64489e-05	0.29242	9598.1
2.64612e-05	0.29242	629.779
2.64734e-05	0.29242	14774.3
2.64857e-05	0.29242	18193.8
2.6498e-05	0.29242	8172.55
2.65103e-05	0.29242	35960.6
2.65226e-05	0.29242	48744.7
2.65348e-05	0.29242	59997.9
2.65471e-05	0.29242	13247.7
2.65594e-05	0.29242	1055.12
2.65717e-05	0.29242	5507.76
2.65839e-05	0.29242	16095
2.65962e-05	0.29242	24353.4
2.66085e-05	0.29242	112954
2.66208e-05	0.29242	63830.5
2.6633e-05	0.29242	213785
2.66453e-05	0.29242	365268
2.66576e-05	0.29242	171230
2.66699e-05	0.29242	207625
2.66821e-05	0.29242	63067.8
2.66944e-05	0.29242	6454.23
2.67067e-05	0.29242	7468.17
2.6719e-05	0.29242	206216
2.67312e-05	0.29242	82512.1
2.67435e-05	0.29242	191716
2.67558e-05	0.29242	100796
2.67681e-05	0.29242	457593
2.67803e-05	0.29242	344106
2.67926e-05	0.29242	268708
2.68049e-05	0.29242	80712.2
2.68172e-05	0.29242	897.41
2.68295e-05	0.29242	25086
2.68417e-05	0.29242	12518
2.6854e-05	0.29242	77082.2
2.68663e-05	0.29242	184934
2.68786e-05	0.29242	86245.3
2.68908e-05	0.29242	368853
2.69031e-05	0.29242	464017
2.69154e-05	0.29242	186890
2.69277e-05	0.29242	90300.6
2.69399e-05	0.29242	4898.03
2.69522e-05	0.29242	4356.2
2.69645e-05	0.29242	23724.6
2.69768e-05	0.29242	87409.5
2.6989e-05	0.29242	75661
2.70013e-05	0.29242	39742.9
2.70136e-05	0.29242	117217
2.70259e-05	0.29242	168216
2.70381e-05	0.29242	62508.9
2.70504e-05	0.29242	44802.6
2.70627e-05	0.29242	1405.42
2.7075e-05	0.29242	3482.28
2.70873e-05	0.29242	85616.8
2.70995e-05	0.29242	16130.4
2.71118e-05	0.29242	23928.5
2.71241e-05	0.29242	8124.22
2.71364e-05	0.29242	27232.1
2.71486e-05	0.29242	17588.3
2.71609e-05	0.29242	5111.4
2.71732e-05	0.29242	2283.55
2.71855e-05	0.29242	205.728
2.71977e-05	0.29242	820.288
2.721e-05	0.29242	2590.43
2.72223e-05	0.29242	1796.94
2.72346e-05	0.29242	1839.78
2.72468e-05	0.29242	0
2.72591e-05	0.29242	4795
2.72714e-05	0.29242	1933.3
2.72837e-05	0.29242	488.721
