#gamma	N_0	probability

2.78187e-05	0.7799	0
2.78329e-05	0.7799	0
2.64271e-05	0.7817	0
2.64413e-05	0.7817	0
2.64555e-05	0.7817	0
2.64697e-05	0.7817	8.06703e-06
2.64839e-05	0.7817	1.06473e-05
2.64981e-05	0.7817	17.0198
2.65123e-05	0.7817	0
2.65265e-05	0.7817	0
2.65407e-05	0.7817	0
2.65549e-05	0.7817	0
2.65691e-05	0.7817	0
2.65833e-05	0.7817	23.1628
2.65975e-05	0.7817	0
2.66117e-05	0.7817	0
2.66259e-05	0.7817	0
2.66401e-05	0.7817	0
2.66543e-05	0.7817	0
2.66685e-05	0.7817	2.5162
2.66827e-05	0.7817	2.1546
2.66969e-05	0.7817	0
2.67111e-05	0.7817	0
2.67253e-05	0.7817	0
2.67395e-05	0.7817	0
2.67537e-05	0.7817	0
2.67679e-05	0.7817	0.0807274
2.67821e-05	0.7817	0.0531091
2.67963e-05	0.7817	0
2.68105e-05	0.7817	0
2.68247e-05	0.7817	0
2.68389e-05	0.7817	0
2.68531e-05	0.7817	0.0241746
2.68673e-05	0.7817	0.0186518
2.68815e-05	0.7817	0
2.68957e-05	0.7817	0
2.69099e-05	0.7817	0
2.69241e-05	0.7817	0
2.69383e-05	0.7817	0
2.69525e-05	0.7817	0
2.69667e-05	0.7817	0
2.69809e-05	0.7817	0
2.69951e-05	0.7817	598.291
2.70093e-05	0.7817	0
2.70235e-05	0.7817	0
2.70377e-05	0.7817	0
2.70519e-05	0.7817	0
2.70661e-05	0.7817	0
2.70803e-05	0.7817	0
2.70945e-05	0.7817	0
2.71087e-05	0.7817	41.4213
2.71229e-05	0.7817	34.1247
2.71371e-05	0.7817	0
2.71513e-05	0.7817	0
2.71655e-05	0.7817	0
2.71797e-05	0.7817	0
2.71939e-05	0.7817	0
2.72081e-05	0.7817	0
2.72223e-05	0.7817	0.140544
2.72365e-05	0.7817	0.0569115
2.72507e-05	0.7817	0.0392173
2.72649e-05	0.7817	0.0306254
2.72791e-05	0.7817	0
2.72933e-05	0.7817	0
2.73075e-05	0.7817	0
2.73217e-05	0.7817	0
2.73359e-05	0.7817	0
2.73501e-05	0.7817	0
2.73643e-05	0.7817	0
2.73785e-05	0.7817	0
2.73927e-05	0.7817	0
2.74069e-05	0.7817	0
2.74211e-05	0.7817	0
2.74353e-05	0.7817	0
2.74495e-05	0.7817	0
2.74637e-05	0.7817	0
2.74779e-05	0.7817	0
2.74921e-05	0.7817	0
2.75063e-05	0.7817	0
2.75205e-05	0.7817	0
2.75347e-05	0.7817	0
2.75489e-05	0.7817	0
2.75631e-05	0.7817	0.520419
2.75773e-05	0.7817	0
2.75915e-05	0.7817	0
2.76057e-05	0.7817	0
2.76199e-05	0.7817	0
2.76341e-05	0.7817	0
2.76483e-05	0.7817	0
2.76625e-05	0.7817	0
2.76767e-05	0.7817	0
2.76909e-05	0.7817	0
2.77051e-05	0.7817	0
2.77193e-05	0.7817	0
2.77335e-05	0.7817	2.56472e-05
2.77477e-05	0.7817	1.6243e-05
2.77619e-05	0.7817	0
2.77761e-05	0.7817	0
2.77903e-05	0.7817	0
2.78045e-05	0.7817	0
2.78187e-05	0.7817	0
2.78329e-05	0.7817	0
2.64271e-05	0.7835	0
2.64413e-05	0.7835	52.9503
2.64555e-05	0.7835	0
2.64697e-05	0.7835	0
2.64839e-05	0.7835	0
2.64981e-05	0.7835	3.6754e-05
2.65123e-05	0.7835	4.62791e-05
2.65265e-05	0.7835	34.3747
2.65407e-05	0.7835	0
2.65549e-05	0.7835	0
2.65691e-05	0.7835	0
2.65833e-05	0.7835	0
2.65975e-05	0.7835	0
2.66117e-05	0.7835	54.8898
2.66259e-05	0.7835	0
2.66401e-05	0.7835	0
2.66543e-05	0.7835	0
2.66685e-05	0.7835	0
2.66827e-05	0.7835	0
2.66969e-05	0.7835	6.19779
2.67111e-05	0.7835	5.32893
2.67253e-05	0.7835	0
2.67395e-05	0.7835	0
2.67537e-05	0.7835	0
2.67679e-05	0.7835	0
2.67821e-05	0.7835	0.295635
2.67963e-05	0.7835	0.18166
2.68105e-05	0.7835	0.110189
2.68247e-05	0.7835	0.102498
2.68389e-05	0.7835	0
2.68531e-05	0.7835	0
2.68673e-05	0.7835	0
2.68815e-05	0.7835	0.044653
2.68957e-05	0.7835	0.0472859
2.69099e-05	0.7835	0
2.69241e-05	0.7835	13711.5
2.69383e-05	0.7835	0
2.69525e-05	0.7835	0
2.69667e-05	0.7835	0
2.69809e-05	0.7835	0
2.69951e-05	0.7835	0
2.70093e-05	0.7835	0
2.70235e-05	0.7835	887.376
2.70377e-05	0.7835	690.834
2.70519e-05	0.7835	0
2.70661e-05	0.7835	0
2.70803e-05	0.7835	0
2.70945e-05	0.7835	0
2.71087e-05	0.7835	0
2.71229e-05	0.7835	0
2.71371e-05	0.7835	81.0243
2.71513e-05	0.7835	38.2914
2.71655e-05	0.7835	34.8177
2.71797e-05	0.7835	0
2.71939e-05	0.7835	0
2.72081e-05	0.7835	0
2.72223e-05	0.7835	0
2.72365e-05	0.7835	0
2.72507e-05	0.7835	0
2.72649e-05	0.7835	0.102508
2.72791e-05	0.7835	0.0684272
2.72933e-05	0.7835	0.0366948
2.73075e-05	0.7835	0.0243531
2.73217e-05	0.7835	0
2.73359e-05	0.7835	0
2.73501e-05	0.7835	0
2.73643e-05	0.7835	0
2.73785e-05	0.7835	0
2.73927e-05	0.7835	0
2.74069e-05	0.7835	0
2.74211e-05	0.7835	0
2.74353e-05	0.7835	0
2.74495e-05	0.7835	326.428
2.74637e-05	0.7835	0
2.74779e-05	0.7835	0
2.74921e-05	0.7835	0
2.75063e-05	0.7835	0
2.75205e-05	0.7835	0
2.75347e-05	0.7835	0
2.75489e-05	0.7835	0
2.75631e-05	0.7835	0
2.75773e-05	0.7835	0
2.75915e-05	0.7835	0
2.76057e-05	0.7835	0.264788
2.76199e-05	0.7835	0.12885
2.76341e-05	0.7835	0
2.76483e-05	0.7835	0
2.76625e-05	0.7835	0
2.76767e-05	0.7835	0
2.76909e-05	0.7835	0
2.77051e-05	0.7835	0
2.77193e-05	0.7835	0
2.77335e-05	0.7835	0
2.77477e-05	0.7835	0
2.77619e-05	0.7835	0
2.77761e-05	0.7835	0
2.77903e-05	0.7835	0
2.78045e-05	0.7835	0
2.78187e-05	0.7835	0
2.78329e-05	0.7835	0
2.64271e-05	0.7853	0
2.64413e-05	0.7853	0.00574131
2.64555e-05	0.7853	0.00419966
2.64697e-05	0.7853	0.000202648
2.64839e-05	0.7853	0
2.64981e-05	0.7853	0
2.65123e-05	0.7853	3.28101e-10
2.65265e-05	0.7853	6.11887e-05
2.65407e-05	0.7853	226.91
2.65549e-05	0.7853	281.051
2.65691e-05	0.7853	0
2.65833e-05	0.7853	0
2.65975e-05	0.7853	0
2.66117e-05	0.7853	0
2.66259e-05	0.7853	137.847
2.66401e-05	0.7853	137.759
2.66543e-05	0.7853	0
2.66685e-05	0.7853	0
2.66827e-05	0.7853	0
2.66969e-05	0.7853	0
2.67111e-05	0.7853	0
2.67253e-05	0.7853	13.5186
2.67395e-05	0.7853	10.4249
2.67537e-05	0.7853	0
2.67679e-05	0.7853	0
2.67821e-05	0.7853	0
2.67963e-05	0.7853	0
2.68105e-05	0.7853	0.513428
2.68247e-05	0.7853	0.260394
2.68389e-05	0.7853	0.290556
2.68531e-05	0.7853	0.223807
2.68673e-05	0.7853	0
2.68815e-05	0.7853	0
2.68957e-05	0.7853	0
2.69099e-05	0.7853	0.0623731
2.69241e-05	0.7853	0.0595489
2.69383e-05	0.7853	0.055734
2.69525e-05	0.7853	26338
2.69667e-05	0.7853	0
2.69809e-05	0.7853	0
2.69951e-05	0.7853	0
2.70093e-05	0.7853	0
2.70235e-05	0.7853	0
2.70377e-05	0.7853	0
2.70519e-05	0.7853	6641.64
2.70661e-05	0.7853	930.667
2.70803e-05	0.7853	829.663
2.70945e-05	0.7853	0
2.71087e-05	0.7853	0
2.71229e-05	0.7853	0
