-46.2917	-nan	3.3846
-45.7564	-nan	3.17745
-45.1712	-nan	2.99958
-44.6183	-nan	2.99407
-44.0809	-nan	2.95427
-43.5383	-nan	2.97474
-43.0028	-nan	2.97572
-42.3817	-nan	2.97904
-41.7451	-nan	3.10487
-41.1567	-nan	3.12056
-40.5299	-nan	2.99176
-39.8888	-nan	3.07537
-39.3376	-nan	3.09402
-38.7519	-nan	3.03122
-38.1842	-nan	3.04263
-37.5608	-nan	3.01366
-36.9365	-nan	3.07748
-36.317	-nan	3.1392
-35.687	-nan	3.3328
-35.1083	-nan	3.3574
-34.4325	-nan	3.30241
-33.7959	-nan	3.40372
-33.2249	-nan	3.35046
-32.6857	-nan	3.26627
-32.1261	-nan	3.34927
-31.6019	-nan	3.42642
-31.0121	-nan	3.60541
-30.4437	-nan	3.83402
-29.8408	-nan	3.97987
-29.2692	-nan	4.08309
-28.7188	-nan	4.03164
-28.1448	-nan	3.87488
-27.5639	-nan	3.9828
-27.0364	-nan	4.14297
-26.4804	-nan	4.06881
-25.8722	-nan	4.09005
-25.2988	-nan	4.17868
-24.7235	-nan	4.08161
-24.1341	-nan	4.16006
-23.5674	-nan	4.33058
-23.0254	-nan	4.3135
-22.4697	-nan	4.2425
-21.8523	-nan	4.21172
-21.2691	-nan	4.53528
-20.7129	-nan	4.65808
-20.1205	-nan	4.69033
-19.5108	-nan	4.67738
-18.9118	-nan	4.74672
-18.3591	-nan	4.71585
-17.7927	-nan	4.88292
-17.2663	-nan	4.95513
-16.6766	-nan	4.98182
-16.0859	-nan	5.02785
-15.4915	-nan	4.99498
-14.8972	-nan	5.24169
-14.3791	-nan	5.27511
-13.82	-nan	5.27928
-13.2138	-nan	5.41996
-12.608	-nan	5.84733
-12.0468	-nan	5.96936
-11.4478	-nan	5.9536
-10.9021	-nan	6.18003
-10.3329	-nan	6.39512
-9.76197	-nan	6.80715
-9.24764	-nan	7.31194
-8.69129	-nan	7.34083
-8.14153	-nan	7.513
-7.54117	-nan	7.85385
-7.01791	-nan	7.99034
-6.47343	-nan	8.3327
-5.93606	-nan	8.55267
-5.35442	-nan	8.8881
-4.75533	-nan	9.57121
-4.19277	-nan	9.65744
-3.60539	-nan	10.7926
-3.04249	-nan	11.7296
-2.41514	-nan	13.7234
-1.79967	-nan	18.4912
-1.35195	-nan	28.0446
-1.03011	-nan	44.358
-0.133538	-nan	50.6772
1.03018	nan	71.0996
1.30027	nan	32.6795
1.91247	nan	24.8456
2.5053	nan	19.8228
3.15166	nan	16.3224
3.74877	nan	12.8906
4.32118	nan	10.928
4.95958	nan	10.4541
5.57549	nan	10.5266
6.1829	nan	9.90877
6.76682	nan	9.91678
7.32677	nan	8.23253
7.95197	nan	7.56662
8.51949	nan	7.32607
9.14841	nan	6.70787
9.75698	nan	6.40371
10.3161	nan	6.33925
10.896	nan	6.00202
11.4719	nan	6.12519
12.0728	nan	6.32458
12.6814	nan	6.34333
13.2839	nan	5.86063
13.9373	nan	5.50034
14.3927	nan	5.62329
14.9103	nan	5.74904
15.5826	nan	5.92452
16.2265	nan	6.01884
16.8249	nan	5.74476
17.3482	nan	5.23718
17.9007	nan	5.12082
18.424	nan	4.98385
19.0645	nan	4.8795
19.6474	nan	5.11766
20.2209	nan	4.80117
20.8301	nan	4.73332
21.3771	nan	4.87713
21.9159	nan	5.07463
22.5023	nan	4.88085
23.1419	nan	4.77488
23.7387	nan	4.64448
24.3315	nan	4.68894
24.8902	nan	4.49592
25.49	nan	4.25724
26.097	nan	3.93333
26.6642	nan	3.7081
27.2012	nan	3.73642
27.7452	nan	3.7598
28.3296	nan	3.72669
28.9848	nan	3.55745
29.6105	nan	3.55374
30.2037	nan	3.47969
30.8174	nan	3.32046
31.4477	nan	3.19412
32.0774	nan	3.39102
32.5771	nan	3.49205
33.1392	nan	3.34681
33.7399	nan	3.30789
34.3778	nan	3.34046
34.9965	nan	3.35505
35.6213	nan	3.33467
36.2395	nan	3.29846
36.8534	nan	3.29763
37.4541	nan	3.00973
38.1567	nan	2.88582
38.7687	nan	2.99481
