#n_l	theta_0	probability

1.41861	-0.0003904	1.93786e-56
1.41867	-0.0003904	3.89842e-56
1.41874	-0.0003904	8.54413e-56
1.4188	-0.0003904	5.21502e-56
1.41886	-0.0003904	4.38165e-56
1.41893	-0.0003904	6.53322e-57
1.41899	-0.0003904	9.79059e-57
1.41906	-0.0003904	1.41005e-56
1.41912	-0.0003904	1.33723e-56
1.41918	-0.0003904	1.53069e-56
1.41925	-0.0003904	1.3643e-57
1.41931	-0.0003904	1.94734e-58
1.41938	-0.0003904	2.02005e-58
1.41944	-0.0003904	1.37951e-58
1.4195	-0.0003904	2.60111e-59
1.41957	-0.0003904	7.12909e-60
1.41963	-0.0003904	6.74202e-61
1.4197	-0.0003904	1.89078e-61
1.41976	-0.0003904	1.70334e-61
1.41982	-0.0003904	3.12757e-60
1.41989	-0.0003904	6.65176e-60
1.41995	-0.0003904	9.88506e-60
1.42002	-0.0003904	1.49829e-59
1.42008	-0.0003904	3.29677e-59
1.42014	-0.0003904	1.21283e-58
1.42021	-0.0003904	1.08345e-58
1.42027	-0.0003904	7.72024e-59
1.42034	-0.0003904	4.39845e-59
1.4204	-0.0003904	3.87827e-61
1.42046	-0.0003904	2.17526e-62
1.42053	-0.0003904	3.77697e-63
1.42059	-0.0003904	8.49131e-64
1.42066	-0.0003904	4.75482e-64
1.42072	-0.0003904	6.85248e-65
1.42078	-0.0003904	7.80821e-65
1.42085	-0.0003904	1.11838e-64
1.42091	-0.0003904	6.00822e-65
1.42098	-0.0003904	2.37795e-65
1.42104	-0.0003904	1.86399e-65
1.4211	-0.0003904	2.40725e-65
1.42117	-0.0003904	1.10879e-65
1.41483	-0.000384	1.78954e-105
1.4149	-0.000384	2.28472e-104
1.41496	-0.000384	5.11836e-104
1.41502	-0.000384	2.45096e-103
1.41509	-0.000384	3.46775e-102
1.41515	-0.000384	5.62618e-98
1.41522	-0.000384	1.50274e-96
1.41528	-0.000384	1.54405e-94
1.41534	-0.000384	3.87262e-93
1.41541	-0.000384	8.43881e-92
1.41547	-0.000384	4.10367e-91
1.41554	-0.000384	2.62218e-90
1.4156	-0.000384	3.09216e-89
1.41566	-0.000384	2.16405e-87
1.41573	-0.000384	1.23377e-86
1.41579	-0.000384	5.71745e-86
1.41586	-0.000384	4.05692e-85
1.41592	-0.000384	1.23072e-83
1.41598	-0.000384	5.43429e-82
1.41605	-0.000384	5.17969e-81
1.41611	-0.000384	2.51361e-80
1.41618	-0.000384	4.13833e-78
1.41624	-0.000384	6.81442e-78
1.4163	-0.000384	3.79564e-77
