#n_l	N_0	probability

1.41746	0.2138	0
1.41752	0.2138	0
1.41758	0.2138	0
1.41765	0.2138	0
1.41771	0.2138	0
1.41778	0.2138	0
1.41784	0.2138	0
1.4179	0.2138	0
1.41797	0.2138	0
1.41803	0.2138	0
1.4181	0.2138	0
1.41816	0.2138	0
1.41822	0.2138	0
1.41829	0.2138	0
1.41835	0.2138	0
1.41842	0.2138	0
1.41848	0.2138	0
1.41854	0.2138	0
1.41861	0.2138	0
1.41867	0.2138	0
1.41874	0.2138	0
1.4188	0.2138	0
1.41886	0.2138	0
1.41893	0.2138	0
1.41899	0.2138	0
1.41906	0.2138	0
1.41912	0.2138	0
1.41918	0.2138	0
1.41925	0.2138	0
1.41931	0.2138	0
1.41938	0.2138	0
1.41944	0.2138	0
1.4195	0.2138	0
1.41957	0.2138	0
1.41963	0.2138	0
