#n_l	N_0	probability

1.42964	0.742	6.9232e-93
1.42973	0.742	3.3389e-91
1.42982	0.742	1.81955e-89
1.42991	0.742	1.06483e-87
1.43	0.742	1.57906e-84
1.43008	0.742	1.85531e-83
1.43017	0.742	1.85222e-79
1.43026	0.742	1.44382e-78
1.43035	0.742	3.37378e-77
1.43044	0.742	5.46067e-75
1.43052	0.742	5.10716e-74
1.43061	0.742	2.50692e-73
1.4307	0.742	8.3207e-72
1.43079	0.742	7.69924e-70
1.43088	0.742	7.81942e-68
1.43096	0.742	1.16816e-64
1.43105	0.742	5.52473e-63
1.43114	0.742	1.04696e-60
1.43123	0.742	6.96623e-59
1.43132	0.742	2.47803e-57
1.4314	0.742	7.20957e-55
1.43149	0.742	6.31866e-54
1.43158	0.742	2.20515e-52
1.43167	0.742	5.26533e-51
1.43176	0.742	2.67029e-49
1.43184	0.742	7.93409e-49
1.43193	0.742	9.77333e-47
1.43202	0.742	3.99049e-46
1.43211	0.742	4.90758e-44
1.4322	0.742	6.87718e-43
1.43228	0.742	3.29613e-41
1.43237	0.742	1.2894e-39
1.43246	0.742	7.50485e-39
1.43255	0.742	1.10558e-37
1.43264	0.742	1.77567e-37
1.43272	0.742	3.96814e-37
1.43281	0.742	4.08922e-36
1.4329	0.742	2.74091e-35
1.43299	0.742	3.92264e-35
1.43308	0.742	3.76352e-34
1.43316	0.742	2.61636e-33
1.43325	0.742	3.70836e-32
1.43334	0.742	2.44857e-31
1.43343	0.742	8.61237e-31
1.43352	0.742	5.04105e-30
1.4336	0.742	2.30479e-29
1.43369	0.742	1.09946e-28
1.43378	0.742	4.70536e-28
1.43387	0.742	2.46967e-27
1.43396	0.742	1.12293e-26
1.43404	0.742	3.99895e-26
1.43413	0.742	2.5026e-25
1.43422	0.742	4.4551e-25
1.43431	0.742	1.43689e-24
1.4344	0.742	5.2934e-24
1.43448	0.742	2.63894e-23
1.43457	0.742	5.52424e-23
1.43466	0.742	1.07909e-22
1.43475	0.742	4.78872e-22
1.43484	0.742	8.49785e-22
1.43492	0.742	1.96581e-21
1.43501	0.742	2.68015e-21
1.4351	0.742	1.08891e-20
1.43519	0.742	1.00466e-20
1.43528	0.742	1.94491e-20
1.43536	0.742	2.53968e-20
1.43545	0.742	2.85597e-20
1.43554	0.742	3.10109e-20
1.43563	0.742	5.01461e-20
1.43572	0.742	4.8403e-20
1.4358	0.742	4.03225e-20
1.43589	0.742	2.87593e-20
1.43598	0.742	4.46062e-20
1.43607	0.742	3.84391e-20
1.43616	0.742	3.18278e-20
1.43624	0.742	1.38468e-20
1.43633	0.742	1.87688e-20
1.43642	0.742	1.58991e-20
1.43651	0.742	1.20733e-20
1.4366	0.742	4.06814e-21
1.43668	0.742	4.3808e-21
1.43677	0.742	2.75932e-21
1.43686	0.742	2.87642e-21
1.43695	0.742	6.78711e-22
1.43704	0.742	5.09532e-22
1.43712	0.742	2.05257e-22
1.43721	0.742	1.78932e-22
1.4373	0.742	4.24128e-23
1.43739	0.742	2.51892e-23
1.43748	0.742	7.17212e-24
1.43756	0.742	8.02075e-24
1.43765	0.742	1.74277e-24
1.43774	0.742	6.50178e-25
1.43783	0.742	3.96294e-25
1.43792	0.742	5.35982e-25
1.438	0.742	1.35336e-25
